slug	title	volumes	missing
tenma-no-ketsuzoku	天馬の血族	26	説明欠
curtain-call	カーテン・コール	26	両方欠
kisse-s	キッシ～ズ	26	両方欠
cat-rookie	キャットルーキー	26	両方欠
shiki	史記	26	説明欠
pachipuro-tantei-nana	パチプロ探偵ナナ	26	両方欠
zettai-reido	絶対麗奴	26	両方欠
urameshiya	うらめしや	26	説明欠
yami-no-aegis	闇のイージス	26	説明欠
impact	インパクト	26	両方欠
yakitate-japan	焼きたて!!ジャぱん	26	説明欠
yatagarasu	YATAGARASU	26	両方欠
bunchou-sama-to-watashi	文鳥様と私	26	両方欠
saikyou-toritsu-aoizaka-koukou-yakyuubu	最強!都立あおい坂高校野球部	26	説明欠
shi-ga-futari-o-wakatsumade	死がふたりを分かつまで	26	説明欠
saki	咲	26	両方欠
c0de-breaker	C0DE:BREAKER	26	両方欠
tableau-gate	タブロウ・ゲート	26	説明欠
shachou-shima-kousaku	社長島耕作	26	両方欠
saiki-kusuo-no-nan	斉木楠雄のΨ難	26	説明欠
wakakozake	ワカコ酒	26	説明欠
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	26	両方欠
shangurira-furonteia	シャングリラ・フロンティア	26	説明欠
wind-breaker	WIND BREAKER	26	説明欠
tosa-no-ipponzuri	土佐の一本釣り	25	説明欠
tonda-couple	翔んだカップル	25	説明欠
shiroi-kaze	白い風	25	説明欠
zoku-kowai-hon	ゾクこわい本	25	説明欠
umezu-kazuo-kowai-hon	楳図かずおこわい本	25	説明欠
sangokushi-sentaro-1980	三国志	25	両方欠
shounan-bakusouzoku	湘南爆走族	25	説明欠
dr-typhoon	Dr.タイフーン	25	両方欠
tsuru-pika-hagemaru	つるピカハゲ丸	25	両方欠
rough	ラフ	25	説明欠
maruboukabushikigaisha	〔○暴〕株式会社	25	説明欠
yume-maboroshi-no-gotoku	夢幻の如く	25	説明欠
keishiki-kekkon	形式結婚	25	両方欠
karin	火輪	25	両方欠
umanari-1-haron-theater	馬なり1ハロン劇場	25	両方欠
shakariki	シャカリキ!	25	説明欠
dr-noguchi	Dr.NOGUCHI	25	両方欠
yume-de-aetara-2000	夢で逢えたら	25	説明欠
watashitachi-wa-hanshokushiteiru	私たちは繁殖している	25	説明欠
damenzu-walker	だめんず・うぉ～か～	25	両方欠
akatsuki-otokojuku	曉!!男塾	25	両方欠
tsuki-no-shippo	月のしっぽ	25	説明欠
jin	JIN	25	説明欠
tetsu-no-linebarrels	鉄のラインバレル	25	説明欠
sun-ken-rock	サンケンロック	25	説明欠
switch-girl	スイッチガール!!	25	説明欠
suna-no-eikan	砂の栄冠	25	説明欠
soredemo-sekai-wa-utsukushii	それでも世界は美しい	25	説明欠
usotsuki-gokuoo-kun	ウソツキ!ゴクオーくん	25	説明欠
oniyaku	鬼役	25	両方欠
tomodachi-game	トモダチゲーム	25	説明欠
souboutei-kowasubeshi	双亡亭壊すべし	25	説明欠
soukyuu-boys	送球ボーイズ	25	説明欠
ryuusui-no-tsubasa	龍帥の翼	25	両方欠
risou-no-himo-seikatsu	理想のヒモ生活	25	説明欠
yamikin-ushijima-kun-gaiden-nikumamushi-densetsu	闇金ウシジマくん外伝肉蝮伝説	25	両方欠
kanzenban-piinattsu-zenshuu	完全版ピーナッツ全集	25	両方欠
kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo	君のことが大大大大大好きな100人の彼女	25	説明欠
ryuu-to-ichigo	龍と苺	25	説明欠
witch-watch	ウィッチウォッチ	25	説明欠
samurai-giants	侍ジャイアンツ	24	説明欠
mitsumegatooru	三つ目がとおる	24	両方欠
campus-croquis	キャンパスクロッキー	24	両方欠
yadokari	やどかり	24	両方欠
jump-housoukyoku	ジャンプ放送局	24	両方欠
tsuideni-tonchinkan	ついでにとんちんかん	24	両方欠
the-star	THE STAR	24	説明欠
naniwayu-ukyouden	なにわ遊侠伝	24	両方欠
utchare-goshogawara	うっちゃれ五所瓦	24	説明欠
reggie	Reggie	24	両方欠
sekai-de-ichiban-yasashii-ongaku	世界でいちばん優しい音楽	24	説明欠
tottemo-luckyman	とっても!ラッキーマン	24	説明欠
yuugo	勇午	24	説明欠
shanaou-yoshitsune	遮那王義経	24	説明欠
indo-meoto-jawan	インド夫婦茶碗	24	両方欠
manga-grimm-douwa	まんがグリム童話	24	説明欠
sidooh-shidou	Sidooh士道	24	説明欠
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	24	両方欠
seikon-no-qwaser	聖痕のクェイサー	24	説明欠
kochikame-bunko	こち亀文庫	24	両方欠
hina-chan-no-nichijou	ひなちゃんの日常	24	両方欠
yumekui-merry	夢喰いメリー	24	説明欠
yuru-yuri	ゆるゆり	24	説明欠
maido-urayasu-tekkin-kazoku	毎度!浦安鉄筋家族	24	両方欠
zekkyou-gakkyuu-tensei	絶叫学級転生	24	説明欠
