slug	title	have	max	miss	ratio	missing
tales-of-destiny-director-cut-cut-toki-no-rion	テイルズオブデスティニーディレクターズカット 儚き刻のリ	4	5	1	0.8	3
persona-4-4-koma-kings	ペルソナ4 4コマKINGS	4	5	1	0.8	3
yuuwaku-recipe	誘惑レシピ	4	5	1	0.8	1
pilot-a	パイロットA	4	5	1	0.8	4
suna-to-iris	砂とアイリス	4	5	1	0.8	1
fate-strange-fake-2019	フェイト/ストレンジフェイク	4	5	1	0.8	2
bouken-kyouryuukan	まんが 冒険恐竜館	4	5	1	0.8	1
romeo	Romeo	4	5	1	0.8	1
nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	4	5	1	0.8	1
fate-grand-order	Fate/grand order	4	5	1	0.8	1
chippai-joshi-to-osuppai-otoko	ちっぱい女子と雄っぱい男子	4	5	1	0.8	1
moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	4	5	1	0.8	1
koala-enikki	コアラ絵日記	4	5	1	0.8	1
nonke-joushi-30-nichi-no-kaihatsu-mesoddo	ノンケ上司、30日の開発メソッド	4	5	1	0.8	1
danjo-no-yuujou-wa-seiritsu-suru-iya-shinai	男女の友情は成立する?〈いや、しないっ!!〉	4	5	1	0.8	4
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	4	5	1	0.8	1
fukou-reijou-deshitaga-happy-end-o-mukaemashita	不幸令嬢でしたが、ハッピーエンドを迎えました	4	5	1	0.8	3
oboreru-hibi-wa-kimi-no-sei	溺れる日々はきみのせい	4	5	1	0.8	3
nuclear	Nuclear	4	5	1	0.8	1
mikoto-chan-wa-kirawaretakunai	みことちゃんは嫌われたくない!	4	5	1	0.8	1
mizudako-chan-kara-wa-nigerarenai	ミズダコちゃんからは逃げられない!	4	5	1	0.8	2
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	4	5	1	0.8	1
cmyk-sameda-kazuo-wa-chuunibyou-ga-naosenai	CMYK鮫田和王は厨二病が治せない	4	5	1	0.8	1
capeta	capeta	25	32	7	0.78	25,26,27,28,29,30,31
lilliput	リリパット	7	9	2	0.78	6,8
pose-file	ポーズ・ファイル	7	9	2	0.78	2,7
kuooto-ando-half	1/4×1/2	7	9	2	0.78	3,4
ss	SS	7	9	2	0.78	4,5
chousen-shikaku	挑戦資格	7	9	2	0.78	4,5
bird-black-maaketto	バード	7	9	2	0.78	1,2
darashinai-desu-hotta-sensei	だらしないです堀田先生!	7	9	2	0.78	5,6
heisei-haizanhei-sumire-chan	平成敗残兵すみれちゃん	7	9	2	0.78	3,5
kariage-kun	かりあげクン	53	69	16	0.77	30,32,34,35,36,37,51,52,53,54,55,56,57,58,59…
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	53	69	16	0.77	30,32,34,35,36,37,51,52,53,54,55,56,57,58,59…
x-men-1994-3	X-MEN	10	13	3	0.77	2,7,12
x-men-1994	X-MEN	10	13	3	0.77	7,11,12
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalt	16	21	5	0.76	1,3,4,18,19
hanagoromo-yumegoromo	花衣夢衣	13	17	4	0.76	1,2,3,4
myououden-rei	明王伝レイ	9	12	3	0.75	8,9,10
doubutsu-no-mori	どうぶつの森	9	12	3	0.75	9,10,11
macross-7-trash-2009	マクロス7trash	6	8	2	0.75	5,6
buya-jitsuroku-andou-gumi	ブヤ 実録・安藤組	6	8	2	0.75	1,2
gray-zone	Gray zone	6	8	2	0.75	4,7
yuuutsuna-asa	憂鬱な朝	6	8	2	0.75	6,7
yuugiou-zearu	遊☆戯☆王ZEXAL	6	8	2	0.75	6,7
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	6	8	2	0.75	1,2
killers-holiday	キラーズホリディ	6	8	2	0.75	3,7
koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	恋ヶ窪くんにはじめてを奪われました	6	8	2	0.75	6,7
daikaijuu-geaachima	大怪獣ゲァーチマ	6	8	2	0.75	4,5
hime-2006	姫	3	4	1	0.75	3
kasuribana	掏摸花	3	4	1	0.75	1
pachikko-bojou	パチっ子慕情	3	4	1	0.75	2
kaze-no-tani-no-naushika-1984	風の谷のナウシカ	3	4	1	0.75	3
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	3	4	1	0.75	2
gekiga-oya-sama-monogatari	劇画教祖物語	3	4	1	0.75	3
joyuu-kawasaki-1988	女優	3	4	1	0.75	2
super-mario-land	スーパーマリオランド	3	4	1	0.75	1
nomizukushi-sakezukushi	呑みづくし酒づくし	3	4	1	0.75	2
shi-no-white-magic	死のホワイトマジック	3	4	1	0.75	2
gentsuki-oba-san	原付おばさん	3	4	1	0.75	2
platonic	プラトニック	3	4	1	0.75	2
chotto-dake-kaettekita-dokutaa-slump	ちょっとだけかえってきたDr.SLUMP	3	4	1	0.75	2
fire-emblem-4-koma-manga-gekijou	ファイアーエムブレム4コママンガ劇場	3	4	1	0.75	3
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	3	4	1	0.75	2
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	3	4	1	0.75	1
