slug	title	top_prefix	top_n	minority	total
transformers-classics	トランスフォーマークラシックス	8019	7	"{""8130"": 1, ""86388"": 3}"	11
natural-aso-1989	ナチュラル	08	9	"{""02"": 4}"	13
hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made	ハズレ枠の〈状態異常スキル〉で最強になった俺がすべてを蹂躙するまで	8240	10	"{""86554"": 4}"	14
pumpkin	パンプキン	89367	17	"{""938256"": 4}"	21
pharaoh-no-haka	ファラオの墓	09	5	"{""12"": 4}"	9
busamen-otoko	ブサメン男子♂	7997	5	"{""86442"": 4}"	9
buddha	ブッダ	267	22	"{""06"": 4}"	26
break-blade	ブレイクブレイド	593	16	"{""86675"": 4}"	20
mother-keeper	マザーキーパー	86127	6	"{""8000"": 4}"	10
marry-me	マリーミー!	908588	7	"{""909767"": 4}"	11
ryougoku-oshare-rikishi	両国花錦闘士	09	4	"{""7962"": 4}"	8
moto-koushaku-reijou-no-shuushoku-attomaaku-comic	元公爵令嬢の就職@comic	86699	6	"{""86794"": 4}"	10
