slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
kyoufu-shinbun	恐怖新聞	bunkobon	[1, 2, 3]	[4]	1	RECOVERABLE	{"1": "9784253031356", "2": "9784253108010", "3": "9784253031370"}
last-man	ラストマン	standard	[1, 2, 3]	[4, 5, 6]	2	RECOVERABLE	{"1": "9784864105101", "2": "9784864105163", "3": "9784864105361"}
lupin-iii	ルパン三世	aizoban	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784120018190"}
magic-knight-rayearth	魔法騎士レイアース	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784063195309"}
magic-naito-rayearth-2	魔法騎士レイアース2	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063196108", "2": "9784063196634"}
maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[18]	1	RECOVERABLE	{"1": "9784785947019", "2": "9784785947026", "3": "9784785947033", "4": "9784785947040", "5": "9784785947057", "6": "9784785947064", "7": "9784785947071", "8": "9784785947088", "9": "9784785947095", "10": "9784785947101", "11": "9784785947118"}
mama	ママ	wideban	[1, 2]	[3, 4, 5, 6]	1	RECOVERABLE	{"1": "9784091510518", "2": "9784091510525"}
mama-ha-tenparist	ママはテンパリスト	standard	[1, 2, 3]	[4]	1	RECOVERABLE	{"1": "9784087821888", "2": "9784087822403", "3": "9784087822731"}
mangaban-nobushi-no-gourmet	漫画版野武士のグルメ	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784344424760"}
manka	漫歌	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784575726367"}
manmaru-highschool	まんまるハイスクール	wideban	[1, 2, 3, 4]	[5]	1	RECOVERABLE	{"2": "9784088495224", "3": "9784088496894", "4": "9784088480169"}
medarot-2	メダロット2	standard	[1]	[2, 3, 4]	1	RECOVERABLE	{"1": "9784063342109"}
meiji-no-ibuki	明治の息吹	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784861971013"}
mii-chan-to-yamada-san	みいちゃんと山田さん	standard	[1, 2, 3, 4, 5]	[6]	1	RECOVERABLE	{"1": "9784065379431", "2": "9784065387498", "3": "9784065397305", "4": "9784065406427", "5": "9784065417928"}
miuman	みうまん	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784087821994"}
miyazawa-kenji-mangakan-1996	宮澤賢治・漫画館	standard	[1]	[2, 3, 4, 5]	2	RECOVERABLE	{"1": "9784267010392"}
mizushina-takayuki-no-mizu-cinema	みずしな孝之のミズシネマ	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784087820591"}
nanahan-rider	750ライダー	bunkobon	[1]	[2, 4]	1	RECOVERABLE	{"1": "9784253171953"}
nandemo-tsurukame	なんでもツルカメ	bunkobon	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063000986", "2": "9784063001150"}
nikushimi-ni-hohoende	憎しみに微笑んで	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784796296076"}
nina-to-usagi-to-mahou-no-sensha	ニーナとうさぎと魔法の戦車	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784087824285"}
nouzui-jungle	脳髄ジャングル	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784091341013"}
nui-dara-zetsurin	脱いだら絶倫!?	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	1	RECOVERABLE	{"1": "9784864952859"}
nurse-station	ナース・ステーション	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	1	RECOVERABLE	{"1": "9784087850253", "2": "9784087850390", "3": "9784087850482", "4": "9784087850697"}
oishii-otoko-no-tsukurikata	おいしい男の作り方	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784086181136"}
onna-no-ko-monogatari	おんなのこ物語	aizoban	[1]	[2]	1	RECOVERABLE	{"1": "9784120025426"}
orfina	Orfina	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	2	RECOVERABLE	{"1": "9784047123878"}
otoko-do-ahou-koshien	男どアホウ甲子園	bunkobon	[1]	[2, 5, 16]	1	RECOVERABLE	{"1": "9784253062053"}
oyakodeka	おやこ刑事	wideban	[1]	[2]	1	RECOVERABLE	{"1": "9784061013360"}
oz-itsuki-2004	OZ	bunkobon	[1, 2, 3, 4, 5]	[6, 7, 8, 9]	1	RECOVERABLE	{"1": "9784592134114", "2": "9784592134121", "3": "9784592134138", "4": "9784592134145"}
paradise	パラダイス	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	1	RECOVERABLE	{"1": "9784091527615"}
pet	ペット	standard	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784091866516"}
piece	Piece	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10]	1	RECOVERABLE	{"1": "9784091321572"}
pit-bull	PIT BULL	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784088590257", "2": "9784088590479"}
q-e-d	Q.E.D.	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]	1	RECOVERABLE	{"1": "9784063771299"}
r-4443774	前線と銃後	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784874443767"}
re-birth	RE-BIRTH	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784056006612"}
rifrein	Rifrein	standard	[1]	[2, 3, 4]	1	RECOVERABLE	{"1": "9784061021457"}
ruten-no-teruma	流転のテルマ	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784063951820"}
sai	菜	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	2	RECOVERABLE	{"1": "9784063193824"}
sakigake-otokojuku	魁!!男塾	aizoban	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[15]	1	RECOVERABLE	{"1": "9784081061846", "2": "9784086175227", "3": "9784086175234", "4": "9784086175241", "5": "9784086175258", "6": "9784086175265", "7": "9784086175272", "8": "9784086175289", "9": "9784086175296", "10": "9784086175302", "11": "9784086175319", "12": "9784086175326", "13": "9784086175333", "14": "9784086175340"}
satonaka-machiko-sakuhinshuu	里中満智子作品集	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784122024274"}
sayonara	さよなら!!岸壁先生	standard	[1, 2, 3, 4]	[5]	1	RECOVERABLE	{"4": "9784253038355"}
