slug	title	type	number	kind	current	proposed	dom_pub	pubclass
hyakki-yagyou-show	百鬼夜行抄	standard	8	PUB_SWAP	9784257904281	9784022130426	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	9	PUB_SWAP	9784257904502	9784022130433	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	10	PUB_SWAP	9784257904632	9784022130440	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	11	PUB_SWAP	9784257904908	9784022130457	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	12	PUB_SWAP	9784257905080	9784022130464	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	13	PUB_SWAP	9784257905349	9784022130471	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	14	PUB_SWAP	9784257905554	9784022130488	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	15	PUB_SWAP	9784257905721	9784022130495	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	1	PUB_SWAP	9784257720898	9784022670434	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	2	PUB_SWAP	9784257720980	9784022670441	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	3	PUB_SWAP	9784257721130	9784022670458	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	4	PUB_SWAP	9784257721253	9784022670465	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	5	PUB_SWAP	9784257722083	9784022670472	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	6	PUB_SWAP	9784257722335	9784022670489	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	7	PUB_SWAP	9784257723080	9784022670496	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	8	PUB_SWAP	9784257723653	9784022670502	978402	multi
hyakki-yagyou-show	百鬼夜行抄	bunkobon	9	PUB_SWAP	9784257724322	9784022670519	978402	multi
hyper-anna	ハイパーあんな	standard	1	PUB_SWAP	9784756109057	9784757717169	97847577	multi
hyper-anna	ハイパーあんな	standard	2	PUB_SWAP	9784756111524	9784757717176	97847577	multi
hyper-anna	ハイパーあんな	standard	3	PUB_SWAP	9784756111890	9784757717602	97847577	multi
i-sengokushi	異戦国志	standard	1	PUB_SWAP	9784056021288	9784814919000	97848149	multi
iguna-cross-reigoueki	イグナクロス零号駅	standard	1	PUB_SWAP	9784840215299	9784048689007	978404	multi
ikkimandara	一輝まんだら	standard	1	PUB_SWAP	9784886533456	9784061732827	978406	multi
ikkimandara	一輝まんだら	standard	2	PUB_SWAP	9784886533463	9784061732834	978406	multi
imadoki-no-wakai-mon-wa	今どきの若いモンは	standard	1	PUB_SWAP	9784065127032	9784758068642	97847580	multi
imadoki-no-wakai-mon-wa	今どきの若いモンは	standard	2	PUB_SWAP	9784065150870	9784758068659	97847580	multi
imadoki-no-wakai-mon-wa	今どきの若いモンは	standard	3	PUB_SWAP	9784065166420	9784758068710	97847580	multi
imaizuminchi-wa-douyara-gal-no-tamariba-ni-natteru-rashii	今泉ん家はどうやらギャルの溜まり場になってるらしい	standard	1	PUB_SWAP	9784823602627	9784801978454	97848019	single
indona-hibi	インドな日々	standard	1	PUB_SWAP	9784257904229	9784022130976	978402	multi
indona-hibi	インドな日々	standard	2	PUB_SWAP	9784257904656	9784022130983	978402	multi
indona-hibi	インドな日々	standard	3	PUB_SWAP	9784257905325	9784022130990	978402	multi
inochi-mijikashi-koiseyo-otome	いのち短し恋せよおとめ	standard	1	PUB_SWAP	9784796297486	9784789782050	97847897	multi
inugamike-no-ichizoku	犬神家の一族	standard	1	PUB_SWAP	9784253108119	9784061891012	978406	multi
is-2010	IS	standard	1	PUB_SWAP	9784840137171	9784091573605	978409	multi
is-2010	IS	standard	2	PUB_SWAP	9784840137720	9784091573797	978409	multi
is-2010	IS	standard	4	PUB_SWAP	9784840144018	9784091574220	978409	multi
is-2010	IS	standard	5	PUB_SWAP	9784840147224	9784091574527	978409	multi
is-2010	IS	standard	3	PUB_SWAP	9784840140430	9784091574008	978409	multi
isshokenmei-ni-sounanshitai-hito	一緒に遭難したいひと	standard	1	PUB_SWAP	9784391920406	9784063375619	978406	multi
itchoume-no-torakichi	一丁目のトラ吉	standard	10	PUB_SWAP	9784845806102	9784835446103	97848354	multi
itoshi-no-nekokke	いとしの猫っ毛	standard	1	PUB_SWAP	9784862639196	9784799737804	97847997	multi
j-no-subete	Jの総て	standard	1	PUB_SWAP	9784872338553	9784778322595	97847783	multi
j-no-subete	Jの総て	standard	2	PUB_SWAP	9784872339505	9784778322601	97847783	multi
jaaku-no-jack	邪悪のJack	standard	1	PUB_SWAP	9784803339680	9784391914375	9784391	multi
jibaku-kun	ジバクくん	standard	1	PUB_SWAP	9784757201873	9784757700826	97847577	multi
jibaku-kun	ジバクくん	standard	2	PUB_SWAP	9784757203907	9784757700833	97847577	multi
jibaku-kun	ジバクくん	standard	3	PUB_SWAP	9784757205734	9784757700840	97847577	multi
jibaku-kun	ジバクくん	standard	4	PUB_SWAP	9784757207318	9784757700857	97847577	multi
jigoku-no-sougiya	地獄の葬儀屋	standard	1	PUB_SWAP	9784253247115	9784845854585	97848458	multi
jigyaku-no-uta	自虐の詩	standard	1	PUB_SWAP	9784334900281	9784812432143	97848124	multi
