巻状態	種2	tier	信号	一致	残差	疑	slug	頁題	頁著者	頁最大巻	頁巻数	isbn	楽天題	楽天副題	抽出親題	抽出巻	楽天著者	出版社	レーベル	発売日	種2sid	種2題	種2巻	除外seed
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	pod	PUBMISMATCH	break-cafe	ブレイク☆カフェ	森ゆきえ	5	5	2300000105346	【POD】ブレイク☆カフェ(7)		【POD】ブレイク☆カフェ	7	森ゆきえ	ナンバーナイン		2022年09月02日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	猫なら産みたい		buri-chan-nikki	ブリちゃん日記	私屋カヲル	1	1	9784801995024	ブリちゃん日記　猫なら産みたい（2）		ブリちゃん日記 猫なら産みたい	2	私屋カヲル	竹書房	バンブーエッセイセレクション	2026年09月03日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	コミック		busaneko-ni-kaerareta-kiyowa-reijou-desu-saikyou-no-gunjin-koushaku-ni-hirowarete-kizetsu-sunzen	ブサ猫に変えられた気弱令嬢ですが、最恐の軍人公爵に拾われて気絶寸前です	オオトリ・岡達英茉	2	2	9784815625139	ブサ猫に変えられた気弱令嬢ですが、最恐の軍人公爵に拾われて気絶寸前です（コミック）　3		ブサ猫に変えられた気弱令嬢ですが、最恐の軍人公爵に拾われて気絶寸前です(コミック)	3	オオトリ/岡達英茉（ツギクル）/日下コウ	SBクリエイティブ	GAコミック	2024年11月15日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			chikyu-number-v-7	地球ナンバーV-7	横山光輝	1	1	9784061013698	地球ナンバーV7（2）		地球ナンバーV7	2	横山光輝	講談社	KCスペシャル	1988年03月05日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	宇左木こども病院の時田さん		child-ririibaa	チャイルドリリーバー	北岡寛己・遊木哉吉	2	2	9784867209165	チャイルドリリーバー 宇左木こども病院の時田さん（3）		チャイルドリリーバー 宇左木こども病院の時田さん	3	遊木哉吉/天野香菜絵/北岡寛己	コアミックス	ゼノンコミックス	2026年10月20日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	chim-re	シメール	森川久美	1	1	9784592110439	シメール（2）		シメール	2	森川久美	白泉社	花とゆめコミックス	1979年05月19日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	国がサラリーマンになって働く会社		chiseigaku-boys	地政学ボーイズ	理央・沢辺有司	8	8	9784253018357	地政学ボーイズ　〜国がサラリーマンになって働く会社〜　9		地政学ボーイズ 〜国がサラリーマンになって働く会社	9	理央/沢辺有司	秋田書店	ヤングチャンピオン・コミックス	2026年07月17日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	chou-dokyuu-kuubo-yamato	超弩級空母大和	奥田誠治・三木原慧一	4	4	9784056022254	超弩級空母大和（5）		超弩級空母大和	5	井上大助/奥田誠治	Gakken	歴史群像コミックス	2000年04月28日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	chou-dokyuu-kuubo-yamato	超弩級空母大和	奥田誠治・三木原慧一	4	4	9784056022773	超弩級空母大和（6）		超弩級空母大和	6	井上大助/奥田誠治	Gakken	歴史群像コミックス	2001年03月28日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	chou-dokyuu-kuubo-yamato	超弩級空母大和	奥田誠治・三木原慧一	4	4	9784056025057	超弩級空母大和（7）		超弩級空母大和	7	井上大助/奥田誠治	Gakken	歴史群像コミックス	2002年02月28日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	chou-dokyuu-kuubo-yamato	超弩級空母大和	奥田誠治・三木原慧一	4	4	9784056027877	超弩級空母大和（8）		超弩級空母大和	8	井上大助/奥田誠治	Gakken	歴史群像コミックス	2003年02月28日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	汚された純潔		choukyou-no-kusari	調教の鎖	雨宮叶佳	2	2	9784864950688	調教の鎖〜汚された純潔〜（3）		調教の鎖〜汚された純潔	3	雨宮叶佳	秋水社	ダイトコミックス　TLシリーズ	2014年10月11日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	どぶと空と氷の姫君		chounin-ee-wa-akuyaku-reijou-o-doushitemo-sukuitai	町人Aは悪役令嬢をどうしても救いたい	目黒三吉・一色孝太郎	9	9	9784803023541	町人Aは悪役令嬢をどうしても救いたい　〜どぶと空と氷の姫君〜（10）		町人Aは悪役令嬢をどうしても救いたい 〜どぶと空と氷の姫君	10	目黒三吉/一色孝太郎/Parum	株式会社アース・スター エンターテイメント	アース・スター　コミックス	2026年08月07日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	契約花嫁はおねだり上手な最強魔術師に溺愛されています	PUBMISMATCH	chuumon-no-ooi-mahoutsukai	注文の多い魔法使い	佐藤もぶ・花坂つぐみ	2	2	9784825100978	注文の多い魔法使い　契約花嫁はおねだり上手な最強魔術師に溺愛されています!?　3巻		注文の多い魔法使い 契約花嫁はおねだり上手な最強魔術師に溺愛されています!?	3	佐藤 もぶ/花坂 つぐみ/桜花 舞	一迅社	ZERO-SUMコミックス	2026年08月28日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	アイドルマスターシンデレラガールズ		cinderella-girls-gekijou	シンデレラガールズ劇場	バンダイナムコエンターテインメント	12	12	9784049140729	アイドルマスター　シンデレラガールズ シンデレラガールズ劇場(13)		アイドルマスター シンデレラガールズ シンデレラガールズ劇場	13	バンダイナムコエンターテインメント	KADOKAWA	電撃コミックスEX	2023年03月27日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	コミック		class-no-bocchi-gal-o-omochikaeri-shite-seisokei-bijin-ni-shiteyatta-hanashi	クラスのぼっちギャルをお持ち帰りして清楚系美人にしてやった話	柚本悠斗・七々瀬一	6	6	9784815631994	クラスのぼっちギャルをお持ち帰りして清楚系美人にしてやった話（コミック） 7		クラスのぼっちギャルをお持ち帰りして清楚系美人にしてやった話(コミック)	7	七々瀬一/柚本悠斗/magako/あさぎ屋	SBクリエイティブ	GAコミック	2027年02月12日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			dai-san-no-gokudou	第三の極道	村上和彦	10	10	9784812452103	第三の極道（11）	日本極道史・平成篇	第三の極道	11	村上和彦	竹書房	バンブーコミックス	1998年06月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			datsu-tan-typhoon	韃靼タイフーン	安彦良和	3	3	9784840104456	韃靼タイフーン4		韃靼タイフーン	4	安彦　良和	KADOKAWA	MFコミックス フラッパーシリーズ	2002年05月23日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			deathscythe-cutie	デスサイズキューティー	玉置勉強	1	1	9784098628797	デスサイズキューティー（2）		デスサイズキューティー	2	玉置勉強	小学館	ビッグ　コミックス	2024年				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	新装版	EDITION/PUBMISMATCH	dekapome	でかポメ	橘紫夕	1	1	9784812479681	でかポメ 新装版（2）		でかポメ 新装版	2	橘紫夕	竹書房	バンブーコミックス	2012年08月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	dekapome	でかポメ	橘紫夕	1	1	9784873178233	でかポメ（2）		でかポメ	2	橘紫夕	あおば出版	あおばコミックス	2006年06月29日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	完全版	EDITION	denjirou-nikki	でんぢらう日記	杉作	2	2	9784022142139	でんぢらう日記　完全版（3）		でんぢらう日記 完全版	3	杉作	朝日新聞出版	ASAHI COMICS	2016年07月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	完全版	EDITION	denjirou-nikki	でんぢらう日記	杉作	2	2	9784022142177	でんぢらう日記　完全版（4）		でんぢらう日記 完全版	4	杉作	朝日新聞出版	ASAHI COMICS	2016年08月19日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			dokuganryuu-date-masamune	独眼竜伊達政宗	岡村賢二	1	1	9784845838929	独眼竜伊達政宗（2）		独眼竜伊達政宗	2	岡村賢二	リイド社	SPコミックス　戦国武将列伝シリーズ	2011年01月				
