seed	special_isbn	special_title	normal_isbn	normal_title
special-edition-fix.yml	9784592218883	コレットは死ぬことにした マンガ「コツメくん日記」小冊子付き特装版 12 幸村アルト	9784592216773	コレットは死ぬことにした 12 幸村アルト
special-edition-fix.yml	9784592218890	なまいきざかり。番外編小冊子付き特装版 15 ミユキ蜜蜂	9784592213451	なまいきざかり。 15 ミユキ蜜蜂
special-edition-fix.yml	9784592218906	天使1/2方程式 SPまんが小冊子付き特装版 8 日高万里	9784592213482	天使1/2方程式 8 日高万里
special-edition-fix.yml	9784592218968	砂漠のハレム 小冊子付き特装版 10 夢木みつる	9784592196501	砂漠のハレム 10 夢木みつる
special-edition-fix.yml	9784592227212	天使1/2方程式 おまけまんが小冊子付き特装版 9 日高万里	9784592213499	天使1/2方程式 9 日高万里
special-edition-fix.yml	9784592227229	贄姫と獣の王 まんが「ケモ姫と普通の王」小冊子付き特装版 12 友藤結	9784592223023	贄姫と獣の王 12 友藤結
special-edition-fix.yml	9784592227236	偽りのフレイヤ 描き下ろしマンガ付き特装版 4 石原 ケイコ	9784592211945	偽りのフレイヤ 4 石原 ケイコ
special-edition-fix.yml	9784592227298	墜落JKと廃人教師 ミニカラー画集vol.2付き特装版 8 sora	9784592216599	墜落JKと廃人教師 8 sora
special-edition-fix.yml	9784592227304	俺様ティーチャー イラスト集付き特装版 29 椿 いづみ	9784592215394	俺様ティーチャー 29 椿 いづみ
special-edition-fix.yml	9784592227571	贄姫と獣の王 描きおろし後日談&未収録番外編付き特装版 15 友藤 結	9784592223054	贄姫と獣の王 15 友藤 結
special-edition-fix.yml	9784592227755	それでも世界は美しい 描き下ろし後日談マンガ&資料集つき特装版 25 椎名 橙	9784592216407	それでも世界は美しい 25 椎名 橙
special-edition-fix.yml	9784592227762	高嶺と花 描きおろし後日談マンガ小冊子付き限定版 18 師走 ゆき	9784592216087	高嶺と花 18 師走 ゆき
special-edition-fix.yml	9784592227779	フラレガール カラーイラスト集付き特装版 7 堤 翔	9784592223085	フラレガール 7 堤 翔
special-edition-fix.yml	9784592227786	なまいきざかり。 きゅん増し番外編小冊子付き特装版 20 ミユキ 蜜蜂	9784592216902	なまいきざかり。 20 ミユキ 蜜蜂
special-edition-fix.yml	9784592227809	天使1/2方程式 おまけまんが小冊子2付き特装版 10 日高 万里	9784592213505	天使1/2方程式 10 日高 万里
special-edition-fix.yml	9784592227847	暁のヨナ 現パロ番外編+スケッチ集付き特装版 35 草凪 みずほ	9784592223153	暁のヨナ 35 草凪 みずほ
special-edition-fix.yml	9784592227946	転生悪女の黒歴史 描き下ろし!イアナやイア臓のちょっとエッチなヤンデレ監禁生活小冊子付き特装版 6 冬夏 アキハル	9784592220565	転生悪女の黒歴史 6 冬夏 アキハル
special-edition-fix.yml	9784592228042	墜落JKと廃人教師 ミニカラー画集vol.3付き特装版 12 sora	9784592223825	墜落JKと廃人教師 12 sora
special-edition-fix.yml	9784592228059	コレットは死ぬことにした 描き下ろし後日談&冥府こぼれ話小冊子付き特装版 20 幸村 アルト	9784592223405	コレットは死ぬことにした 20 幸村 アルト
special-edition-fix.yml	9784592228240	転生悪女の黒歴史 特別編と描き下ろし漫画の闇鍋小冊子付き特装版 7 冬夏 アキハル	9784592220572	転生悪女の黒歴史 7 冬夏 アキハル
special-edition-fix.yml	9784592228257	転生悪女の黒歴史 オール描き下ろし! イアナやイア臓の結婚小冊子付き特装版 8 冬夏 アキハル	9784592220589	転生悪女の黒歴史 8 冬夏 アキハル
special-edition-fix.yml	9784592228523	なまいきざかり。 甘々番外編&描きおろし後日談付き特装版 23 ミユキ 蜜蜂	9784592224037	なまいきざかり。 23 ミユキ 蜜蜂
special-edition-fix.yml	9784592228677	天使1/2方程式 11 おまけまんが小冊子3付き特装版 11 日高 万里	9784592223764	天使1/2方程式 11 日高 万里
special-edition-fix.yml	9784592228806	顔だけじゃ好きになりません ときめき供給倍増し 小冊子付き特装版 7 安斎 かりん	9784592223689	顔だけじゃ好きになりません 7 安斎 かりん
special-edition-fix.yml	9784592228868	墜落JKと廃人教師 ミニカラー画集vol.4付き特装版 16 sora	9784592223863	墜落JKと廃人教師 16 sora
special-edition-fix.yml	9784592810117	ナナとカオル Black Label 初回限定プレミアム同人誌つき豪華版 甘詰留太	9784592146919	ナナとカオルBlack Label（1） 甘詰留太
special-edition-fix.yml	9784592810124	ナナとカオル BlackLabel 2 トロピカル同人誌つき 甘詰留太	9784592146926	ナナとカオルBlack Label（2） 甘詰留太
special-edition-fix.yml	9784592810155	ナナとカオルBlack　Label（5）ファイナル同人誌 甘詰留太	9784592146957	ナナとカオルBlack　Label（5） 甘詰留太
special-edition-fix.yml	9784592810179	女子小学生はじめました P! 公式アンソロジー別冊つき初回限定版 4 牛乳のみお	9784592141747	女子小学生はじめました P! 4 牛乳のみお
special-edition-fix.yml	9784757510036	ぱにぽに（4）初回限定版 氷川へきる	9784757510043	ぱにぽに（4） 氷川へきる
special-edition-fix.yml	9784757512023	ぱにぽに（5）初回限定版 氷川へきる	9784757512078	ぱにぽに（5） 氷川へきる
special-edition-fix.yml	9784757512931	ぱにぽに（6）初回限定版 氷川へきる	9784757512948	ぱにぽに（6） 氷川へきる
special-edition-fix.yml	9784757543263	ホリミヤ（06）初回限定版 萩原ダイスケ/HERO	9784757543256	ホリミヤ（6） HERO/萩原ダイスケ
special-edition-fix.yml	9784757543799	月刊少女野崎くん 6巻 初回限定特装版 椿いづみ	9784757543782	月刊少女野崎くん（6） 椿いづみ
special-edition-fix.yml	9784757544895	咲（14）初回限定特装版 小林立	9784757544901	咲ーSaki-（14） 小林立
special-edition-fix.yml	9784757546868	WEB版WORKING！！（3）ドラマCD付き初 高津カリノ	9784757546851	WEB版 WORKING！！（3） 高津カリノ
special-edition-fix.yml	9784757548718	月刊少女野崎くん 8巻 初回限定特装版 椿いづみ	9784757548701	月刊少女野崎くん（8） 椿いづみ
special-edition-fix.yml	9784757549722	田中くんはいつもけだるげ（7） アクリルチャームブックマーカー付き 初回限定特装版 ウダノゾミ	9784757549715	田中くんはいつもけだるげ（7） ウダノゾミ
special-edition-fix.yml	9784757550100	WEB版 WORKING!! 4巻 超豪華ドラマCD付き 初回限定特装版 高津カリノ	9784757550087	WEB版WORKING！！（4） 高津カリノ
special-edition-fix.yml	9784757550117	WEB版 WORKING！！ 5巻 超豪華ドラマCD付き 初回限定特装版 高津カリノ	9784757550094	WEB版WORKING！！（5） 高津カリノ
special-edition-fix.yml	9784757552425	ばらかもん(15) オリジナルドラマCD付き 初回限定特装版 ヨシノサツキ	9784757552418	ばらかもん（15） ヨシノサツキ
special-edition-fix.yml	9784757554344	ばらかもん(16) オリジナルドラマCD付き 初回限定特装版 ヨシノサツキ	9784757554337	ばらかもん（16） ヨシノサツキ
special-edition-fix.yml	9784757567788	わたしの幸せな結婚（2） 特装版 顎木あくみ/高坂りと/月岡月穂	9784757567771	わたしの幸せな結婚（2） 富士見L文庫／KADOKAWA刊/高坂りと/月岡月穂
special-edition-fix.yml	9784757567832	性別「モナリザ」の君へ。　5巻　特装版　小冊子付き 吉村旋	9784757567825	性別「モナリザ」の君へ。（5） 吉村旋
special-edition-fix.yml	9784757569218	おじさまと猫（6）　ミニ画集付き特装版 桜井海	9784757569201	おじさまと猫（6） 桜井海
special-edition-fix.yml	9784757571235	スライム倒して300年、知らないうちにレベルMAXになってました8巻　特装版 森田季節/シバユウスケ/紅緒	9784757571228	スライム倒して300年、知らないうちにレベルMAXになってました（8） 森田季節（GAノベル/SBクリエイティブ刊）/シバユウスケ/紅緒
special-edition-fix.yml	9784757572041	「30歳まで童貞だと魔法使いになれるらしい」7巻特装版　恋する男たちの純愛（ピュアラブ）妄想小冊子付き 豊田悠	9784757572034	30歳まで童貞だと魔法使いになれるらしい（7） 豊田悠
special-edition-fix.yml	9784757572133	その着せ替え人形は恋をする7巻特装版　オリジナルビッグアクリルキーホルダー付き 福田晋一	9784757572126	その着せ替え人形は恋をする（7） 福田晋一
special-edition-fix.yml	9784757572256	「地縛少年花子くん」15巻特装版　アクリルキーホルダー2個セット付き あいだいろ	9784757572249	地縛少年 花子くん（15） あいだいろ
special-edition-fix.yml	9784757572805	私がモテないのはどう考えてもお前らが悪い！（20）小冊子付き特装版 谷川ニコ	9784757572324	私がモテないのはどう考えてもお前らが悪い！（20） 谷川ニコ
special-edition-fix.yml	9784757572812	「ジャヒー様はくじけない！」7巻　小冊子付き特装版（7） 昆布わかめ	9784757571044	ジャヒー様はくじけない！（7） 昆布わかめ
special-edition-fix.yml	9784757573963	月刊少女野崎くん13巻　「0巻」付き特装版 椿いづみ	9784757573956	月刊少女野崎くん（13） 椿いづみ
special-edition-fix.yml	9784757574977	「わたしの幸せな結婚」（3）小冊子付き特装版 顎木あくみ/高坂りと/月岡月穂	9784757574991	わたしの幸せな結婚（3） 富士見L文庫／KADOKAWA刊/高坂りと/月岡月穂
