tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	cry-anoko-to-shitai-koto	くらいあの子としたいこと	standard	5	9784040755939	2024-09	KADOKAWA	くらいあの子としたいこと 5	碇　マナツ	碇マナツ	ドラゴンコミックスエイジ	9784040	9784040	3
STRICT	OK	cuprum-no-hanayome	クプルムの花嫁	standard	6	9784047380967	2024-10	KADOKAWA	クプルムの花嫁 6	namo	namo	ハルタコミックス	9784047	9784047	5
STRICT	OK	daidaaku	大ダーク	standard	8	9784098536412	2024-10	小学館	大ダーク(8)	林田 球	林田球	ゲッサン少年サンデーコミックス	9784098	9784098	2
STRICT	OK	daimonzu	ダイモンズ	standard	5	9784253248051	2015-10	秋田書店	ダイモンズ(5)	米原秀幸/手塚治虫	米原秀幸	秋田トップコミックス	9784253	9784253	2
STRICT	OK	damonde-toyohashi-ga-sukitte-ittorujan	だもんで豊橋が好きって言っとるじゃん!	standard	7	9784801984387	2024-09	竹書房	だもんで豊橋が好きって言っとるじゃん!(7)	佐野妙	佐野妙	バンブーコミックス	9784801	9784801	2
STRICT	OK	dare-nimo-aisarenai-node-yuka-o-migaite-itara-soko-ga-seiikika-shita-reijou-no-hanashi	誰にも愛されないので床を磨いていたらそこが聖域化した令嬢の話	standard	4	9784575420241	2024-11	双葉社	誰にも愛されないので床を磨いていたらそこが聖域化した令嬢の話(4)	皐月文/ひだまり	皐月文	モンスターコミックスf	9784575	9784575	2
STRICT	OK	darwin-jihen	ダーウィン事変	standard	8	9784065374634	2024-11	講談社	ダーウィン事変(8)	うめざわ しゅん	うめざわしゅん	アフタヌーンKC	9784065	9784065	3
STRICT	OK	dead-account	デッドアカウント	standard	8	9784065371312	2024-10	講談社	デッドアカウント(8)	渡辺 静	渡辺静	講談社コミックス	9784065	9784065	3
STRICT	OK	dekiai-royale	溺愛ロワイヤル	standard	14	9784098732647	2025-12	小学館	溺愛ロワイヤル(14)	八神 千歳	八神千歳	ちゃおコミックス	9784098	9784098	1
STRICT	OK	dekiru-maid-sama	できるメイド様	standard	5	9784046854568	2025-12	KADOKAWA	できるメイド様 5	Sanho/yuin	yuin / Sanho	フロース　コミック	9784046	9784046	4
STRICT	OK	diner	DINER ダイナー	standard	25	9784088938943	2025-12	集英社	DINERダイナー 25	河合 孝典/平山 夢明	河合孝典	ヤングジャンプコミックス	9784088	9784088	2
STRICT	OK	dog-signal	DOG SIGNAL	standard	12	9784046842428	2024-10	KADOKAWA	DOG SIGNAL 12	みやうち　沙矢	みやうち沙矢	BRIDGE　COMICS	9784046	9784046	2
STRICT	OK	dokusha-toukou-shinrei-taiken	読者投稿心霊体験	standard	22	9784785933364	2010-03	少年画報社	読者投稿心霊体験(22)	高港基資	高港基資	ＹＫ　ｂｅｓｔ　高港基資他ホラ-傑作選	9784785	9784785	1
STRICT	OK	dorei-sensei	奴隷先生	standard	5	9784537148954	2024-09	日本文芸社	奴隷先生 ( 5)	友野 ヒロ/村生 ミオ	友野ヒロ	ニチブンコミクス	9784537	9784537	3
STRICT	OK	double-play	だぶるぷれい	standard	5	9784537148930	2024-09	日本文芸社	だぶるぷれい ( 5)	ムラタコウジ	ムラタコウジ	ニチブンコミックス	9784537	9784537	4
STRICT	OK	double-step-father	ダブルステップファザー	standard	2	9784596719560	2024-12	ハーパーコリンズ・ジャパン	ダブルステップファザー 2	三並	三並	ジェラートコミックス　ジェラートコミックス　CMG15	9784596	9784596	2
STRICT	OK	douse-nakunara-koi-ga-ii	どうせ泣くなら恋がいい	standard	6	9784088430577	2024-10	集英社	どうせ泣くなら恋がいい 6	日下 あき	日下あき	マーガレットコミックス	9784088	9784088	3
STRICT	OK	doushiyoumonai-boku-to-kisu-shiyou	どうしようもない僕とキスしよう	standard	10	9784098728510	2024-12	小学館	どうしようもない僕とキスしよう(10)	北川 みゆき	北川みゆき	フラワーコミックス α	9784098	9784098	4
STRICT	OK	drama-na-koi-wa-kihon-kara	ドラマな恋は基本から	standard	2	9784065370339	2024-10	講談社	ドラマな恋は基本から(2)	榎本 あかまる	榎本あかまる	モーニング　KC	9784065	9784065	3
STRICT	OK	duel-masters-win	デュエル・マスターズWIN	standard	6	9784091497949	2024-10	小学館	デュエル・マスターズ WIN(6)	松本 しげのぶ	松本しげのぶ	コロコロコミックス	9784091	9784091	3
STRICT	OK	dungeon-ni-hisomu-yandere-na-kanojo-ni-ore-wa-nando-mo-korosareru	ダンジョンに潜むヤンデレな彼女に俺は何度も殺される	standard	4	9784046843692	2024-11	KADOKAWA	ダンジョンに潜むヤンデレな彼女に俺は何度も殺される 4	野村　エージ/北川　ニキタ/ともー	野村エージ / 北川ニキタ	MFC	9784046	9784046	5
STRICT	OK	dungeon-no-osananajimi	ダンジョンの幼なじみ	standard	5	9784046839299	2024-10	KADOKAWA	ダンジョンの幼なじみ 5	久真　やすひさ	久真やすひさ	MFコミックス アライブシリーズ	9784046	9784046	2
STRICT	OK	dungeon-shierupa-meikyuu-michisaki-annainin	ダンジョン・シェルパ迷宮道先案内人	standard	12	9784065366998	2024-10	講談社	ダンジョン・シェルパ 迷宮道先案内人(12)	刀坂 アキラ/加茂 セイ/布施 龍太	刀坂アキラ	シリウスKC	9784065	9784065	8
