slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
cobra	コブラ	寺沢武一	deluxe	ジャンプ・コミックスデラックス	集英社	10	18	0.56	圧縮(豪華本)	1988-02-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2016/9784088582016.jpg?_ex=300x300	10	OK	10/10
cobra-1995	COBRA	寺沢武一	deluxe	Jump comics deluxe	集英社	11	15	0.73	圧縮(豪華本)	1995-07-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2917/9784088582917.jpg?_ex=200x200	11	OK	11/11
code-name-wa-sailor-v	コードネームはセーラーV	武内直子	deluxe	KCデラックス	講談社	2	3	0.67	圧縮(豪華本)	2004-10-28	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0633/06334929.jpg?_ex=200x200	2	OK	2/2
crush-gear-n	クラッシュギアNitro	松本久志	deluxe	講談社コミックスボンボンKCデラックス KCDX	講談社	2	3	0.67	圧縮(豪華本)	2003-07-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7555/9784063347555.jpg?_ex=200x200	2	OK	2/2
curry-club-ni-ai-ni-kite	カレー倶楽部にあいにきて	あらいきよこ	deluxe	Flower comics deluxe	小学館	2	4	0.50	圧縮(豪華本)	2002-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7912/9784091387912.gif?_ex=200x200	2	OK	2/2
dear-boys	Dear boys	八神ひろき	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	12	23	0.52	圧縮(豪華本)	2024-12-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0994/9784065380994_1_30.jpg?_ex=200x200	12	OK	12/12
deimosu-no-hanayome	悪魔の花嫁	あしべゆうほ	deluxe	プリンセスコミックスデラックス	秋田書店	12	17	0.71	圧縮(豪華本)	1994-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3300/9784253153300.jpg?_ex=300x300	12	OK	12/12
desire-2nd-season	DESIRE 2nd season	小谷憲一	deluxe	ジャンプコミックスデラックス	集英社	7	25	0.28	圧縮(豪華本)	2007-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0885/08859628.jpg?_ex=300x300	7	OK	7/7
doll-no-kuni	人形の国	弐瓶勉	deluxe	KCデラックス	講談社	5	9	0.56	圧縮(豪華本)	2019-11-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2376/9784065182376.jpg?_ex=200x200	5	OK	5/5
dungeons-and-dragons	ダンジョンズ＆ドラゴンズ	坂田靖子	deluxe	KCデラックス	講談社	1	2	0.50	圧縮(豪華本)	1998-09-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9772/9784063339772.jpg?_ex=200x200	1	OK	1/1
