verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:イズミダフユキ|name:夜鷹ふたたび	夜鷹ふたたび	2	2026-03-13	2026-06-13	モーニングKC	星海ユミ	9784065422533
著者は本番に在る(作品は別)		name:あすかいくに|name:夜明けの貴公子は行き遅れの太陽に恋焦がれる	夜明けの貴公子は行き遅れの太陽に恋焦がれる	1	2026-06-13	2026-06-13	MGC. Avarus series	あぐにゅん / あすかいくに	9784800017604
著者は本番に在る(作品は別)		name:倉瀬しの|name:夜を教えて千夜来くん	夜を教えて千夜来くん	2	2026-02-23	2026-06-13	マーガレットコミックス	辰川皐	9784088432410
本番に完全に無い		name:印牧巻|name:勇者遺族	勇者遺族	1	2026-06-13	2026-06-13	ヤングジャンプコミックス		9784088940342
著者は本番に在る(作品は別)		name:CarrSally|name:優しい誘拐犯	優しい誘拐犯	1	2026-06-13	2026-06-13	HQ comics★kirara = ハーレクインコミックス★キララ. 永遠のハッピーエンド・ロマンス	碧ゆかこ	9784302120499
本番に完全に無い		name:macopub. 2024|name:予言された悪役令嬢は小鳥と謳う	予言された悪役令嬢は小鳥と謳う	1	2026-06-13	2026-06-13	ヤングジャンプコミックス	吉高花 / macopub. 2024	9784088942537
著者は本番に在る(作品は別)		name:かかとぶし|name:乙女のおかず	乙女のおかず	2	2026-02-16	2026-06-13	ヤンマガKC	藤川よつ葉 / かかとぶし	9784065418789
著者は本番に在る(作品は別)		qid:Q22127588|name:ヴァージン・キラー忍法帖	ヴァージン・キラー忍法帖	1	2026-06-13	2026-06-13	MGC. Web comic beat's series	成田芋虫	9784800017680
本番に完全に無い		name:雨田青|name:ミライライフライ	ミライライフライ	2	2025-07-11	2026-06-13	アフタヌーンKC	雨田青	9784065400470
本番に完全に無い		name:夏草|name:ボイタボイネ	ボイタボイネ	1	2026-06-13	2026-06-13	Blade comics. Pixiv		9784800017666
著者は本番に在る(作品は別)		name:美波はるこ|name:ブラックリストの食えない男	ブラックリストの食えない男	2	2025-10-17	2026-06-13	office YOU COMICS	美波はるこ	9784420154925
著者は本番に在る(作品は別)		name:座紀光倫|name:ナースの取扱説明書	ナースの取扱説明書	2	2026-02-09	2026-06-13	モーニングKC	座紀光倫	9784065426845
著者は本番に在る(作品は別)		name:KingTom|name:スーパーガールウーマン・オブ・トゥモロー	スーパーガールウーマン・オブ・トゥモロー	1	2026-06-13	2026-06-13		彩月つかさ / KingTom	9784911348444
著者は本番に在る(作品は別)		name:saku漫画家|name:グランニューデイズ	グランニューデイズ	2	2026-01-09	2026-06-13	集英社ホームコミックス. オギャー!!	saku漫画家	9784834233506
著者は本番に在る(作品は別)		name:烏丸紫明|name:わたくしに恋してください!	わたくしに恋してください!	2	2025-12-02	2026-06-13	フロースコミック	花形怜 / 鳥羽井ゆせん	9784046601742
著者は本番に在る(作品は別)		name:スガレオン|name:ぼくの壊れた正義はループする異世界で愛と罪を天秤にかける	ぼくの壊れた正義はループする異世界で愛と罪を天秤にかける	2	2025-06-21	2026-06-13	ヤングジャンプコミックス	すずの木くろ / スガレオン	9784088937205
本番に完全に無い		name:髙井野花|name:ひとくちちょうだい	ひとくちちょうだい	2	2026-04-15	2026-06-13	ヤンマガKC		9784065424704
著者は本番に在る(作品は別)		name:日向夏|name:なぞとき遺跡発掘部	なぞとき遺跡発掘部	1	2026-06-13	2026-06-13	フラワーコミックスα	日向夏 / 柴田五十鈴	9784098734573
本番に完全に無い		name:伊藤ゆうた|name:さよなら僕のアイドル	さよなら僕のアイドル	2	2026-03-13	2026-06-13	ヤングジャンプコミックス	伊藤ゆうた	9784088940922
著者は本番に在る(作品は別)		name:たかうま創|name:いくばくか～承認の渇求～	いくばくか～承認の渇求～	1	2026-06-13	2026-06-13	モーニングKC	たかうま創	9784065441237
本番に完全に無い		name:多田基生|name:SとX	SとX	1	2026-06-13	2026-06-13	モーニングKC		9784065435960
著者は本番に在る(作品は別)		name:Hagane|name:KRAKEN MARE	KRAKEN MARE	2	2025-10-15	2026-06-13	アフタヌーンKC	原正人 / Izu	9784065409336
本番に完全に無い		name:秋山花緒|name:限界保育士と育児疲れの魔王様	限界保育士と育児疲れの魔王様	2	2026-03-09	2026-06-08	Daitosha comic. Daito comics BLシリーズ	秋山花緒	9784864957908
本番に完全に無い		name:工藤える|name:江口さんちの純情サキュバス	江口さんちの純情サキュバス	2	2025-06-30	2026-06-08	Manga time KR comics. Kirara menu	工藤える	9784832296404
本番に完全に無い		name:山中灯里|name:気持ち悪いと言ってくれ	気持ち悪いと言ってくれ	1	2026-06-08	2026-06-08			9784758099011
