slug	title	authors	year	publisher	total_volumes
asakusa-young-youhinten	浅草ヤング妖品店	真崎春望	1997	shueisha	8
mazin-saga-nagai	魔神サーガ	永井豪	1997	fusosha	4
generous-kiss	GENEROUS KISS	かんべあきら	1998	oto-shobo	3
shadow-skill	Shadow skill	岡田芽武	1998	kodansha	15
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	きくち正太	1998	gentosha	14
dekirukana	できるかな	西原理恵子	1998	fusosha	3
ultra-seven-productions-1998	ウルトラセブン	伊東章夫・桑田二郎・中沢啓治・福元一義	1998	kodansha	2
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	琴川彩・風忍・洋介犬・河原達弘・瀬河美紀・井上芳之助・稲川淳二・桜水樹・ダイナミックプロダクション・野口千里・津上柊子・河村万理・鯖玉弓・黒百合姫・こきま大	1998	leed	4
hamster-shiiku-nikki	ハムスター飼育日記	めで鯛	1998	scola	2
bolt-and-nut	ボルト＆ナット	田中むねよし	1998	(unknown)	16
fuchin-senkan-kii	不沈戦艦紀伊	神矢みのる	1998	gakken	8
shiro-no-fiorenteiina	白のフィオレンティーナ	戸川視友	1998	tousuisha	31
b-t-x-1999	B'T X-ビート・エックス-	車田正美	1999	shueisha	11
duel-masters	DUEL MASTERS	松本しげのぶ	1999	shogakukan	16
rave	Rave	真島ヒロ	1999	kodansha	52
samurai-deeper-kyo	SAMURAI DEEPER KYO	上条明峰	1999	kodansha	55
tasokare-no-yume	たそかれの夢	巻来功士	1999	shueisha	3
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	(unknown)	1999	(unknown)	5
psychic-academy-koura-banshou	サイキックアカデミー煌羅万象	克・亜樹	1999	kodansha	10
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	うさ銀太郎	1999	mediafactory	19
kinshin-soukan-ando-esuemu-taiken	近親相姦＆SM体験	(unknown)	1999	sunny-shuppan	3
beck	BECK	ハロルド作石	2000	kodansha	67
kanon	Kanon	森嶋プチ	2000	kadokawa	3
valkyrie-profile-2000	VALKYRIE PROFILE	魔神ぐり子	2000	square-enix	3
valkyrie-profile-2001-2	VALKYRIE PROFILE	金田一蓮十郎	2000	square-enix	5
valkyrie-profile-2001	VALKYRIE PROFILE	祥寺はるか	2000	square-enix	5
red-eyes	red Eyes	神堂潤	2000	kodansha	27
star-ocean-second-story	スターオーシャン セカンドストーリー	天麻灯	2000	square-enix	2
la-blue-girl	ラ・ブルー・ガール	前田俊夫	2000	schubert-shuppan	3
taiyou-no-romance	太陽のロマンス	やまかみ梨由	2000	shinshokan	3
matenrou	摩天楼	廿里祥一郎	2000	futabasha	13
bishou-hari	美少玻璃	小澤奈央・松本ゆうか・摩耶薫子・たちばなれい・大出なつみ	2000	shobunkan	6
harukanaru-toki-no-naka-de	遙かなる時空の中で	水野十子	2000	hakusensha	10
haruka-naru-toki-no-naka-de	遥かなる時空の中で	水野十子	2000	hakusensha	15
ginga-densetsu-weed	銀牙伝説Weed	高橋よしひろ	2000	nihon-bungeisha	80
best-of-naka-tomoko	閑古鳥の巣	名香智子	2000	futabasha	3
denkou-sekka-boys	電光石火BOYS	東城麻美	2000	tokuma	2
kuroi-kizuato-no-otoko	黒い傷痕の男	佐藤まさあき	2000	sunny-shuppan	5
clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	CLAMP	2001	kodansha	21
dogs	DOGS	三輪士郎	2001	shueisha	5
