slug	title	authors	year	publisher	total_volumes
dark-alice	DARK ALICE	eat	2016	(unknown)	2
y-the-last-man	Y:ザラストマン	ピア・ゲラ	2016	(unknown)	5
sore-ike-tenanmon	それ行け!天安悶	業田良家	2016	(unknown)	2
panic-monster-taifuu-daisekkin	パニック!モンスター台風大接近!	立花未来王	2016	(unknown)	1
bukimi-seibutsu-shutsugen-shinkai-kara-no-esuooesu	ブキミ生物出現深海からのSOS!	高田慎一郎	2016	(unknown)	1
bozu-life	ボーズ☆ライフ!	相葉キョウコ	2016	(unknown)	2
youkai-manga-de-tanoshii-koten	妖怪マンガで楽しい古典	みずなともみ・武楽清・能松健七	2016	(unknown)	5
gakken-manga-new-sekai-no-rekishi	学研まんがNEW世界の歴史	近藤二郎	2016	(unknown)	12
zettai-zetsumei-kiken-seibutsu-world-o-kouryaku-seyo	絶体絶命!危険生物ワールドを攻略せよ!	三國シン	2016	(unknown)	1
wakatono-wa-tsuraiyo	若殿はつらいよ!	ケン月影	2016	(unknown)	4
kyouka-ayakashi-hichou-tsuki	鏡花あやかし秘帖 月	今市子	2016	(unknown)	1
the-witcher	ウィッチャー	ジョー・ケリオ	2017	(unknown)	3
the-boys	ザ・ボーイズ	シンギョウガク	2017	(unknown)	3
tanpopo-ni-furu-ame	タンポポに降る雨	今市子	2017	(unknown)	1
bareeboshi	バレエ星	谷ゆきこ	2017	(unknown)	1
monstress	モンストレス	サナ・タケダ	2017	(unknown)	2
haitoku-no-manabiya	背徳の学び舎	今市子	2017	(unknown)	1
eiyuu-densetsu-sora-no-kiseki-esushii	英雄伝説空の軌跡SC	啄木鳥しんき	2017	(unknown)	7
odorumishin	踊るミシン	伊藤重夫	2017	(unknown)	1
5-okunengo-ni-igai-na-ketsumatsu	5億年後に意外な結末	usiイラストレーター	2018	(unknown)	1
sayonaraboshi	さよなら星	谷ゆきこ	2018	(unknown)	1
sono-oshi-batsubatsu-ni-tsuki	その推し、××につき!	千岡ななえ	2018	(unknown)	4
hina-chan-to-furikaeru-heiseishi	ひなちゃんとふりかえる平成史	南ひろこ	2018	(unknown)	1
marimo-no-hoshi	まりもの星	谷ゆきこ	2018	(unknown)	1
android-wa-ai-no-yume-o-miruka	アンドロイドは愛の夢をみるか?	ヒダカリョウ	2018	(unknown)	4
