type	subtype	severity	slug	title	status	year_started	year_ended	publisher_key	n_vols	n_eds	detail	evidence
YE_EARLY	solo_reprint	17	tantei-monogatari-kabu	探偵物語カブ	completed	1985	1985	sekai-bunka	1	1	year_ended=1985 < 最大巻#1の初版年=2002 (17年後に新刊)	#1=2002-11-01 :: [standard]トクマ・コミックス/世界文化社 2002-2002 n=1
YE_EARLY	solo_reprint	16	denkou-shounen	電光少年	completed	1994	1994	pan-rolling	1	1	year_ended=1994 < 最大巻#1の初版年=2010 (16年後に新刊)	#1=2010-03-01 :: [standard]通常版/パンローリング 2010-2010 n=1
YE_EARLY	solo_reprint	16	fuuten	フーテン	completed	1972	1972	chikuma-shobo	1	1	year_ended=1972 < 最大巻#1の初版年=1988 (16年後に新刊)	#1=1988-09-01 :: [standard]通常版/筑摩書房 1988-1988 n=1
YE_EARLY	solo_reprint	16	gokuu-no-dai-bouken	悟空の大冒険	completed	2003	2003	fukkan-com	1	1	year_ended=2003 < 最大巻#1の初版年=2019 (16年後に新刊)	#1=2019-07-25 :: [standard]虫コミックス/復刊ドットコム 2019-2019 n=1
YE_EARLY	solo_reprint	16	mickey	Mickey	completed	1981	1981	shueisha	1	1	year_ended=1981 < 最大巻#1の初版年=1997 (16年後に新刊)	#1=1997-09-01 :: [standard]りぼんマスコットコミックス/集英社 1997-1997 n=1
YE_EARLY	serial_multied	16	shinpan-himitsu-tantei-jieiei	秘密探偵JA	completed	1965	1969	daitosha	52	4	year_ended=1969 < 最大巻#15の初版年=1985 (16年後に新刊)	#15=1985-04-30 :: [standard]Star comics/大都社 1984-1985 n=15 | [bunkobon]秋田漫画文庫/秋田書店 1982-1983 n=15 | [bunkobon]HMB/ホーム社 2000-2000 n=13 | [bunkobon]ぶんか社コミック文庫/ぶんか社 2009-2009 n=9
YE_EARLY	solo_reprint	15	blue-2006	BLUE	completed	1991	1991	ohta-shuppan	1	1	year_ended=1991 < 最大巻#1の初版年=2006 (15年後に新刊)	#1=2006-08-01 :: [standard]光文社コミックス/太田出版 2006-2006 n=1
YE_EARLY	solo_reprint	15	chizome-no-monshou	血染めの紋章	completed	1974	1974	keibunsha	1	1	year_ended=1974 < 最大巻#1の初版年=1989 (15年後に新刊)	#1=1989-08-01 :: [standard]現代漫画家自選シリーズ/勁文社 1989-1989 n=1
YE_EARLY	solo_reprint	15	dangan-toppu	弾丸トップ	completed	1993	1993	pan-rolling	1	1	year_ended=1993 < 最大巻#1の初版年=2008 (15年後に新刊)	#1=2008-04-01 :: [standard]通常版/パンローリング 2008-2008 n=1
YE_EARLY	solo_reprint	15	kyouhan-gensou	共犯幻想	completed	1978	1978	parushuppan	1	1	year_ended=1978 < 最大巻#1の初版年=1993 (15年後に新刊)	#1=1993-08-01 :: [standard]もう一つの劇画世界/ぱる出版 1993-1993 n=1
