slug	title_id	カテゴリ	商品題
mezametara-saikyou-soubi-to-uchuusen-mochi-datta-no-de-ikkodate-mezashite-youhei-to-shite-jiyuu-ni	631031	ライトノベル/男性向けライトノベル	目覚めたら最強装備と宇宙船持ちだったので、一戸建て目指して傭兵として自由に生きたい
migawari-de-endan-ni-sanka-shita-gumai-no-watashi-ringoku-no-ouji-sama-ni-misomeraremashita	20073017	ライトノベル/女性向けライトノベル	身代わりで縁談に参加した愚妹の私、隣国の王子様に見初められました
migawari-hanayome-wa-inochi-o-toshite	20070917	ライトノベル/女性向けライトノベル	身代わり花嫁は命を賭して　主君に捧ぐ忍びの花【電子特典付き】
mii-chan-wa-kyou-mo-ganbaranai	847280	小説・文芸/エッセイ・紀行	エッセイ	ミィちゃんは今日もがんばらない
mikiri-kara-hajimeru-garyuu-kenjutsu	20044281	ライトノベル/男性向けライトノベル	見切りから始める我流剣術 1
mizu-mahou-nante-tsukaenai-to-tsuihousareta-saretakedo-mizu-ga-bannou-dato-kigatsuki-mizu-no-kenja	1353243	ライトノベル/男性向けライトノベル	水魔法なんて使えないと追放されたけど、水が万能だと気がつき水の賢者と呼ばれるまでに成長しました～今更水不足と泣きついても簡単には譲れません～（サーガフォレスト）１
mizuki-shigeru-no-fushigi-zoushi	559855	小説・文芸/小説	国内小説	水木しげるの不思議草子
mizuki-shigeru-no-ikai-tanbouki	599401	小説・文芸/小説	国内小説	水木しげるの異界探訪記
mizuki-shigeru-no-nippon-ryouiki	508258	小説・文芸/小説	国内小説	水木しげるの日本霊異記
mobu-dakedo-oshi-ga-ikiteru-kara-mainichi-ga-tanoshii	719160	TL/TL小説	モブだけど推しが生きてるから毎日が楽しい
moebuta-tensei	1051952	ライトノベル/男性向けライトノベル	萌え豚転生　～悪徳商人だけど勇者を差し置いて異世界無双してみた～
mofumofu-to-mukumuku-to-isekai-hyouryuu-seikatsu	1100926	ライトノベル/男性向けライトノベル	もふもふとむくむくと異世界漂流生活１
mofumofu-to-tanoshimu-mujintou-nonbiri-kaitaku-life	20048991	ライトノベル/男性向けライトノベル	もふもふと楽しむ無人島のんびり開拓ライフ　～VRMMOでぼっちを満喫するはずが、全プレイヤーに注目されているみたいです～
monogatari-yunbo-kun	225883	小説・文芸/小説	国内小説	ものがたり　ゆんぼくん　１
moto-konyakusha-kara-nigeru-tame-kyuuketsu-hakushaku-ni-koibito-no-furi-o-onegai-shitara-naze	1292850	ライトノベル/女性向けライトノベル	元婚約者から逃げるため吸血伯爵に恋人のフリをお願いしたら、なぜか溺愛モードになりました
moto-koookami-no-reitetsu-kokuou-heika-ni-dekiai-sarete-komatte-imasu	1128731	TL/TL小説	元仔狼の冷徹国王陛下に溺愛されて困っています！
mujihi-na-akuyaku-kizoku-ni-tensei-shita-boku-wa-shouaku-mahou-o-kushi-shite-mahou-sekai-no-chouten	1540424	ライトノベル/男性向けライトノベル	無慈悲な悪役貴族に転生した僕は掌握魔法を駆使して魔法世界の頂点に立つ　～ヒロインなんていないと諦めていたら向こうから勝手に寄ってきました～
mushoboke	1007837	小説・文芸/小説	国内小説	ムショぼけ
nanshoku-ookagami	681985	小説・文芸/小説	国内小説	男色大鑑
nanto-iwareyoutomo-boku-wa-tada-no-kyuutei-shisho-desu	20039312	ライトノベル/男性向けライトノベル	何と言われようとも、僕はただの宮廷司書です。
neko-inu-mangakaki	2169722	小説・文芸/エッセイ・紀行	エッセイ	ねこいぬ漫画かき　１
neko-to-boku-no-hibi	308090	小説・文芸/児童書	絵本・キャラクター	猫と僕の日々 1 だからやっぱり猫が好き
nekokaburi-hime-to-tenjou-no-ongaku	410921	ライトノベル/女性向けライトノベル	猫かぶり姫と天上の音楽【SS付】【イラスト付】
nekoneko-youjo-no-aijou-gohan	818328	ライトノベル/女性向けライトノベル	ねこねこ幼女の愛情ごはん～異世界でもふもふ達に料理を作ります！～
