slug	title	remaining_gaps
kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	standard:[3, 4, 5, 6, 7]
matenrou	摩天楼	standard:[9]
saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	(1巻が無い):[1]
kounai-shasei-sutoresu-furiiku	校内写生＆ストレスフリーク	(1巻が無い):[1, 2]
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	(1巻が無い):[1]
haizoku-occulty	牌賊!オカルティ	standard:[6]
rouran-mappou-emaki	狼蘭末法絵巻	(1巻が無い):[1]
mayonaka-no-raburetaa	真夜中のラブレター	(1巻が無い):[1]
satoshi	聖	standard:[3]
kasumigaseki-furiimeeson	霞ヶ関フリーメーソン	(1巻が無い):[1]
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	standard:[2]
suteki-na-kekkon	すてきな結婚	(1巻が無い):[1, 2]
pachisuro-yancha-bugi	パチスロやんちゃブギ	standard:[3, 4, 7, 10, 11, 13, 15, 18]
touhou-tetsuwan-komachi-dokidoki-locomotion	東方鉄腕小町ドキドキ♡ロコモーション	(1巻が無い):[1]
hana-ichimonme	花いちもんめ	(1巻が無い):[1]
gunnm-last-order	銃夢last order	shinsoban:[13, 14, 15]
dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	standard:[2]
guruguru-shoukougun	ぐるぐる症候群	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9]
zakoken-maruchou	ざこ検〔○潮〕	standard:[4]
manga-time-mini	まんがタイムmini	(1巻が無い):[1, 2, 3, 4]
mikan-enikki-tokubetsuhen	みかん・絵日記 特別編	(1巻が無い):[1]
grand-vacances	グラン・バカン	(1巻が無い):[1]
riiman-senki-dokushinsan	リーマン戦記独身3	standard:[3]
wada-radio-no-jojo-ni-poiman	和田ラヂヲの徐々にポイマン	(1巻が無い):[1]
kekkon-no-real	結婚のリアル	(1巻が無い):[1]
zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	(1巻が無い):[1]
gamurakan	臥夢螺館	standard:[2]
tanimura-hitoshi-no-bakuretsu-tabiuchi-special	谷村ひとしの爆裂旅打ちスペシャル	(1巻が無い):[1]
