series_key	title	class	subtitle	vols	first_date	last_date	imprints	authors	isbn	既存頁slug	類似頁	材料	著者既掲載
name:さかずきうた|name:透明人間になったわたしと、わたしに興味がない (はずの) 夫の奇妙な三か月間	透明人間になったわたしと、わたしに興味がない (はずの) 夫の奇妙な三か月間	未掲載		2	2026-03-11	2026-03-11	Bamboo comics. BCf	狭山ひびき / さかずきうた	9784801988972			紹介文+書影	済
name:碓井ツカサ|name:近畿地方のある場所について	近畿地方のある場所について	未掲載		2	2025-07-15	2026-03-11		背筋 / 碓井ツカサ	9784049164879			紹介文+書影	済
name:御之字巧|name:英傑のドM	英傑のドM	未掲載		2	2025-03-28	2026-03-11	電撃コミックスNEXT	御之字巧	9784049163100			紹介文+書影	
name:紅原香|name:服の魔法をあなたに。	服の魔法をあなたに。	未掲載		2	2025-03-19	2026-03-11	MFCジーンピクシブシリーズ	飯田めしこ / 氷高悠	9784046846112			紹介文+書影	済
name:あかつき雨垂|name:敗北魔王、勇者の末裔と500年後の社会復帰	敗北魔王、勇者の末裔と500年後の社会復帰	未掲載		2	2026-03-04	2026-03-11	ビボピー. ビボピーコミックス	和時シキ / あかつき雨垂	9784799777060			紹介文+書影	済
name:ウルア|name:家事代行のアルバイトを始めたら学園一の美少女の家族に気に入られちゃいました。	家事代行のアルバイトを始めたら学園一の美少女の家族に気に入られちゃいました。	未掲載		2	2025-07-29	2026-03-11	電撃コミックスNEXT	ウルア / 塩本	9784049164855			紹介文+書影	
name:tani|name:奈落の底で生活して早三年、当時『白魔道士』だった私は『聖魔女』になっていた	奈落の底で生活して早三年、当時『白魔道士』だった私は『聖魔女』になっていた	未掲載		2	2025-03-12	2026-03-11	電撃コミックスNEXT	雪葵ムラサキ / tani	9784049163117			紹介文+書影	
name:やまだごまち|name:住所不定キャンパーはダンジョンでのんびりと暮らしたい	住所不定キャンパーはダンジョンでのんびりと暮らしたい	未掲載		2	2025-11-29	2026-03-11	MFC	やまだごまち / タジリユウ	9784046600516			紹介文+書影	済
name:studio HEADLINE|name:不思議の国でアリスと-Dive in Wonderland-	不思議の国でアリスと-Dive in Wonderland-	未掲載		2	2025-08-20	2026-03-11	角川コミックス・エース	studio HEADLINE / えの / あやめゴン太	9784041165539			紹介文+書影	済
name:八丸真幸|name:レゾンデートル骨董店にようこそ	レゾンデートル骨董店にようこそ	未掲載		2	2025-11-22	2026-03-11	MFC	八丸真幸	9784046851895			紹介文+書影	済
name:朱月十話|name:ラスボス討伐後に始める二周目冒険者ライフ	ラスボス討伐後に始める二周目冒険者ライフ	未掲載		2	2025-09-03	2026-03-11	MFコミックス. アライブ+シリーズ	鬼麻正明 / 朱月十話	9784048114240			紹介文+書影	済
name:kokopub. 2025|name:マスカレード・コンフィデンス	マスカレード・コンフィデンス	未掲載		2	2025-08-13	2026-03-11	MFコミックス. アライブ+シリーズ	kokopub. 2025 / 滝浪酒利	9784048115971			紹介文+書影	
name:夢野ゆず|name:ギャルと大家さん	ギャルと大家さん	未掲載		2	2025-09-17	2026-03-11	シルフコミックス	夢野ゆず	9784049166606			紹介文+書影	
