title	kana	authors	vols	lacking
おおきく振りかぶって公式選手名鑑 : 連載20周年記念	オオキクフリカブッテコウシキセンシュメイカン:レンサイニジッシュウネンキネン	ひぐちアサ/講談社	[1]	題不一致(NDL/楽天):連載20周年記念 おおきく振
大盛!!みこすり半劇場. 2024 秋	オオモリ!!ミコスリハンゲキジョウ	岩谷テンホー	[2024]	巻不連続[2024];v1書影無(楽天)
オールドヨコハマラジオアワー.	オールドヨコハマラジオアワー	青田めい	[2]	巻不連続[2];v1書影無(楽天)
オカルトジャーニー〈閲覧注意〉 = OCCULT JOURNEY.	オカルトジャーニーエツランチュウイ	駒魔子	[3]	巻不連続[3];v1書影無(楽天)
お菊さんはいちゃ憑きたい.	オキクサンワイチャツキタイ	結野ちり	[3]	巻不連続[3];v1書影無(楽天)
おしえて、いけないこと	オシエテイケナイコト	もず	[1]	v1書影無(楽天)
推しが兄になりました.	オシガアニニナリマシタ	隈浪さえ	[7]	巻不連続[7];v1書影無(楽天)
推しの愛が重すぎます!! : イヤミな上司は私のイチ推し	オシノアイガオモスギマス!!:イヤミナジョウシワワタクシノイチオシ	いなさく	[1]	題不一致(NDL/楽天):推しの愛が重すぎます!!〜イ
推しの子. 1 (幼年期・芸能界編)	オシノコ	赤坂アカ, 横槍メンゴ	[1]	題不一致(NDL/楽天):【推しの子】 1 幼年期・芸
推しの子. 2 (恋愛リアリティショー編・ファーストステージ編)	オシノコ	赤坂アカ, 横槍メンゴ	[2]	巻不連続[2];v1書影無(楽天)
おじ転生 : 悪役令嬢の加齢なる生活.	オジテンセイ:アクヤクレイジョウノカレイナルセイカツ	相葉キョウコ	[1]	題不一致(NDL/楽天):おじ転生〜悪役令嬢の加齢なる
オタクに優しいギャルはいない!?	オタクニヤサシイギャルワイナイ!?	のりしろちゃん/魚住さかな	[8]	巻不連続[8];v1書影無(楽天)
落ちこぼれ〈☆1〉魔法使いは、今日も無意識にチートを使う.	オチコボレホシイチマホウツカイワキョウモムイシキニチートオツカウ	右薙光介/ももしか藤子	[5]	巻不連続[5];v1書影無(楽天)
落ちこぼれ魔剣使いの英雄譚 : 魔術が使えず無能の烙印を押されましたが、〈魔術破壊〉で世界最強へ成り上がる.	オチコボレマケンツカイノエイユウタン:マジュツガツカエズムノウノラクインオオサレ	よつやのはじめ/五月蒼	[3]	巻不連続[3];v1書影無(楽天)
おっさんのリメイク冒険日記 : オートキャンプから始まる異世界満喫ライフ.	オッサンノリメイクボウケンニッキ:オートキャンプカラハジマルイセカイマンキツライ	緋色優希/小池えいらく	[11]	巻不連続[11];v1書影無(楽天)
夫を味方にする方法 = How to Win My Husband Over.	オットオミカタニスルホウホウ	SIRU/Spice &amp; Kitty	[2]	巻不連続[2];v1書影無(楽天)
『おっぱい揉みたい』って叫んだら、妹の友達と付き合うことになりました。.	オッパイモミタイッテサケンダライモウトノトモダチトツキアウコトニナリマシタ	凪木エコ/逢沢もにょ	[2]	巻不連続[2];v1書影無(楽天)
お局様は腐女子様!? : 3次元年下男子はお断り!	オツボネサマワフジョシサマ!?:3ジゲントシシタダンシワオコトワリ!	黒岬光	[3]	巻不連続[3];v1書影無(楽天)
大人になれない僕らは.	オトナニナレナイボクラワ	藤田丞	[2]	巻不連続[2];v1書影無(楽天)
乙女ゲー世界はモブに厳しい世界です = THE WORLD OF OTOME GAMES IS A TOUGH FOR MOBS.	オトメゲーセカイワモブニキビシイセカイデス	三嶋与夢/潮里潤	[13]	巻不連続[13];v1書影無(楽天)
乙嫁語り = The Bride's Stories.	オトヨメガタリ	森薫	[15]	巻不連続[15];v1書影無(楽天)
お兄ちゃんたちに気をつけて! = HARLEY TAKES THE HOUSE.	オニイチャンタチニキオツケテ	MinIyeong/Plutus	[2]	巻不連続[2];v1書影無(楽天)
鬼桐さんの洗濯.	オニギリサンノセンタク	ふかさくえみ	[7]	巻不連続[7];v1書影無(楽天)
鬼平犯科帳 : 老同心	オニヘイハンカチョウ:ロウドウシン	さいとう・たかを/池波正太郎	[1]	題不一致(NDL/楽天):鬼平犯科帳 老同心
お姉ちゃんの翠くん = MIDORI LOVES MY SISTER.	オネエチャンノミドリクン	目黒あむ	[7]	巻不連続[7];v1書影無(楽天)
溺れる日々はきみのせい.	オボレルヒビワキミノセイ	深澤ねじ	[3]	巻不連続[3];v1書影無(楽天)
オリエント = ORIENT.	オリエント	大高忍	[22]	巻不連続[22];v1書影無(楽天)
女伯爵アンバーには商才がある! : やっと自由になれたので、再婚なんてお断り.	オンナハクシャクアンバーニワショウサイガアル:ヤットジユウニナレタノデサイコンナ	ひのなつ海/守雨	[2]	巻不連続[2];v1書影無(楽天)
