slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
pink-no-curtain	standard	通常版	15	8	8	1,2,3,4,5,6,7,9
songokuu	standard	通常版	9	8	8	2,3,4,5,6,7,8,9
thrill-kun	standard	通常版	9	8	8	2,3,4,5,6,7,8,9
shin-wild-7	standard	通常版	14	7	7	1,2,3,4,5,6,7
hana-takeda	standard	通常版	9	7	7	5,7,8,10,14,17,21
manga-nippon-no-rekishi	standard	通常版	55	7	7	49,50,51,52,53,54,55
ohayou-himeko	standard	通常版	8	7	7	1,2,3,4,6,7,8
ore-wa-chokkaku	standard	通常版	14	7	7	8,9,10,11,12,13,14
seishun-hakusho	standard	通常版	8	7	7	1,2,3,4,5,6,7
tadaima-jugyouchuu	standard	通常版	12	7	7	1,5,6,7,8,9,10
waratte-denka	standard	通常版	8	7	7	1,2,3,4,5,6,7
dokaben	standard	少年チャンピオン・コミックス	48	6	6	5,6,7,8,10,48
hana-no-sanchoume-chiku	standard	通常版	12	6	6	1,2,3,4,5,6
isshokenmei-hajime-hajime-kun	standard	通常版	7	6	6	1,2,3,4,5,6
kemonomichi-kagemaru	bunkobon	秋田漫画文庫	10	6	6	1,2,3,4,5,6
notari-matsutarou	bunkobon	小学館文庫(1980)	16	6	6	1,2,3,4,7,8
super-rider	standard	通常版	10	6	6	1,2,4,6,9,10
tsuri-baka-taishou	standard	通常版	10	6	6	2,3,4,5,6,7
war-cry	standard	通常版	9	6	6	2,3,5,6,7,8
watari	bunkobon	講談社漫画文庫	7	6	6	1,2,3,4,5,6
dash-shoutarou	standard	通常版	6	5	5	1,2,3,4,5
gan-gara-gan	standard	通常版	8	5	5	1,2,3,4,5
hajime-ningen-gon	standard	通常版	6	5	5	2,3,4,5,7
iraka-no-nami	standard	通常版	10	5	5	6,7,8,9,10
kuchiyaku-mondo-kawaitesourou	deluxe	アクション・コミックス・デラックス	6	5	5	1,2,3,4,6
manga-saiensu	deluxe	デラックス版	14	5	5	2,3,4,5,7
orochi	bunkobon	小学館文庫	6	5	5	1,2,3,4,6
shiawase-wa-konna-katachi-de-yattekuru	standard	通常版	7	5	5	1,2,3,4,5
shippuu-densetsu-hikosa	standard	通常版	12	5	5	1,2,3,5,6
shiritsu-otokojuku	standard	通常版	8	5	5	1,2,3,4,5
sutegoma-ichi	standard	通常版	6	5	5	1,2,3,4,6
todoroke-ichiban	standard	通常版	7	5	5	1,2,3,5,6
bokutachi-no-kichijouji-koimonogatari	standard	通常版	5	4	4	2,3,4,6
bouryoku-taishou	standard	通常版	23	4	4	4,5,7,8
buddha	standard	通常版	14	4	4	11,12,13,14
downtown-mogu	standard	通常版	6	4	4	1,2,3,4
epuron-oba-san	standard	通常版	11	4	4	8,9,10,11
fuuhai-ni-kike	standard	通常版	5	4	4	1,3,5,6
hakkyuu-no-uta	standard	通常版	9	4	4	6,7,8,9
harukanaru-koshien	standard	通常版	10	4	4	7,8,9,10
im-sorry	standard	通常版	8	4	4	1,2,3,4
jarinko-chie	standard	通常版	67	4	4	2,3,4,32
nanairo-kamen	standard	通常版	7	4	4	4,5,6,7
nippon-o-yasumou	standard	通常版	18	4	4	2,3,6,7
onna-kyoushi	standard	通常版	6	4	4	3,4,5,6
suikoden-sentaro	standard	中国歴史コミック版	7	4	4	5,6,7,9
umezu-kazuo-kowai-hon	standard	通常版	9	4	4	1,2,3,4
yasashisa-endless	standard	通常版	5	4	4	1,3,4,5
again	standard	通常版	6	3	3	4,5,6
ayanoshiki	standard	通常版	5	3	3	1,2,3
bacchus	standard	通常版	4	3	3	2,3,4
border	standard	通常版	14	3	3	3,4,5
douchuushi	bunkobon	文庫版	4	3	3	1,3,4
famiken-ryuu	standard	通常版	4	3	3	2,3,4
girl-ga-abunai	standard	通常版	5	3	3	1,2,3
good-girl	standard	通常版	9	3	3	1,2,3
harajuku-furiiku	standard	通常版	5	3	3	1,2,3
haru-chan	standard	通常版	5	3	3	1,2,3
hittoraa-no-musuko	standard	通常版	4	3	3	1,2,3
houkago-nana	standard	通常版	6	3	3	1,2,4
iga-no-kagemaru	bunkobon	文庫版(秋田漫画文庫)	8	3	3	1,6,8
in-shuu-densetsu-taikoubou-denki	standard	通常版	22	3	3	3,6,9
junpaku-no-chi	standard	通常版	4	3	3	2,3,4
kaikyaku-sengen	standard	通常版	4	3	3	12,14,15
kick-off	standard	通常版	12	3	3	1,2,3
kinmedaruman	standard	通常版	4	3	3	1,2,3
kinzoo-no-agatte-nanbo	standard	通常版	8	3	3	4,5,8
kiriko-ekisupuresu	standard	通常版	5	3	3	1,2,3
maboroshi-tantei	shinsoban	standard版(1991)	10	3	3	4,9,10
mosaren-bugi	shinsoban	Wellyコミックス	7	3	3	4,5,6
niigata-manga-taishou-sakuhinshuu	standard	通常版	26	3	3	1,2,3
