tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	rikon-doukyo-2nd-season	rikon-doukyo-2nd-season	離婚同居2nd season	リコンドウキョ2ndseason	リコン ドウキョ セカンド シーズン	リコン ドウキョ 2nd season	KANA_DIFF_RAKUTEN
2	rikon-hakusho	rikon-hakusho	離婚白書	ゲイノウジンリコンハクショワカレテモトクシタヒト	リコンハクシヨ		KANA_DIFF_RAKUTEN
2	ring-inagaki-1999	ring-inagaki-1999	リング	リング	リング	リング	SLUG_TOKEN_MISMATCH:inagaki
2	rinjin-13gou	rinjin-13gou	隣人13号	リンジン13ゴウ	リンジン ジュウサンゴウ	リンジン 13ゴウ	SLUG_TOKEN_MISMATCH:13gou
2	riot-tsukada-2025	riot-tsukada-2025	RIOT	ライオット			SLUG_TOKEN_MISMATCH:tsukada
2	rirakkuma-4kuma-4-ga	rirakkuma-4kuma-4-ga	リラックマ4クママンガ	リラックマ4クママンガ		リラックマ 4クマ マンガ	SLUG_TOKEN_MISMATCH:4kuma
2	rising-sun-1998	rising-sun-1998	Rising sun	Risingsun	ライジング サン		KANA_DIFF_RAKUTEN
2	rising-sun-matsumoto-1989	rising-sun-matsumoto-1989	RISING SUN	ライジングサン	ライジングサン	ライジング サン	SLUG_TOKEN_MISMATCH:matsumoto
2	road-2011	road-2011	覇-LORD	ロード	ハロード	ロード	SLUG_TOKEN_MISMATCH:road
2	robasutonesu	robasutonesu	ロバストネス	ロバストネス		ロバストネス	NOHYPHEN_UNVERIFIED
2	robot-deka-1973	robot-deka-1973	ロボット刑事1973	ロボットケイジセンキュウヒャクナナジュウサン	ロボット ケイジ センキュウヒャク シチジュウサ	ロボット ケイジ センキュウヒャクナナジュウサン	SLUG_TOKEN_MISMATCH:deka
2	robotics-notes	robotics-notes	Robotics ; notes	ロボティクスノーツ	Robotics；Notes	ロボティクス ノーツ	KANA_DIFF_RAKUTEN
2	roca	roca	Roca	Roca	ロカコンプリート		KANA_DIFF_RAKUTEN
2	rock	rock	Rock	Rock	ロック		KANA_DIFF_RAKUTEN
2	rock-gomi-2013	rock-gomi-2013	ロック	ロック	ロック	ロック	SLUG_TOKEN_MISMATCH:gomi
2	rockman-8	rockman-8	ロックマン8	ロックマン8	ロックマン エイト	ロックマン 8	SLUG_TOKEN_MISMATCH:rockman
2	rockman-exe-new-stories-2023	rockman-exe-new-stories-2023	ロックマンエグゼNEW STORIES 2023	ロックマンエグゼニューストーリーズニセンニジュウ	ロックマンエグゼニューストーリーズニセンニジュウ		SLUG_TOKEN_MISMATCH:rockman,exe
2	rockman-x3	rockman-x3	ロックマンX3	ロックマンエックスサン	ロックマン エックス サン	ロックマン エックス サン	SLUG_TOKEN_MISMATCH:rockman
2	rockomanga	rockomanga	ROCKOMANGA!	ロッコマンガ		ロッコマンガ	NOHYPHEN_UNVERIFIED
2	rocks	rocks	Rocks	Rocks	ロックス		KANA_DIFF_RAKUTEN
2	rodin	rodin	Rodin	Rodin	ロダン		KANA_DIFF_RAKUTEN
2	rokuhime-wa-kamigoei-ni-koi-o-suru	rokuhime-wa-kamigoei-ni-koi-o-suru	六姫は神護衛に恋をする	ロクヒメワカミゴエイニコイオスル	ロクヒメハカミゴエイニコイヲスル ~サイキョウノ	ロクヒメ ワ カミゴエイ ニ コイ オ スル	KANA_DIFF_RAKUTEN
2	rokushiki-manmai-dash-dechihen	rokushiki-manmai-dash-dechihen	ろく式 万枚奪取でち編	ロクシキマンマイダッシュデチヘン	セッテイ ロク オ ネライ ウテ ロクシキ		KANA_DIFF_RAKUTEN
2	romance-1999	romance-1999	純愛	ロマンス		ロマンス	SLUG_TOKEN_MISMATCH:romance
2	romantic-nishida-2020	romantic-nishida-2020	ロマンティック	ロマンティック		ロマンティック	SLUG_TOKEN_MISMATCH:nishida
