slug	頁題	頁最大巻	巻	isbn	発売日	楽天題	楽天副題	楽天著者	出版社	レーベル	見送り理由
yoasobi-gurashi	よあそびぐらしっ!	5	6	9784434380266	2026-09-18	よあそびぐらしっ!6		スイカ	彗星社	ナイトマ	G2:レーベル不一致(ナイトマ≠夜暇)
yoru-no-meruhen	夜のメルヘン	2	3	9784334803087	1996-01-29	夜のメルヘン（3）		里中満智子	光文社	KOBUNSHA　COMIC	G2:レーベル不一致(KOBUNSHA　COMIC≠VC)
yoru-no-sekai-wa-utsukushii	夜の世界は美しい	1	2	9784091280510		夜の世界は美しい（2）		伊十蔵景	小学館	裏少年サンデーコミックス	G3:日付逆行(<2017-09)
yosoji-to-futago-no-meshi-jijou	よそじとふたごのメシ事情	1	2	9784801984868	2024-11-25	よそじとふたごのメシ事情（2）		小坂俊史	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
yosoji-to-futago-no-meshi-jijou	よそじとふたごのメシ事情	1	3	9784801990449	2026-08-17	よそじとふたごのメシ事情（3）		小坂俊史	竹書房	バンブーコミックス	G2:レーベル不一致(バンブーコミックス≠Bamboo comics)
youkai-shiokinin	妖怪仕置人	16	17	9784785924737	2004-10	妖怪仕置人（17）	エニグマ・パニッシャー	中津賢也	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS) / G3:日付逆行(2004-10<)
youkai-shiokinin	妖怪仕置人	16	18	9784785925222	2005-03	妖怪仕置人（18）		中津賢也	少年画報社	ヤングキングコミックス	G2:レーベル不一致(ヤングキングコミックス≠YOUNG KING COMICS) / G3:日付逆行(2005-03<)
yurushite-darling	ゆるして・ダーリン	2	3	9784063175196	1991-06-13	ゆるしてダーリン（3）		布浦翼	講談社	BE　LOVE　KC	G2:レーベル不一致(BE　LOVE　KC≠講談社コミックスビーラブ)
yuu-m-ee-mikakunin-sougou-kakutougi	U.M.A～未確認総合格闘技～	6	5	9784253018012	2026-07-08	U．M．A〜未確認総合格闘技〜　5		ミルクマン	秋田書店	少年チャンピオン・コミックス	G2:レーベル不一致(少年チャンピオン・コミックス≠SHŌNEN CHAMPION COMICS)
yuuhi-yo-nobore	夕陽よ昇れ!!	1	2	9784091305527	1980-04	夕陽よ昇れ！！（2）		あだち充/やまさき十三	小学館	フラワーコミックス	G3:日付逆行(1980-04<1999-02) / G6:override固定
yuushunki	優駿記	1	2	9784870311817	1994-06	優駿記（2）		やまさき拓味	飛鳥新社	デイリーアスカコミックス	G3:日付逆行(1994-06<)
fanshii-dance	ファンシィダンス	5	6	9784091608260	1994-10-15	ファンシィダンス（volume　6）		岡野玲子	小学館	SVコミックススペシャル	step2/SPLIT見送り: 頁は小学館文庫1-5のみ。SVコミックススペシャル版6巻だけ足すと原版の断片になる=原版1-5の回収が先(ARMS型)
futari-wa-precure	ふたりはプリキュア	2	3	9784063102161	2005-12	ふたりはプリキュア（3）		東堂いづみ/桃原郷	講談社	アニメＫＣ	step2/SPLIT見送り: 頁が2005アニメKC1巻+2014なかよしKCDX2巻の混在。アニメKC3巻(2005-12)は原版の続き=版分離が先
kurabete-kemishite	くらべて、けみして : 校閲部の九重さん	1	2	9784103553922	2025-02-19	くらべて、けみして 校閲部の九重さん2		こいし ゆうか	新潮社		step2/SPLIT見送り: anime; date
shouta-no-sushi-zenkokutaikaihen	将太の寿司	17	18	9784063122213	1996-01-17	将太の寿司（18）		寺沢大介	講談社	少年マガジンKC	step2/SPLIT見送り: 将太の寿司(18)は原シリーズ(全27巻)の18巻。全国大会編頁の題が「将太の寿司」なので誤一致=見送り
supo-chan	スポ×ちゃん!	3	4	9784253202466	2013-05-08	スポ×ちゃん！（4）		竹下けんじろう	秋田書店	少年チャンピオン・コミックス	step2/SPLIT見送り: 楽天delta+種2=ひもろぎ守護神(3) 2003-05。旧キャッシュのスポ×ちゃん(4)は誤記録=見送り
waga-seishun-no-arcadia	わが青春のアルカディア	2	3	9784061744547	1982-10-10	わが青春のアルカディア（3）		松本零士	講談社	アニメKC	step2/SPLIT見送り: アニメKC(アニメコミック)=掲載対象外
cluster	CLUSTER	6	0	9784883174065	1993-04	Cluster（0）	12　world　adventure　story	秋山たまよ	新紀元社		step2/SPLIT見送り: 0巻(前日譚)= number=0 規則で非表示。0巻の表示方針は裁定マター
kaina-surugajou-gozen-jiai	腕 駿河城御前試合	4	1	9784845846221	2015-03-25	腕〜駿河城御前試合〜（1）		森秀樹（漫画家）	リイド社	SPコミックス	step2/SPLIT見送り: SP pocket wide版1巻(2015)=別版。頁の通常版1巻は種2不在(ABSENT側)
