vols	base	brand	pub	first_date	last_date	isbns
10	Fate/stay nightアンソロジーコミック	マジキューコミックス	エンターブレイン	2004-04	2005-08	9784757723528,9784757722972,9784757722118,9784757721425,9784757720633,9784757720107,9784757719767,9784757719422
10	アドヴァンテージ・センセーション		ノアール出版	2001-11	2004-02	9784860020903,9784860020842,9784860020804,9784860020767,9784860020613,9784860020576,9784860020521,9784860020439
10	うる星やつら	少年サンデーグラフィック	小学館	1983-06	1988-02	9784091011138,9784091011206,9784091011190,9784091011183,9784091011176,9784091011169,9784091011152,9784091011145
10	ドラゴンクエスト4コママンガ劇場	ドラゴンクエストブックシリーズ	エニックス	1990-04-20	1994-04-18	9784870257504,9784870257276,9784870257405,9784870257184,9784900527997,9784900527768,9784900527317,9784870257047
10	マジキュー4コマうみねこのなく頃に	マジキューコミックス	エンターブレイン	2007-11	2010-08	9784757750197,9784757750029,9784757739130,9784757738140,9784047266629,9784047265523,9784047264069,9784047262836
10	マジキュー4コマ　FORTUNE ARTERIAL	マジキューコミックス	エンターブレイン	2008-05	2010-03	9784757749283,9784757748439,9784757746749,9784757745346,9784757744295,9784757743410,9784757741652,9784047263260
10	ファイナルファンタジー11　4コマアンソロジーコミック	Bros.comics EX	エンターブレイン	2004-10	2006-03	9784757726321,9784757725492,9784757724754,9784757723849,9784757723177,9784757722873,9784757722651,9784757721074
10	マジキュー4コマ CLANNAD	マジキューコミックス	エンターブレイン	2008-03	2009-09	9784757750845,9784757749610,9784757747760,9784757747746,9784757745988,9784757745469,9784757743823,9784757742765
9	年末年始思い出食堂	Comic	少年画報社	2014-12	2022-12	9784785963514,9784785965754,9784785968243,9784785970468,9784785972851,9784785954406,9784785956769,9784785959173
9	マジキュー4コマ リトルバスターズ!エクスタシー	MC comics	角川グループパブリッシング	2010-04	2012-02	9784047272354,9784047274600,9784047277304,9784047270183,9784047271579,9784047268821,9784047267077,9784047265813
9	真恋姫・無双萌将伝	EARTH STAR Books	泰文堂	2011-01	2012-02	9784803002621,9784803002737,9784803002867,9784803003000,9784803003154,9784803002324,9784803002461,9784803002492
9	真・恋姫・無双コミックアンソロジー	DNAメディアコミックス	一迅社	2009-06	2010-09	9784758004930,9784758005128,9784758005289,9784758005418,9784758005029,9784758005586,9784758005173,9784758005494
9	Comic cue		イースト・プレス	1998-01	2003-05	9784872571240,9784872573527,9784872572766,9784872572544,9784872572100,9784872571905,9784872571714,9784872571516
9	熱狂!ふるふる甲子園	エーピーセレクション	ハイランド	2002-09	2004-06	9784894862197,9784894862272,9784894862432,9784894862524,9784894862739,9784894862906,9784894863019,9784894863231
9	Eros	Oak comix	オークラ出版	1998-01	1999-07	9784872782523,9784872782813,9784872782332,9784872783124,9784872783391,9784872783704,9784872784046,9784872784299
9	激男	爆男comics	古川書房	2006-06	2008-11	9784892363764,9784892363610,9784892363962,9784892364013,9784892363924,9784892363719,9784892364198,9784892364099
9	Tennis nation	Oak comix	オークラ出版	2001-04	2002-12	9784872787627,9784775500804,9784775500163,9784872789805,9784872789447,9784872789034,9784872788730,9784872788570
9	こみっくパーティー コミックアンソロジー	DNAメディアコミックス	スタジオDNA	2000-03	2002-08	9784921066567,9784921066536,9784921066475,9784921066420,9784921066369,9784758000482,9784758000260,9784758000208
9	ぐるぐる忍法伝	Oak comix	オークラ出版	2000-07	2002-06	9784872789614,9784872789027,9784872788457,9784872788006,9784872787931,9784872787290,9784872786880,9784872786668
9	マジキュー4コマ 恋姫・無双	マジキューコミックス	エンターブレイン	2007-07	2009-01	9784757745971,9784757744943,9784757743816,9784757742741,9784757741690,9784757740228,9784757739116,9784757737068
9	マジキュー4コマ ひぐらしのなく頃に	マジキューコミックス	エンターブレイン	2007-10	2009-04	9784757747739,9784757746756,9784757745322,9784757744271,9784757742444,9784757740914,9784757739949,9784757738362
8	ひとりごはん	Comic. ぐる漫	少年画報社	2025-01-17	2026-05-22	9784785978518,9784785978884,9784785979324,9784785979775,9784785980252,9784785981228,9784785981495,9784785981969
8	イージィボーイズ	Easy books	ムービック	1993-12	1995-05	9784896010916,9784896010923,9784896011098,9784896011173,9784896011371,9784896011432,9784896011494,9784896011166
8	ひとりでほっこりくつろぎごはん	GW comics	ガイドワークス	2017-06	2022-06	9784865357585,9784867103203,9784867102947,9784865358315,9784865357349,9784865358971,9784865355697,9784865355994
8	クロスラブシスト 雪燐の章	OKS comix	オークス	2011-08	2012-03	9784799001462,9784799001615,9784799001745,9784799001882,9784799001950,9784799002209,9784799002315,9784799002476
8	真・恋姫・無双 萌将伝 恋ノ祭編	EARTH STAR Books	泰文堂	2013-04	2014-12	9784803004656,9784803004892,9784803005141,9784803005417,9784803005738,9784803005813,9784803005837,9784803006421
8	Attackers!!	OKS comix	オークス	2014-10	2015-06	9784799006641,9784799006788,9784799006955,9784799007136,9784799007310,9784799007662,9784799007792,9784799007860
8	女装少年アンソロジーコミック	IDコミックス	一迅社	2010-07	2014-08	9784758063661,9784758064699,9784758062459,9784758062091,9784758064545,9784758062046,9784758062305,9784758062237
8	ゆるゆり コミックアンソロジー	DNAメディアコミックス	一迅社	2011-08	2012-10	9784758006378,9784758006606,9784758007047,9784758007139,9784758006538,9784758006965,9784758007177,9784758006859
8	真剣で私に恋しなさい!! コミックアンソロジー	DNAメディアコミックス	一迅社	2009-12	2012-02	9784758006095,9784758005258,9784758005371,9784758006613,9784758006729,9784758005531,9784758005692,9784758005906
8	杉浦日向子全集		筑摩書房	1995-10	1996-04	9784480701817,9784480701824,9784480701831,9784480701848,9784480701855,9784480701862,9784480701879,9784480701886
8	少年少女日本の歴史	小学館版学習まんが	小学館			9784092980075,9784092980020,9784092980037,9784092980044,9784092980051,9784092980068,9784092980082,9784092980129
8	ビーラッシュ		ムービック	2004-09	2006-06	9784896017007,9784896016925,9784896017045,9784896017120,9784896017168,9784896017205,9784896017267,9784896017298
8	カラフルムーン	エーピーセレクション	ハイランド	1994-11	1996-09	9784938827267,9784938827205,9784938827151,9784938827113,9784938827090,9784938827069,9784938827045,9784938827014
8	ブレス		ヒカリコーポレーション	1994-05	1996-10	9784894580107,9784894580251,9784894580091,9784906500161,9784906500239,9784906500208,9784906500185,9784906500017
8	花音ゴージャス		芳文社	2005-09	2006-04	9784832283930,9784832283886,9784832283848,9784832283800,9784832283756,9784832283664,9784832283626,9784832283718
8	星矢同人誌傑作アンソロジー		ふゅーじょんぷろだくと	1987-09	1991-01	9784893931092,9784893930446,9784893930415,9784893930378,9784893930293,9784893930279,9784893930248,9784893930330
8	幻想水滸伝5アンソロジーコミック	Bros.comics EX	エンターブレイン	2006-06	2008-01	9784757739345,9784757734357,9784757733732,9784757731257,9784757730076,9784757729506,9784757729070,9784757727946
8	ラブミッション		オークラ出版	2005-01	2006-03	9784775507032,9784775506677,9784775506325,9784775506080,9784775505762,9784775505465,9784775505168,9784775504840
8	つばさ同人誌傑作アンソロジー	Poe backs	ふゅーじょんぷろだくとComic box編集室	1988-07	1991-04-16	9784893930309,9784893930361,9784893931177,9784893930828,9784893930668,9784893930439,9784893930316,9784893930255
8	ディー・イノセンス	OKS comix	オークス	2005-08	2006-08	9784861052705,9784861053665,9784861053405,9784861053399,9784861052958,9784861052873,9784861052606,9784861052408
8	キミにchu押し	エーピーセレクション	ハイランド	2000-01	2003-03	9784894860643,9784894862531,9784894862135,9784894862043,9784894861725,9784894861046,9784894860469,9784894860803
8	エクソシスト・ドリーム	OKS comix	オークス	2005-07	2006-04	9784861053252,9784861053245,9784861053023,9784861052781,9784861053146,9784861053016,9784861052712,9784861052521
8	D-mission	北辰同人アンソロジーコミックス	風林館	2005-05	2006-02	9784861235139,9784861235115,9784861235108,9784861235092,9784861235085,9784861235078,9784861235061,9784861235054
8	シュラトグラフティー	FRESH-PACKS	青磁ビブロス	1989-11-10	1991-06-29	9784882710790,9784882710684,9784882710622,9784882710561,9784882710516,9784882710394,9784882710387,9784882710226
8	熱々・ツナサンド	OKS comix	オークス	2006-10	2009-01	9784861054891,9784861054662,9784861054266,9784861056604,9784861056314,9784861055836,9784861055393,9784861053801
8	テイルズオブデスティニー2　4コママンガ劇場		スクウェア・エニックス	2003-03	2004-11	9784757513105,9784757512184,9784757511583,9784757511064,9784757510234,9784757509542,9784757509252,9784757508835
7	お兄ちゃんはおしまい!公式アンソロジーコミック	IDコミックス	講談社	2021-06	2026-06-22	9784758085847,9784758087582,9784758099103,9784758069182,9784758069786,9784758084024,9784758084581
7	本当にあった愉快な話恐怖プレミアム	バンブームック	竹書房	2023-08	2026-05-15	9784801945746,9784801946958,9784801949263,9784801936393,9784801937734,9784801940017,9784801941205
7	Fate/grand orderコミックアンソロジーthe next	DNAメディアコミックス	一迅社	2018-09	2019-09	9784758020145,9784758020220,9784758020305,9784758020374,9784758009966,9784758020442,9784758020480
7	Fate/grand orderコミックアンソロジー	DNAメディアコミックス	講談社	2016-04	2018-07	9784758009379,9784758009256,9784758008976,9784758009058,9784758009614,9784758009737,9784758009881
7	漫画パチンカーZ特盛	GW mook	ガイドワークス	2020-04	2022-01	9784867100493,9784867101087,9784867101421,9784867101650,9784867102022,9784867102398,9784867102749
7	アークナイツコミックアンソロジー	DNAメディアコミックス	講談社	2020-11	2023-09	9784758021241,9784758021647,9784758022095,9784758022552,9784758023016,9784758024044,9784758025850
7	アズールレーンコミックアンソロジーbreaking!!	DNAメディアコミックス	講談社	2020-11	2022-06	9784758021371,9784758021746,9784758022545,9784758022767,9784758023009,9784758023337,9784758023832
7	溺愛令嬢は旦那さまから逃げられません…っ♡	IDコミックス	講談社	2020-11	2024-06	9784758035569,9784758036153,9784758036825,9784758037471,9784758038027,9784758038751,9784758085250
7	婚約破棄されましたが、幸せに暮らしておりますわ!	IDコミックス	講談社	2021-10	2024-08	9784758036627,9784758037389,9784758038010,9784758038744,9784758039390,9784758039895,9784758085649
