slug	title	ours	rakuten	year	isbn
tatsuki-to-tamaki	タツキとタマキ	沖尚樹	吉田 ユウマ	2025	9784088940038
tokyo-saitei-saiaku-saikou	東京最低最悪最高!	八守りょう	鳥 トマト	2025	9784098630929
tora-kun-wa-kyou-mo-ojou-sama-ni-tamesareru	虎くんは今日もお嬢様に試される	つわぶき杏	菊乃 杏	2025	9784098731671
tsugi-no-kuuhaku-o-umeyo	次の空白を埋めよ。	夏のティー	新本 浦子	2025	9784799772195
tsuihousareta-ouji-no-teii-dakkan	追放皇子の帝位奪還	コミックルーム / はやさかめばゑ	ボビー大澤 / COMIC ROOM	2025	9784098538324
tsuihousareta-sareta-renkinjutsushi-adaruto-guzzu-de-sekai-o-sukuu	追放された錬金術師、アダルトグッズで世界を救う	中浦トモキ	上田 勇李	2025	9784065392454
twin-reincarnation	ツインリンカネーション	村正みかど	浜村俊基・藤澤紀幸	2025	9784824204608
two-beliefs	TWO BELIEFS	PutriYasmine	内谷	2025	9784911437018
unjou-ni-utaite-kimi-o-matsu	雲上に歌いて、君を待つ。	花形怜	村田椰融	2025	9784832205000
unmei-no-noroware-ouji-to-mahou-gakkou-de-futatabi-koi-ni-ochiru	運命の呪われ王子と、魔法学校で再び恋に落ちる	凪咲夕	佐倉 ロゼ / すめうむ	2025	9784065405277
unsou-kaisha-torakku-driver-no-dare-ni-mo-ienai-tondemo-gyoumu-nisshi	運送会社トラックドライバーの誰にも言えないトンデモ業務日誌	葛西りいち	葛󠄀西りいち	2025	9784801945227
ura-kagyou-tensei-moto-gokudou-ga-kazoku-no-tame-ni-ryouchi-hatten-sasemasu-ga-nani-ka-comic	裏稼業転生～元極道が家族の為に領地発展させますが何か?～@COMIC	西の果てのぺろ / 則本シゲ	ソラト 夕	2025	9784867943847
uso-kareshi-demo-iikara-tonikaku-shitai-mashiro-chan	嘘彼氏でもいいからとにかくシたいましろちゃん	浪咲ゆか	ねこ末端	2025	9784866754390
usotsuki-no-mai-alpha	嘘つきのmy α	田仲みのる	藤間　みお	2025	9784041160886
vocalize	ヴォカライズ	西巻拓馬	小菊路 よう	2025	9784065394878
wagahai-wa-neko-madoushi-de-aru	我輩は猫魔導師である	ももよ万葉 / 猫神信仰研究会	三國大和	2025	9784891998394
wake-atte-ayakashi-no-kosodate-hajimemasu	訳あって、あやかしの子育て始めます	西岡壱誠 / 福富優樹	日巻いと / 朝比奈希夜	2025	9784434355189
watashi-ga-daisuki-na-shousetsuka-o-korosu-made	私が大好きな小説家を殺すまで	本間ぴるぱ / 士土幽太郎	斜線堂 有紀 / 足立 いまる	2025	9784065406137
watashi-isekai-de-seirei-ni-narimashita	私、異世界で精霊になりました。	ヨシモト / こうし	オギノサトシ / かっぱん	2025	9784801985971
yagate-tako-ni-naru-kimi-to	やがて蛸になるきみと	ひろいうみ	小嶋 網走	2025	9784065391402
yakuza-ni-ofuro-de-hatarakasaretemasu	ヤクザにお風呂で働かされてます。	芋畑サリー	たかし♂	2025	9784253162005
yattara	ヤッターラ	西野みや子	大山田	2025	9784088843438
yoru-no-chou-wa-ayashiku-kataru	夜ノ蝶ハ怪シク談ル	中林ずん	伊藤 和良	2025	9784098632152
