kind	popularity	season	anime_title	gensaku(animatetimes)
MANGA?	1314	2023-WINTER	ぷちクールドジ男子のひとコマ	那多ここね（掲載「ガンガン pixiv」スクウェア・エニックス刊）
MANGA?	1271	2023-SUMMER	彼女、お借りします × てんぷる コラボミニアニメ	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	1267	2018-SUMMER	『はるかなレシーブ』予告	如意自在（芳文社「まんがタイムきららフォワード」連載）
MANGA?	1267	2021-SUMMER	終末のワルキューレ ミニアニメ	「 終末のワルキューレ 」[作画]アジチカ [原作]梅村真也 [構成]フクイタクミ（「月刊コミックゼノン」連載／コアミックス）
MANGA?	1220	2020-FALL	魔王城でおやすみミニアニメ	熊之股鍵次 （小学館「 週刊少年サンデー 」連載中）
MANGA?	1088	2025-SPRING	ちょっとだけ愛が重いダークエルフが異世界から追いかけてきたミニアニメ劇場	中乃空 （「WEBコミックガンマぷらす」連載／竹書房）
MANGA?	1082	2022-WINTER	組長娘と世話係 ピクチャードラマ	つきや(コミック ELMO『 組長娘と世話係 』/マイクロマガジン社刊)
MANGA?	1002	2023-FALL	彼女、お借りします 第3期 ぷち	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	809	2023-WINTER	解雇された暗黒兵士（30代）のスローなセカンドライフ SDミニアニメ	岡沢六十四 漫画：るれくちぇ キャラクター原案：sage ジョー（講談社「月刊ヤングマガジン」連載）
MANGA?	787	2021-SPRING	ピーチボーイリバーサイド ミニアニメ	クール教信者 ヨハネ（講談社「少年マガジン R」「マガポケ」連載）
MANGA?	779	2024-FALL	科学×冒険サバイバル！	「 科学漫画サバイバル 」シリーズ(朝日新聞出版)
MANGA?	750	2023-SPRING	終末のワルキューレⅡ ミニアニメ	「 終末のワルキューレ 」[作画]アジチカ [原作]梅村真也 [構成]フクイタクミ（「月刊コミックゼノン」連載／コアミックス）
MANGA?	693	2018-WINTER	『スロウスタート』Web予告ムービー	篤見唯子（芳文社「まんがタイムきらら」連載）
MANGA?	574	2022-SPRING	邪神ちゃんドロップキックX まめアニメ	ユキヲ （COMICメテオ連載） 製作総指揮：夏目公一朗
MANGA?	480	2026-WINTER	Duel Masters LOST ～忘却の太陽～	松本しげのぶ ×作画： 金林洋 （小学館「週刊コロコロコミック」連載） ストーリー原案： 松本しげのぶ キャラクターデザイン原案：
