巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
15	きんこん土佐日記	2025-05		ongoing	村岡マサヒロ	(unknown)	15	kinkon-tosa-nikki	https://mangal.shuichi0725.workers.dev/manga/kinkon-tosa-nikki
15	ののちゃん	2026-07		ongoing	いしいひさいち	(unknown)	15	nono-chan	https://mangal.shuichi0725.workers.dev/manga/nono-chan
15	ラーメン大好き小泉さん	2026-05		ongoing	なるみなる	akita	15	ramen-daisuki-koizumi-san	https://mangal.shuichi0725.workers.dev/manga/ramen-daisuki-koizumi-san
14	Sランクパーティから解雇された〈呪具師〉	2026-06		ongoing	LA軍/小川錦	kodansha	14	s-rank-party-kara-kaiko-sareta-jugushi	https://mangal.shuichi0725.workers.dev/manga/s-rank-party-kara-kaiko-sareta-jugushi
14	ハズレ枠の〈状態異常スキル〉で最強になった俺がすべてを蹂躙するまで	2026-06		ongoing	内々けやき/篠崎芳/鵜吉しょう	overlap	14	hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made	https://mangal.shuichi0725.workers.dev/manga/hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-o-juurin-suru-made
14	ファイナルファンタジーロスト・ストレンジャー	2026-05		ongoing	水瀬葉月/亀屋樹	square-enix	14	final-fantasy-lost-stranger	https://mangal.shuichi0725.workers.dev/manga/final-fantasy-lost-stranger
14	ロード・エルメロイ2世の事件簿	2026-04		ongoing	東冬	kadokawa	14	road-erumeroi-2-sei-no-file	https://mangal.shuichi0725.workers.dev/manga/road-erumeroi-2-sei-no-file
14	辺境の薬師、都でSランク冒険者となる	2026-09		ongoing	kakao/茨木野	kodansha	14	henkyou-no-kusushi-miyako-de-esu-rank-boukensha-to-naru	https://mangal.shuichi0725.workers.dev/manga/henkyou-no-kusushi-miyako-de-esu-rank-boukensha-to-naru
13	Aランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。	2026-08		ongoing	右薙光介/ユーリ	kodansha	13	eeranku-party-o-ridatsu-shita-ore-wa-motooshiegotachi-to-meikyuu-shinbu-o-mezasu	https://mangal.shuichi0725.workers.dev/manga/eeranku-party-o-ridatsu-shita-ore-wa-motooshiegotachi-to-meikyuu-shinbu-o-mezasu
13	Re:ゼロから始める異世界生活	2026-04		ongoing	長月達平/マツセダイチ	kadokawa	13	ri-zero-kara-hajimeru-isekai-seikatsu	https://mangal.shuichi0725.workers.dev/manga/ri-zero-kara-hajimeru-isekai-seikatsu
13	技巧貸与(スキル・レンダー)のとりかえし	2026-07		ongoing	黄波戸井ショウリ/小山ナオト	kodansha	13	skill-rendaa-no-torikaeshi	https://mangal.shuichi0725.workers.dev/manga/skill-rendaa-no-torikaeshi
13	新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。	2026-05		ongoing	岸馬きらく/荻野ケン	hobby-japan	13	shinmai-otsu-san-boukensha-saikyou-party-ni-shinuhodo-kitaerarete-muteki-ni-naru	https://mangal.shuichi0725.workers.dev/manga/shinmai-otsu-san-boukensha-saikyou-party-ni-shinuhodo-kitaerarete-muteki-ni-naru
13	脱いだら絶倫!?	2026-04		ongoing	嶋永のの	daitosha	13	nui-dara-zetsurin	https://mangal.shuichi0725.workers.dev/manga/nui-dara-zetsurin
12	Fate/stay night〈Heaven's Feel〉	2026-11	予約	ongoing	TYPE-MOON/タスクオーナ	kadokawa	12	fate-stay-night-heaven-s-feel	https://mangal.shuichi0725.workers.dev/manga/fate-stay-night-heaven-s-feel
12	ねぇ、ぴよちゃん	2026-04		ongoing	青沼貴子	takeshobo	12	nee-piyo-chan	https://mangal.shuichi0725.workers.dev/manga/nee-piyo-chan
12	イケナイ菜々子さん	2026-05		ongoing	あさぎ龍	shonen-gahosha	12	ikenai-nanako-san	https://mangal.shuichi0725.workers.dev/manga/ikenai-nanako-san
12	合コンに行ったら女がいなかった話	2026-10	予約	ongoing	蒼川なな	square-enix	12	goukon-ni-ittara-onna-ga-inakatta-hanashi	https://mangal.shuichi0725.workers.dev/manga/goukon-ni-ittara-onna-ga-inakatta-hanashi
12	学園騎士のレベルアップ!	2026-01		ongoing	三上康明/白石識	futabasha	12	gakuen-kishi-no-level-appu	https://mangal.shuichi0725.workers.dev/manga/gakuen-kishi-no-level-appu
12	恋する〈おとめ〉の作り方	2026-07		ongoing	万丈梓	ichijinsha	12	koisuru-otome-no-tsukurikata	https://mangal.shuichi0725.workers.dev/manga/koisuru-otome-no-tsukurikata
12	我にチートを	2026-05		ongoing	温泉卵/山田モジ美	akita	12	ware-ni-cheat-o	https://mangal.shuichi0725.workers.dev/manga/ware-ni-cheat-o
