horror-occult-kyousaku-daizenshuu	standard/通常版	2	手掛かりなし	
horror-occult-kyousaku-daizenshuu	standard/通常版	3	手掛かりなし	
horror-occult-kyousaku-daizenshuu	standard/通常版	4	手掛かりなし	
horror-occult-kyousaku-daizenshuu	standard/通常版	5	手掛かりなし	
horror-occult-kyousaku-daizenshuu	standard/通常版	7	手掛かりなし	
hyakuma-no-aruji	standard/通常版	7	NDL在(適用済)	isbn=9784253292832 date=2024.6
hyouman	standard/通常版	2	手掛かりなし	
ie-kara-nigedashitai-watashi-ga-ukkari-akogare-no-dai-mahoutsukai-sama-o-katte-shimattara	standard/通常版	6	NDL在(適用済)	isbn=9784757595156 date=2024.11
ikinari-kon	standard/通常版	4	NDL在(適用済)	isbn=9784867207321 date=2025.3
image	standard/通常版	14	手掛かりなし	
image	standard/通常版	15	手掛かりなし	
isekai-de-hajimeru-nikyoten-seikatsu	standard/通常版	4	NDL在(適用済)	isbn=9784049160475 date=2024.10
isekai-jibie-meshi	standard/通常版	4	NDL在(適用済)	isbn=9784801984424 date=2024.9
isekai-maid-no-mitsuboshi-gourmet	standard/通常版	3	NDL在(適用済)	isbn=9784065372340 date=2024.10
isekai-manchikin	standard/通常版	11	NDL在(適用済)	isbn=9784065373965 date=2024.11
isekai-saikyou-no-yome-desu-yoru-no-tatakai-wa-ore-no-hou-ga-tsuyoi-you-desu	standard/通常版	4	NDL在(適用済)	isbn=9784575420166 date=2024.11
isekai-shachuuhaku-monogatari	standard/通常版	5	NDL在(適用済)	isbn=9784065375396 date=2024.11
isekai-shitateya-sofia	standard/通常版	3	NDL在(適用済)	isbn=9784867207130 date=2024.12
isekai-teni-de-megami-sama-kara-shukufuku-o	standard/通常版	4	NDL在(適用済)	isbn=9784800016768 date=2025.12
isekai-teni-shitara-aiken-ga-saikyou-ni-narimashita	standard/通常版	5	NDL在(適用済)	isbn=9784867166505 date=2024.11
isekai-tensei-de-kenja-ni-natte-boukensha-seikatsu	standard/通常版	8	NDL在(適用済)	isbn=9784757593954 date=2024.9
