class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
HIDDEN_HASV1	悪い男	101011	standard	恋愛MAX COMICS	9784253135795	2008-06	2011-11	1,2,3	warui-otoko
HIDDEN_HASV1	新紺碧の艦隊	14914	standard	トクマコミックス	9784197801466	2002-07	2003-06	1,2,3	shin-konpeki-no-kantai
HIDDEN_HASV1	旅ボン	103250	standard		9784777110261	2008-07	2009-05	1	tabibon
HIDDEN_HASV1	星になった少年	120675	standard	ほんとにあった怖い話コミックス	9784257986218	1997-06-20	2007-10	1	hoshi-ni-natta-shounen
HIDDEN_HASV1	椿姫	42445	standard	マンガ名作オペラ	9784124034684	2004-02	2006-11	1	tsubakihime-2004
HIDDEN_HASV1	機動警察パトレイバー	30930	standard	少年サンデーコミックススペシャル	9784091215598	2008-11-17	2019-11	1,2,3,4,5,6,7,8	mobile-keisatsu-patlabor
HIDDEN_HASV1	武士	40369	standard		9784947752628	2003-05	2016-02	1	bushi
HIDDEN_HASV1	死の誘惑	120679	standard	ほんとにあった怖い話コミックス	9784257986140	1997-03	2007-10	1	shi-no-yuuwaku
HIDDEN_HASV1	死びとの恋わずらい	51356	standard		9784257903277	1998-12-30	2001-03	1	shibito-no-koiwazurai
HIDDEN_HASV1	死線	17873	bunkobon	ソノラマコミック文庫	9784257721819	2002-10	2007-10	1	deddorain
HIDDEN_HASV1	母さんがどんなに僕を嫌いでも	32401	standard		9784047285286	2013-03	2018-06	1	kaa-san-ga-donnani-boku-o-kirai-demo
HIDDEN_HASV1	流されて八丈島	106971	standard		9784821188024	2009-06	2011-06	1	nagasarete-hachijoujima
HIDDEN_HASV1	漫画家残酷物語	48352	standard		9784257902119	1993-12-25	2010-11	1,2,3	manga-ka-zankoku-mono-gatari
HIDDEN_HASV1	犬夜叉	36076	standard	少年サンデーコミックススペシャル	9784091220509	2009-10-07	2013-01	1,2,3,4,5,6,7,8	inuyasha
HIDDEN_HASV1	犬夜叉	36076	standard	少年サンデーコミックススペシャル	9784091216304	2009-02-23	2013-01	1,2,3,4,5,6,7,8	inuyasha
HIDDEN_HASV1	現世の使命	120687	standard	ほんとにあった怖い話コミックス	9784257986232	1997-07	2007-10	1	gense-no-shimei
HIDDEN_HASV1	男子高校生とふれあう方法	109821	standard	ACTION COMICS	9784575849073	2016-12	2018-08	1	otoko-koukousei-to-fureau-houhou
HIDDEN_HASV1	異世界トリップの脇役だった件	159979	standard	FK comics	9784866693927	2021-04	2023-03	1	isekai-trip-no-wakiyaku-datta-ken
HIDDEN_HASV1	禁猟六区	24780	standard	HCヒーローズコミックス	9784864684798	2016-11-30	2017-05	1,2,3	kinryou-rokku
HIDDEN_HASV1	笑ゥせぇるすまん	51918	standard	中公コミック・スーリ	9784124103403	1989-10	1990-12	2,3,4,5,6,7,9,10	warau-salesman
HIDDEN_HASV1	総務部総務課山口六平太	112997	standard	My first big	9784091094780	2001-02	2018-06	1,2,3,4,5,6,7,8	soumubu-soumuka-yamaguchi-roppeeta
HIDDEN_HASV1	羊のうた	44521	standard		9784789715416	2000-05	2003-12	1,2,3,4,5,6,7	hitsuji-no-uta
HIDDEN_HASV1	羊のうた	44521	standard		9784344802261	2003-03	2003-12	1,2,3,4,5,6,7	hitsuji-no-uta
HIDDEN_HASV1	羊のうた	44521	standard		9784344802278	2003-03	2003-12	1,2,3,4,5,6,7	hitsuji-no-uta
HIDDEN_HASV1	義母と娘のブルース	113386	standard	Bunkasha comics	9784821171187	2011-03	2018-08	1,3	gibo-to-musume-no-blues
HIDDEN_HASV1	葬られた霊域	120692	standard	ほんとにあった怖い話コミックス	9784257986133	1997-03-20	2007-10	1	houmurareta-reiiki
HIDDEN_HASV1	親が終活でしくじりまして	115430	standard		9784883207046	2017-07	2018-03	1	oya-ga-shuukatsu-de-shikujirimashite
HIDDEN_HASV1	迷宮書架	5058	standard		9784921040048	2003-04	2017-10	1,2	meikyuu-shoka
HIDDEN_HASV1	部屋の隅の白い影	1715	standard	ほんとにあった怖い話コミックス	9784257986096	1997-02-20	2007-10	1	heya-no-sumi-no-shiroi-kage
HIDDEN_HASV1	都立魔法学園	128756	standard	Kaiohsha comics. Gush comics	9784877242879	2003-08-28	2005-12-28	2	toritsu-mahou-gakuen
HIDDEN_HASV1	酒のほそ道	7713	standard	Gコミックス	9784537158311	2011-10	2012-11	1	sake-no-hosomichi
HIDDEN_HASV1	重版未定	117060	standard		9784309277882	2016-11	2017-05	1,2,3	juuhan-mitei
HIDDEN_HASV1	銀河鉄道の夜	117458	standard		9784257902621	1995-10-20	1996-11-30	1	ginga-tetsudou-no-yoru
HIDDEN_HASV1	銀河鉄道の夜	117458	standard		9784257900467	1983-10-31	1996-11-30	1	ginga-tetsudou-no-yoru
HIDDEN_HASV1	鏡花夢幻	45086	standard	眠れぬ夜の奇妙な話コミックス	9784257902577	1995-11-25	2007-10	1	kyouka-mugen
HIDDEN_HASV1	闇華	49352	standard	Goma books	9784814917273	2018-02	2018-05	1	yamibana
HIDDEN_HASV1	闇華	49352	standard	Goma books	9784814917143	2018-01	2018-05	1	yamibana
HIDDEN_HASV1	闇華	49352	standard	Goma books	9784814917242	2018-02	2018-05	1	yamibana
HIDDEN_HASV1	闇華	49352	standard	Goma books	9784814917631	2018-04	2018-05	1	yamibana
HIDDEN_HASV1	霊界への道標	1718	standard	ほんとにあった怖い話コミックス	9784257986102	1997-02-20	2007-10	1	reikai-eno-michishirube
HIDDEN_HASV1	青い蓮	165378	standard	タンタンの冒険	9784990109769	2005-07	2011-04	1	aoi-hasu
HIDDEN_HASV1	青い蓮	165378	standard	タンタンの冒険	9784990109752	2005-07-10	2011-04	1	aoi-hasu
HIDDEN_HASV1	青山剛昌短編集	40599	standard	少年サンデーコミックス	9784091231727	1994-02-15	2011-03-02	1	aoyama-goushou-tanpenshuu
HIDDEN_HASV1	高良くんと天城くん	119085	standard	KITORA	9784046049018	2021-02	2021-11	1,2,3,4,5,6,7	takara-kun-to-amagi-kun
HIDDEN_HASV1	鬼と夜明け	165756	standard	路草COMICS	9784910352381	2022-06	2022-09	1,2	oni-to-yoake
HIDDEN_HASV1	鬼畜眼鏡	165842	standard	Super be×boy comics	9784862637802	2010-05	2011-10	1	kichiku-megane
HIDDEN_HASV1	黄昏流星群	38609	standard	My first big special	9784091098931	2002-12	2017-08	1	tasogare-ryuuseigun
HIDDEN_HASV1	黄昏流星群	38609	standard	My first big special	9784091085160	2006-06	2017-08	1	tasogare-ryuuseigun
HIDDEN_HASV1	黄昏流星群	38609	standard	My first big special	9784091084576	2006-02	2017-08	1	tasogare-ryuuseigun
HIDDEN_HASV1	黒の創造召喚師	120006	standard	アルファポリスCOMICS	9784434222351	2016-12	2018-04	1,2,3	kuro-no-souzou-shoukanshi
HIDDEN_HASV1	龍と虎	166406	standard		9784801929784	2022-02	2023-02	2	ryuu-to-tora
NOISBN	00スヌーピー	130117	standard	Snoopy books		2001	2019	1	
NOISBN	3ちゃん選手	24059	standard	MANGA Shop Series		2009-02-01	2009-03-01	2	
