kind	severity	layer	slug	title	ed_idx	ed_type	ed_imprint	number	isbn_raw	suggest	release_date	has_cover	is_version	n_same_value	detail
JAN_CODE	要確認	seed:data/seeds/volume-exclude.yml	volume-exclude					L103	4984343212749						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
KDP_979_8	正当(報告のみ)	production	hakoniwa-no-zante	箱庭のザンテ	0	standard		1	9798378110599		2023-03-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	hakoniwa-no-zante	箱庭のザンテ	0	standard		2	9798870669991		2023-12-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	hakoniwa-no-zante	箱庭のザンテ	0	standard		3	9798301929946		2025-01-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	lloyd	ロイド	0	standard	TAEKO's Atelier comics	1	9798850421984		2023-07	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	lloyd	ロイド	0	standard	TAEKO's Atelier comics	2	9798854888721		2023-08	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	lloyd	ロイド	0	standard	TAEKO's Atelier comics	3	9798858092810		2023-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	lloyd	ロイド	0	standard	TAEKO's Atelier comics	4	9798861251877		2023-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	otto-no-mita-yuurei	夫のみた幽霊	0	standard		1	9798390757802		2023-10-06	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	otto-no-mita-yuurei	夫のみた幽霊	0	standard		2	9798865422686		2023-10-06	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
KDP_979_8	正当(報告のみ)	production	tengai-no-charon	天涯のカロン	0	standard		2	9798378547678		2021-11-09	0	0	1	979-8 = Amazon KDP(個人出版)の正規ブロック。★日本語の個人出版漫画が正当に持つので「非9784=外国版」で落とさないこと(書影が付かないのはKDP本が楽天に無いため)
