n	type	imprint	series_key	excluded	isbns
26	standard	講談社プラチナコミックス	qid:Q9003824|name:K2	除外レーベル	9784063776010,9784063776027,9784063776133,9784063776478,9784063776683,9784063776867,9784063777123,9784063777314,9784063780932,9784063780963,9784063856514,9784063856521,9784063856538,9784063856620,9784063856668,9784063856835,9784063856859,9784063856996,9784063857078,9784063857641
26	standard	少年サンデーコミックススペシャル	qid:Q958449|name:からくりサーカス		9784091286277,9784091286284,9784091286789,9784091286796,9784091286802,9784091286932,9784091287687,9784091287694,9784091287700,9784091287731,9784091288875,9784091288882,9784091288899,9784091288905,9784091288912,9784091288929,9784091292391,9784091292407,9784091292483,9784091292490
25	standard	Tokuma comics	name:隆慶一郎|name:花の慶次		9784197802654,9784197802661,9784197802715,9784197802760,9784197802814,9784197802869,9784197802890,9784197802968,9784197803002,9784197803040,9784197803088,9784197803101,9784197803149,9784197803163,9784197803200,9784197804429,9784197804436,9784197804467,9784197804474,9784197804511
25	standard	コミック・スーリ	qid:Q1370780|name:ルパン三世		9784124104882,9784124104899,9784124104905,9784124104929,9784124104936,9784124105308,9784124105315,9784124105322,9784124105339,9784124105346,9784124105421,9784124105643,9784124105650,9784124105667,9784124105674,9784124105681,9784124105698,9784124105957,9784124105964,9784124105971
25	standard	Akita top comics	qid:Q193300|name:ブラック・ジャック		9784253188036,9784253188043,9784253188050,9784253188067,9784253188074,9784253188081,9784253188098,9784253188104,9784253188128,9784253188135,9784253188142,9784253188159,9784253189460,9784253189477,9784253189965,9784253189972,9784253189989,9784253189996,9784253190008,9784253240413
25	standard	KCスペシャル	qid:Q2339941|name:あした天気になあれ		9784063055252,9784063055269,9784063055276,9784063055283,9784063055290,9784063055306,9784063055313,9784063055320,9784063055337,9784063055344,9784063055351,9784063055368,9784063055375,9784063055382,9784063055399,9784063055405,9784063055412,9784063055429,9784063055436,9784063055443
25	standard	講談社プラチナコミックス	qid:Q6782739|name:修羅の刻	除外レーベル	9784063749212,9784063749229,9784063749274,9784063749366,9784063749526,9784063749618,9784063749717,9784063749793,9784063776959,9784063776966,9784063776973,9784063776980,9784063777086,9784063777154,9784063777277,9784063777338,9784065146101,9784065146118,9784065146125,9784065146132
24	standard	Bunkasha comics	qid:Q11347037|name:なつかしメシ食堂|sub:希望の味		9784821127429,9784821127993,9784821128617,9784821129201,9784821129898,9784821134496,9784821135318,9784821136407,9784821137022,9784821137497,9784821138050,9784821138548,9784821138913,9784821139910,9784821154586,9784821155521,9784821156238,9784821176717,9784821177165,9784821177530
24	standard	講談社プラチナコミックス	qid:Q11398700|name:カメレオン	除外レーベル	9784063776287,9784063776515,9784063776713,9784063779882,9784063780062,9784063780161,9784063780215,9784063780291,9784063780345,9784063780512,9784063780567,9784063780673,9784063780710,9784063780819,9784063780888,9784063780987,9784063856026,9784063856156,9784063856187,9784063856248
24	standard	Akita top comics	qid:Q11557657|name:元祖!浦安鉄筋家族		9784253241236,9784253241243,9784253241250,9784253241267,9784253241274,9784253241281,9784253241298,9784253241304,9784253241311,9784253241328,9784253241335,9784253241359,9784253241366,9784253241373,9784253241380,9784253241397,9784253241403,9784253241410,9784253241427,9784253244084
24	standard	Akita top comics	qid:Q2279877|name:クローズ		9784253188982,9784253188999,9784253189002,9784253189019,9784253189026,9784253189033,9784253189040,9784253189057,9784253189064,9784253189071,9784253189088,9784253189095,9784253189101,9784253189118,9784253189125,9784253189132,9784253189156,9784253189163,9784253240000,9784253240017
24	standard	ゼノンコミックスDX	qid:Q467415|name:エンジェル・ハート		9784199800733,9784199800740,9784199800801,9784199800818,9784199800863,9784199800870,9784199800917,9784199800924,9784199800986,9784199800993,9784199801020,9784199801037,9784199801099,9784199801105,9784199801143,9784199801150,9784199801211,9784199801228,9784199801273,9784199801280
24	standard	KPC	qid:Q721651|name:ナニワ金融道	除外レーベル	9784063533101,9784063533378,9784063533521,9784063533750,9784063534016,9784063534238,9784063534436,9784063534641,9784063534832,9784063715071,9784063741254,9784063741315,9784063741469,9784063741643,9784063741926,9784063742060,9784063742206,9784063742459,9784063742633,9784063742800
23	standard	長谷川町子全集	qid:Q265148|name:サザエさん		9784022570710,9784022570727,9784022570734,9784022570741,9784022570758,9784022570765,9784022570772,9784022570789,9784022570796,9784022570802,9784022570819,9784022570826,9784022570833,9784022570840,9784022570857,9784022570864,9784022570871,9784022570888,9784022570895,9784022570901
23	standard	KPC	qid:Q2715658|name:加治隆介の議	除外レーベル	9784063534191,9784063534405,9784063534580,9784063534801,9784063715040,9784063715279,9784063715507,9784063715699,9784063715903,9784063716115,9784063741148,9784063741155,9784063741162,9784063743289,9784063743296,9784063743548,9784063743692,9784063743814,9784063743852,9784063744033
23	standard	ジャンプ・コミックス	qid:Q316970|name:るろうに剣心		9784088706559,9784088741505,9784088741512,9784088741529,9784088741536,9784088741543,9784088741550,9784088741567,9784088741574,9784088741581,9784088741598,9784088741604,9784088741611,9784088741628,9784088741635,9784088741642,9784088741659,9784088741666,9784088741673,9784088741680
23	standard		qid:Q471133|name:鉄人28号		9784048735681,9784778031619,9784778031626,9784778031640,9784778031657,9784835458533,9784835458540,9784835458557,9784835458564,9784835458571,9784835458588,9784835458595,9784835458601,9784835458618,9784835458625,9784835458632,9784835458649,9784835458656,9784835458663,9784835458670
23	standard	KPC	qid:Q471137|name:Rave	除外レーベル	9784063742923,9784063742992,9784063743166,9784063743340,9784063743401,9784063743494,9784063743562,9784063743654,9784063743715,9784063743807,9784063743869,9784063743968,9784063744040,9784063744170,9784063744248,9784063744347,9784063744415,9784063744545,9784063744675,9784063744781
