slug	title	authors	year	publisher	total_volumes
kimagure-gokuu	きまぐれ悟空	吾妻ひでお	1977	asahi-sonorama	3
green-karendaa	ぐりーん❤かれんだあ	吉田まゆみ	1977	kodansha	2
shiawase-shinkirou	しあわせしんきろう	牧野和子	1977	kodansha	1
habatake-taroumaru	はばたけ!太郎丸	矢口高雄	1977	kodansha	2
himitsu-shirei-machine-keiji-999	ひみつ指令マシン刑事999	すがやみつる	1977	(unknown)	5
misokkasu	みそっかす	ちばてつや	1977	shueisha	6
yuuhigaoka-no-souri-daijin	ゆうひが丘の総理大臣	望月あきら	1977	akita	17
insect	インセクト	松本零士	1977	asahi-sonorama	2
eight-beat	エイト・ビート	吾妻ひでお	1977	fusosha	4
kibanomonshou	キバの紋章	真崎守	1977	(unknown)	4
kyabetsubatake-no-i-san-souzokunin	キャベツ畑の遺産相続人	萩尾望都	1977	shogakukan	1
jojo-no-shi	ジョジョの詩	倉多江美	1977	shogakukan	2
don-quixote	ドン・キホーテ	今道英治・井元水明・高島茂・バラエティ・アートワークス	1977	(unknown)	2
mosa	モサ	ちばてつや	1977	kodansha	2
little-kyojin-kun	リトル巨人くん	内山まもる	1977	shogakukan	15
waru-kagemaru-1977	ワル	影丸穣也	1977	nihon-bungasha	26
worst-komuro-1970	ワースト	小室孝太郎	1977	(unknown)	4
shimogari-hanjirou	下苅り半次郎	神江里見	1977	koike-shoin	9
hatsukoi-no-kakurenbo	初恋のかくれんぼ	前原滋子	1977	kodansha	1
juugo-shounen-hyouryuuki-2013	十五少年漂流記	大谷じろう	1977	shogakukan	2
juugo-shounen-hyouryuuki	十五少年漂流記	河合一慶・バラエティ・アートワークス	1977	(unknown)	2
chijou-saikyou-no-otoko-ryuu	地上最強の男・竜	風忍・ダイナミックプロダクション	1977	kadokawa	2
shoukoujo-1996	小公女	わたなべまさこ	1977	shueisha	2
tetsu-chan	手っちゃん	古谷三敏	1977	(unknown)	5
tabibito-kun	旅人くん	永島慎二	1977	(unknown)	3
nippon-rettou-gamagaeru	日本列島蝦蟇蛙	ジョージ秋山	1977	nihon-bungeisha	3
shouwa-gokudoushi	昭和極道史	村上和彦	1977	nihon-bungasha	33
musashi-motomiya-1977	武蔵	本宮ひろ志	1977	shueisha	3
himitsu-sentai-gorenger	秘密戦隊ゴレンジャー	石ノ森章太郎	1977	asahi-sonorama	5
zoku-toshishita-no-anchikushou	続 年下のあンちくしょう	吉田まゆみ	1977	kodansha	2
zoku-11-nin-iru	続・11人いる!	萩尾望都	1977	shogakukan	1
sentomassuru	聖マッスル	ふくしま政美	1977	goma-books	3
wakakusa-monogatari-kitajima-1989	若草物語	北島洋子	1977	shogakukan	2
ichigo-tachi-no-koutei	苺たちの校庭	小沢真理	1977	kodansha	1
hotaru-minako	螢三七子	ちばてつや	1977	kodansha	2
chou-denji-robo-kon-batoraa-v	超電磁ロボコン・バトラーV	ひおあきら	1977	daitosha	3
gin-no-mi-o-tabeta	銀の実をたべた?	大島弓子	1977	shogakukan	1
gin-iro-no-kami-no-arisa	銀色の髪の亜里沙	和田慎二	1977	hakusensha	2
zenikko	銭っ子	水島新司	1977	akita	5
ao-no-6-gou	青の6号	小澤さとる	1977	sekai-bunka	8
seishun-kick-off	青春キック・オフ!	有吉京子	1977	akita	5
gaki	餓鬼	ちばてつや	1977	kodansha	4
1-2-no-ahho	1・2のアッホ!!	コンタロウ	1978	shueisha	10
5banme-no-meruhen	5番目のめるへん	吉田まゆみ	1978	kodansha	1
wani-bunsho-2010	82分署	篠原とおる	1978	shueisha	12
scramble-egg-yanagisawa	すくらんぶるエッグ	柳沢きみお	1978	daitosha	12
soko-ni-anata-ga-irukara	そこにあなたがいるから	前原滋子	1978	kodansha	1
dogusare-kyuudan	どぐされ球団	竜崎遼児	1978	shueisha	19
bosatsu-nikki	ぼさつ日記	倉多江美	1978	shogakukan	2
arinko-no-uta	アリンコの歌	ちばてつや	1978	(unknown)	6
welcome-narita-1978	ウェルカム	成田美名子	1978	shueisha	1
sexy-ai	セクシー亜衣	吾妻ひでお	1978	asahi-sonorama	1
sentimental	センチメンタル	吉田まゆみ	1978	kodansha	1
