verdict	slug	title	wiki_article	本番巻	wiki対	採用巻	SAME	ADOPT_MONTH	ADOPT_DAY	ADOPT_GAIN	BLOCK_PROD	BLOCK_SPLIT	NOT_IN_WIKI	ALREADY_OVERRIDDEN
APPLY	love-bullet	ラブ・バレット	ラブ・バレット	2	2	1	1	0	1	0	0	0	0	0
APPLY	love-phantom	ラブファントム	ラブファントム	14	14	1	13	0	1	0	0	0	0	0
APPLY	love-rush	ラブラッシュ!	ラブラッシュ!	2	2	1	1	0	1	0	0	0	0	0
APPLY	love-survival	ラブ・サバイバル	ラブ・サバイバル	1	2	1	0	1	0	0	0	0	0	0
APPLY	love-zombie	ラブ・ゾンビ	ラブ・ゾンビ	1	1	1	0	0	0	1	0	0	0	0
APPLY	luno	LUNO	LUNO	2	2	1	1	0	0	1	0	0	0	0
APPLY	lupin-iii-1998	ルパン三世	ルパン三世 (Shusay版)	2	4	1	1	1	0	0	0	0	0	0
APPLY	lupin-iii-b	ルパン三世B	ルパン三世B	1	1	1	0	0	0	1	0	0	0	0
APPLY	maboroshinokaihebibachihebi	幻の怪蛇 バチヘビ	幻の怪蛇バチヘビ	1	3	1	0	0	0	1	0	0	0	0
APPLY	machigatta-ko-o-mahou-shoujo-ni-shiteshimatta	間違った子を魔法少女にしてしまった	間違った子を魔法少女にしてしまった	13	13	1	12	0	1	0	0	0	0	0
APPLY	machigatta-ranobe-no-tsukurikata	間違ったラノベの作り方	間違ったラノベの作り方	1	1	1	0	0	0	1	0	0	0	0
APPLY	madan-no-shashu	魔弾の射手	魔弾の射手 (漫画)	2	3	1	1	0	0	1	0	0	0	0
APPLY	magic-knight-rayearth	魔法騎士レイアース	魔法騎士レイアース	3	20	1	2	0	1	0	0	0	0	0
