decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	samurai-musou	サムライ無双	seed4	0	standard	通常版	モンスターコミックス	1	LEAD	9784575419917	2024-10	サムライ無双 : 戦国最強のサムライ、異世界を征く. 1	いさむ, ひとし/キー太郎	双葉社	双葉社	o	o	o	o	o	o	o	o			2	9784575421248	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	sekai-no-meisaku-opera	世界の名作オペラ	seed4	0	standard	通常版		8	LEAD	9784880238753	2005-02	世界の名作オペラ. 8	梅本, さちお, 1943-1993	ティーケイシー出版	ティーケイシー出版	o	o	o	o	o	o	o	o			10	9784880238777	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shinsei-rome-teikoku-sanjuunen-sensou	神聖ローマ帝国三十年戦争	seed4	0	standard	通常版	歴史群像コミックス	3	MID	9784651205557	2025-12	神聖ローマ帝国三十年戦争. 3	宮下, 英樹, 1976-	ワン・パブリッシング	ワン・パブリッシング	o	o	o	o	o	o	o	o	1	9784651204017	4	9784651206424	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	6	MID	9784041547069	1983-10	少年ケニヤ. 6	山川, 惣治, 1908-1992	角川書店	角川書店	o	o	o	o	o	o	o	o	5	9784041547052	11	9784041547113	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	7	MID	9784041547076	1983-10	少年ケニヤ. 7	山川, 惣治, 1908-1992	角川書店	角川書店	o	o	o	o	o	o	o	o	5	9784041547052	11	9784041547113	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	8	MID	9784041547083	1983-09	少年ケニヤ. 8	山川, 惣治, 1908-1992	角川書店	角川書店	o	o	o	o	o	o	o	o	5	9784041547052	11	9784041547113	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	9	MID	9784041547090	1983-11	少年ケニヤ. 9	山川, 惣治, 1908-1992	角川書店	角川書店	o	o	o	o	o	o	o	o	5	9784041547052	11	9784041547113	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	shounen-keniya	少年ケニヤ	canon:extra[4]	5	bunkobon	文庫版(角川文庫)	角川文庫	10	MID	9784041547106	1983-11	少年ケニヤ. 10	山川, 惣治, 1908-1992	角川書店	角川書店	o	o	o	o	o	o	o	o	5	9784041547052	11	9784041547113	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	succubus-tamer-no-isekai-musou	サキュバステイマーの異世界無双	seed4	0	standard	通常版	モンスターコミックス	6	MID	9784575423150	2025-12	サキュバステイマーの異世界無双 : 幻獣たちの血を引く最強のサキュバスとはじめる魔族領開拓. 6	真広, 吏希/すかいふぁーむ	双葉社	双葉社	o	o	o	o	o	o	o	o	5	9784575421798	7	9784575424492	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	tsuihousareta-sareta-renkinjutsushi-adaruto-guzzu-de-sekai-o-sukuu	追放された錬金術師、アダルトグッズで世界を救う	seed4	0	standard	通常版	ヤンマガKC	1	LEAD	9784065389768	2025-02	追放された錬金術師、アダルトグッズで世界を救う : どんなモンスターも絶対にイカせる男. 1	上田, 勇李	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065392454	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	yontouryuu-no-saikyou-haishinsha	四刀流の最強配信者	seed4	0	standard	通常版	KCDX. 週刊少年マガジン	1	LEAD	9784065373392	2024-11	四刀流の最強配信者 : やり込んだVRゲームの設定が現実世界に反映されたので、廃止予定だった戦闘職で無双します. 1	がしたに/木塚, 麻弥	講談社	講談社	o	o	o	o	o	o	o	o			2	9784065384145	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	youko-no-danna-sama	妖狐の旦那さま	seed4	0	standard	通常版	ビーズログコミックス	1	LEAD	9784047381599	2024-11	妖狐の旦那さま : 大正花嫁奇譚. 1	百乃, モト	KADOKAWA	KADOKAWA	o	o	o	o	o	o	o	o			2	9784047382053	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	seed4	0	standard	通常版	ゼルダ4コマシリーズ	3	LEAD	9784870257177	1993-08	ゼルダの伝説4コママンガ劇場. 3		エニックス	エニックス	o	o	o	?	o	o	o	o			5	9784870257573	版元o+ISBN連番o+日付o	ndl	
