class	isbn	ym	title	author	publisher	slug	reason
zokkan	9784785983208	2026-11	呪われ皇子と茶博士の娘　幻国後宮伝 2	鳩見すた/桑佳あさ	少年画報社	noroware-ouji-to-cha-hakase-no-musume	③先頭セグメント一致(頁max1→巻2)
zokkan	9784065454367	2026-11	よくわからないけれど異世界に転生していたようです（33）	内々 けやき/あし/カオミン	講談社	yoku-wakaranai-keredo-isekai-ni-tensei-shite-ita-youdesu	
zokkan	9784065454329	2026-11	最弱貴族に転生したので悪役たちを集めてみた（6）	sorani/空野 進/ファルまろ	講談社	saijaku-kizoku-ni-tensei-shita-node-akuyaku-tachi-o-atsumetemita	
zokkan	9784065454435	2026-11	しかのこのこのここしたんたん（9）	おしおしお	講談社	shika-no-ko-nokonoko-koshitan-tan	
zokkan	9784065444726	2026-11	週末やらかし飯（8）	小村 あゆみ	講談社	shuumatsu-yarakashi-meshi	
zokkan	9784065451236	2026-11	私がひとりで生きてくなんて（9）	ハルノ 晴	講談社	watashi-ga-hitori-de-ikiteku-nante	
zokkan	9784065451458	2026-11	【パクパクですわ】追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、	島知 宏/音速 炒飯/有都 あらゆる	講談社	pakupaku-desuwa-tsuihousareta-ojousama	④緩和一致(題の表記揺れ, 頁max7→巻8)
zokkan	9784065451380	2026-11	私の魔法は絶対に当たるんです　〜スローライフを守るために魔法を撃ち続けていたら、	大庭 下門/天坂 つばさ/みきさい	講談社	watashi-no-mahou-wa-zettai-ni-atarundesu	
zokkan	9784065451366	2026-11	シャドウ・アサシンズ・ワールド　〜影は薄いけど、最強忍者やってます〜（6）	五色 安未/空山 トキ/泉乃 せん/伍長	講談社	shadow-asashinzu-world	
zokkan	9784065454626	2026-11	オカルトタイムズ（3）	いどんち	講談社	okarutotaimuzu	
zokkan	9784065454459	2026-11	「ククク……。奴は四天王の中でも最弱」と解雇された俺、なぜか勇者と聖女の師匠にな	芳橋 アツシ/延野 正行/坂野 杏梨	講談社	kukuku-yatsu-wa-shitennou-no-naka-demo-saijaku-to-kaikosareta-ore-naze-yuusha-to-seijo-no	
zokkan	9784046607201	2027-03	夫を味方にする方法　6	SIRU/Spice&Kitty	KADOKAWA	otto-o-mikata-ni-suru-houhou	
zokkan	9784434388484	2027-01	夜伽が禁忌のこの世界で6	くりゅう	彗星社	yotogi-ga-kinki-no-kono-sekai-de	
zokkan	9784825000827	2026-12	＃神奈川に住んでるエルフ 7	鎧田	マイクロマガジン社	kanagawa-ni-sunderu-elf	
zokkan	9784046606235	2026-12	死に戻りの魔法学校生活を、元恋人とプロローグから 8 （※ただし好感度はゼロ）	白川　蟻ん/六つ花　えいこ/秋鹿　ユギリ	KADOKAWA	shinimodori-no-mahou-gakkou-seikatsu-o-moto-koibito-to-puroroogu-kara	
zokkan	9784065453209	2026-11	婚約破棄された飯炊き令嬢の私は冷酷公爵と専属契約しました　〜ですが胃袋を掴んだ結	青空 あかな/七福 あくび/黒裄	講談社	konyaku-haki-sareta-meshitaki-reijou-no-watashi-wa-reikoku-koushaku-to-senzoku-keiyaku-shimashita	
zokkan	9784785983413	2026-11	朝ごはん亭 10	青菜 ぱせり	少年画報社	asagohantei	
zokkan	9784868660668	2026-11	弱男 -僕とモラ妻ー 4	田辺チカ	Cygames	jakudan-boku-to-mora-zuma	③先頭セグメント一致(頁max3→巻4)
zokkan	9784065454480	2026-11	吸血皇子と生贄花嫁（3）	マチバリ/高瀬 カロ	講談社	kyuuketsu-ouji-to-ikenie-hanayome	
zokkan	9784065454473	2026-11	悪食令嬢と狂血公爵　〜その魔物、私が美味しくいただきます！〜（14）	水辺 チカ/星 彼方/ペペロン	講談社	akujiki-reijou-to-kyouketsu-koushaku	
zokkan	9784065454404	2026-11	戦場の聖女　〜妹の代わりに公爵騎士に嫁ぐことになりましたが、今は幸せです〜（9）	鬱沢 色素/朱城 怜一/呱々唄 七つ	講談社	senjou-no-seijo	
zokkan	9784065454893	2026-11	偽りの悪女ですが末永く幸せになりましょう〜お望みの”恋多き女”を演じているのに夫	大川 なぎ/柊 一葉	講談社	itsuwari-no-akujo-desu-suenagaku-shiawase-ni-narimashou	
zokkan	9784825000735	2026-11	ご主人様とゆく異世界サバイバル！ THE COMIC 11	SASAYUKi/リュート	マイクロマガジン社	goshujin-sama-to-yuku-isekai-survival	③先頭セグメント一致(頁max10→巻11)
zokkan	9784825000742	2026-11	センパイ、自宅警備員の雇用はいかがですか？ THE COMIC 4	コブラサナギ/二上圭	マイクロマガジン社	senpai-jitaku-keibiin-no-koyou-wa-ikaga-desu-ka	③先頭セグメント一致(頁max3→巻4)
zokkan	9784825000728	2026-11	暴食のベルセルク〜俺だけレベルという概念を突破する〜 THE COMIC 16	滝乃大祐/一色一凛	マイクロマガジン社	boushoku-no-beruseruku	③先頭セグメント一致(頁max15→巻16)
zokkan	9784199611025	2026-11	玉の輿ご用意しました（7）	栗城 偲/高緒 拾	徳間書店	tamanokoshi-goyoui-shimashita	
