sid	series_key	title	kana	n_isbn	isbn1
104632	name:高岡七六|name:未婚の父と暮らしてます	未婚の父と暮らしてます	ミコン ノ チチ ト クラシテマス	1	9784864368841
104633	name:夏生ひばり|name:未完の絵画	未完の絵画	ミカン ノ カイガ	1	9784088474724
104637	name:登田好美|name:未完成な僕たち	未完成な僕たち	ミカンセイ ナ ボク タチ	1	9784091316431
104643	name:せんみつ|name:未恋が満ちたら	未恋が満ちたら	ミレン ガ ミチタラ	1	9784815550189
104647	name:霧野むや子|name:未来×世紀秘密倶楽部	未来×世紀秘密倶楽部	ミライ セイキ ヒミツ クラブ	1	9784396780135
104649	name:東園子|name:未来のお仕事入門	未来のお仕事入門	ミライ ノ オシゴト ニュウモン	1	9784052041013
104655	name:夏緑|name:未来への循環	未来への循環	ミライ エノ ジュンカン	1	9784174000257
104657	name:ぼんち|name:未来まで待てない	未来まで待てない	ミライ マデ マテナイ	1	9784815501242
104662	name:あかねソラ|name:未来圏で愛を紡げば	未来圏で愛を紡げば	ミライケン デ アイ オ ツムゲバ	1	9784047344655
104663	name:アレグサンダー・ケイ|name:未来少年コナン	未来少年コナン	ミライ ショウネン コナン	1	9784198606398
104665	name:中野圭一郎|name:未来少年コナン	未来少年コナン	ミライ ショウネン コナン	1	9784894233676
104669	name:三上龍哉|name:未来警察暴力課	未来警察暴力課	ミライ ケイサツ ボウリョクカ	1	9784091516718
104670	name:ちゃお編集部|name:未海ちゃんになるための10の方法	未海ちゃんになるための10の方法	ミミチャン ニ ナル タメ ノ ジュウ ノ ホウ	1	9784091325105
104671	name:水城ゆたか|name:未熟なトローチ	未熟なトローチ	ミジュクナ トローチ	1	9784813032915
104673	name:里つばめ|name:未熟な僕らの卒業論文	未熟な僕らの卒業論文	ミジュク ナ ボクラ ノ ソツギョウ ロンブン	1	9784864421928
104676	name:都みめこ|name:未熟な獣の子供たち	未熟な獣の子供たち	ミジュクナ ケモノ ノ コドモタチ	1	9784796414296
104679	name:ハワード・フィリップス・ラヴクラフト|name:未知なるカダスを夢に求めて	未知なるカダスを夢に求めて	ミチ ナル カダス オ ユメ ニ モトメテ	1	9784569807232
104681	name:小松里佳|name:未知の国探訪記	未知の国探訪記	ミチ ノ クニ タンボウキ	1	9784591066249
104684	name:ゆきの棕理|name:未確認動物UMAの真実	未確認動物UMAの真実	ミカクニン ドウブツ ユーマ ノ シンジツ	1	9784591145890
104685	name:水利硝|name:未経験OK!エッチでキモチいい職場です♪	未経験OK!エッチでキモチいい職場です♪	ミケイケン OK ! エッチ デ キモチイイ シ	1	9784801966697
104689	name:ひるなま|name:末期ガンでも元気です	末期ガンでも元気です	マッキガン デモ ゲンキ デス	1	9784866751405
104695	name:富田倫生|name:本の未来	本の未来	ホンノミライ	1	9784756117076
104697	name:百瀬昭次|name:本もマンガも読む時代	本もマンガも読む時代	ホン モ マンガ モ ヨム ジダイ	1	9784038082108
104698	name:結城さくや|name:本命はポニーテール	本命はポニーテール	ホンメイ ワ ポニーテール	1	9784091894687
104704	name:竹内亮輔|name:本多忠勝	本多忠勝	ホンダ タダカツ	1	9784591151334
104711	name:梅眉よつを|name:本屋のぐち	本屋のぐち	ホンヤ ノグチ	1	9784832236400
104712	name:古川ふみ|name:本屋の八木くん	本屋の八木くん	ホンヤ ノ ヤギクン	1	9784199607639
104717	name:浅田圭|name:本当にあった人妻たちのムフフな話	本当にあった人妻たちのムフフな話	ホントウ ニ アッタ ヒトズマタチ ノ ムフフナ	1	9784575997026
104719	name:かわしま梨花|name:本当にあった女7人衝撃の告白	本当にあった女7人衝撃の告白	ホントウ ニ アッタ オンナ 7ニン ショウゲキ	1	9784812461051
104720	name:市川ゆうき|name:本当にあった怖い話 闇夜の百物語	本当にあった怖い話 闇夜の百物語	ホントウ ニ アッタ コワイ ハナシ ヤミヨ ノ	1	9784262154831
104721	name:宮内かずみ|name:本当にあるお仕事のオイシイ話	本当にあるお仕事のオイシイ話	ホントウ ニ アル オシゴト ノ オイシイ ハナ	1	9784832230354
104724	name:鈴木ひろみち|name:本当に優しい奥様の凄まじい絶頂	本当に優しい奥様の凄まじい絶頂	ホントウ ニ ヤサシイ オクサマ ノ スサマジイ	1	9784864164160
104726	name:室秋沙耶美|name:本当に怖い話G(ギガ)-MAX闇|sub:闇の中に響く恨みのささやき…うごめく怨霊!	本当に怖い話G(ギガ)-MAX闇	ホントウ ニ コワイ ハナシ ギガ マックス ヤ	1	9784405073043
104727	name:やまもとりえ|name:本当の頑張らない育児	本当の頑張らない育児	ホントウ ノ ガンバラナイ イクジ	1	9784834284867
104728	name:ichida|name:本当はこわい仏教むかし話	本当はこわい仏教むかし話	ホントウ ワ コワイ ブッキョウ ムカシバナシ	1	9784040683720
104729	name:峰岸とおる|name:本当はすごかった大日本帝国の諜報機関	本当はすごかった大日本帝国の諜報機関	ホントウ ワ スゴカッタ ダイニホン テイコク 	1	9784594066543
104731	name:桐式トキコ|name:本指名はありえない!	本指名はありえない!	ホンシメイ ワ アリエナイ !	1	9784832290853
104733	name:美波はるこ|name:本日、お仕事後に抱かれたい。|sub:恋も結婚も欲張りたいお年頃	本日、お仕事後に抱かれたい。	ホンジツ 、 オシゴトゴ ニ ダカレタイ 。	1	9784821139002
104734	name:賀川あいの|name:本日、年下エリートの甘い誘惑に負けてみる	本日、年下エリートの甘い誘惑に負けてみる	ホンジツ トシシタ エリート ノ アマイ ユウワ	1	9784815590086
104735	name:倫敦巴里子|name:本日、有休使います	本日、有休使います	ホンジツ 、 ユウキュウ ツカイマス	1	9784199608384
104736	name:明日部結衣|name:本日、海の丘アパートメントにて	本日、海の丘アパートメントにて	ホンジツ ウミ ノ オカ アパートメント ニテ	1	9784047306981
104737	name:城宮えす|name:本日、発情期。|sub:おまえのカラダ、ぜんぶ美味い	本日、発情期。	ホンジツ ハツジョウキ	1	9784434247439
104738	name:朝陽ゆりね|name:本日、社長と不純な契約結びました。	本日、社長と不純な契約結びました。	ホンジツ 、 シャチョウ ト フジュンナ ケイヤ	1	9784821136551
104739	name:祐也|name:本日のspecial	本日のspecial	ホンジツ ノ special	1	9784592204367
104741	name:千葉リョウコ|name:本日のご用命は?	本日のご用命は?	ホンジツ ノ ゴヨウメイ ワ	1	9784199604881
104742	name:たきりょうこ|name:本日のエンジニアさん	本日のエンジニアさん	ホンジツ ノ エンジニアサン	1	9784047364660
104743	name:山田果苗|name:本日の四ノ宮家	本日の四ノ宮家	ホンジツ ノ シノミヤ ケ	1	9784047341371
104744	name:新井サチ|name:本日の男ススメ	本日の男ススメ	ホンジツ ノ オススメ	1	9784832288270
104747	name:福嶋ユッカ|name:本日はお日柄もよく	本日はお日柄もよく	ホンジツ ワ オヒガラ モ ヨク	1	9784796409742
104748	name:神戸ゆみや|name:本日はお日柄もよく…	本日はお日柄もよく…	ホンジツ ワ オヒガラ モ ヨク …	1	9784863496750
104749	name:青梅あお|name:本日はお日柄もよく、	本日はお日柄もよく、	ホンジツ ワ オヒガラ モ ヨク 、	1	9784774732022
104750	name:星野正美|name:本日はお日柄もヨロシク	本日はお日柄もヨロシク	ホンジツ ワ オヒガラ モ ヨロシク	1	9784091381293
104752	name:中貫えり|name:本日は海賊なり	本日は海賊なり	ホンジツ ワ カイゾク ナリ	1	9784257905493
104753	name:渡まかな|name:本日は青天なり!	本日は青天なり!	ホンジツ ワ セイテン ナリ	1	9784047331747
104754	name:ねこの|name:本日も、アキバ日和です。|sub:レンタルショーケースというプチビジネス	本日も、アキバ日和です。	ホンジツ モ アキバ ビヨリ デス	1	9784253253819
104756	name:秋葉東子|name:本日も場外乱闘	本日も場外乱闘	ホンジツ モ ジョウガイ ラントウ	1	9784199604133
104757	name:葉月みどり|name:本日も晴天なり!	本日も晴天なり!	ホンジツ モ セイテンナリ	1	9784088563091
104758	name:碧樹里|name:本日も無敵	本日も無敵	ホンジツ モ ムテキ	1	9784088474533
104759	name:日塔てい|name:本日中にお召し上がりください	本日中にお召し上がりください	ホンジツチュウ ニ オメシアガリ クダサイ	1	9784864369794
104762	name:真山ジュン|name:本日都合により	本日都合により	ホンジツ ツゴウ ニ ヨリ	1	9784862528063
104763	name:恭屋鮎美|name:本日限り	本日限り	ホンジツ カギリ	1	9784790103868
104770	name:村山漠地|name:本死にたまふこと勿れ	本死にたまふこと勿れ	ホン シニタモウ コト ナカレ	1	9784107718921
104772	name:黒須ヨイチ|name:本気でかかってきなさいよ	本気でかかってきなさいよ	ホンキ デ カカッテキナサイヨ	1	9784775521274
104773	name:嶋二|name:本気になったメリーマン	本気になったメリーマン	ホンキ ニ ナッタ メリーマン	1	9784904101865
104774	name:千葉リョウコ|name:本気にならせてみたいんじゃ	本気にならせてみたいんじゃ	ホンキ ニ ナラセテ ミタインジャ	1	9784796408660
104775	name:氷天ゆき|name:本気のキスがほしいの	本気のキスがほしいの	ホンキ ノ キス ガ ホシイノ	1	9784396780180
