kind	season	anime_title	page_slug	gensaku
C_頁なし	2015-FALL	ゆるゆり さん☆ハイ！		なもり（コミック百合姫・一迅社刊）
C_頁なし	2016-FALL	侍霊演武：将星乱		白猫 侍霊演武（ソウルバスター）『尚漫』連載中
C_頁なし	2016-SUMMER	D.Gray-man HALLOW		星野桂（集英社「ジャンプ SQ.CROWN」連載）
C_頁なし	2016-WINTER	Dimension W		岩原裕二 （掲載 月刊「ビッグガンガン」 スクウェア・エニックス刊）
C_頁なし	2017-FALL	僕の彼女がマジメ過ぎるしょびっちな件		松本ナミル（株式会社KADOKAWAコミックNewtype連載）
C_頁なし	2017-FALL	銀魂.ポロリ篇		空知英秋 連載：集英社「 週刊少年ジャンプ 」
C_頁なし	2017-FALL	鬼灯の冷徹 第弐期		江口夏実 (講談社「モーニング」連載)
C_頁なし	2017-SUMMER	捏造トラップ -NTR-		コダマナオコ（一迅社刊「コミック百合姫」連載） 総監督・音響監督：ひらさわひさよし
C_頁なし	2017-WINTER	Spiritpact		瓶子(テンセントアニメ連載）
C_頁なし	2018-SPRING	メジャーセカンド		満田拓也（小学館「 週刊少年サンデー 」連載中）
C_頁なし	2018-SPRING	鬼灯の冷徹 第弐期 第2クール		江口夏実 (講談社「モーニング」連載)
C_頁なし	2018-WINTER	一人之下 羅天大醮篇・全性篇		米二（動漫堂）「一人之下」（騰訊動漫「テンセント動漫」連載） 総企画：鄒正宇
C_頁なし	2020-FALL	よりぬき銀魂さん ポロリ篇		空知英秋 連載：集英社「 週刊少年ジャンプ 」
C_頁なし	2020-SPRING	メジャーセカンド 第2シリーズ		満田拓也 （小学館「週刊少年サンデー」連載中）
C_頁なし	2021-WINTER	銀魂 THE SEMI-FINAL		空知英秋 （集英社ジャンプコミックス刊）
C_頁なし	2022-SUMMER	BASTARD!!―暗黒の破壊神―		「BASTARD!! 暗黒の破壊神」 萩原一至 （集英社ジャンプ コミックス刊）
C_頁なし	2023-WINTER	BASTARD!!―暗黒の破壊神―		「BASTARD!! 暗黒の破壊神」 萩原一至 （集英社ジャンプ コミックス刊）
C_頁なし	2024-SUMMER	下の階には澪がいる		ミンソンア『 下の階には澪がいる 』（「LINEマンガ」連載）
C_頁なし	2025-SPRING	かぐや様は告らせたい～メモリーズセレクション～		赤坂アカ （集英社ヤングジャンプコミックス刊）
C_頁なし	2025-WINTER	Sランクモンスターの《ベヒーモス》だけど、猫と間違われてエルフ娘の騎士として暮らしてます		東雲太郎（漫画） 銀翼のぞみ（原作） 東雲太郎 夜ノみつき（キャラクター原案）「Sランクモンスターの≪ベヒーモス≫だけど、猫と間違われてエルフ娘の騎士として暮ら
C_頁なし	2026-FALL	Duel Masters LOST ～断罪の少年～		松本しげのぶ 作画： 金林洋 （小学館「週刊コロコロコミック」連載） ストーリー原案： 松本しげのぶ キャラクターデザイン原案：
C_頁なし	2026-FALL	紫禁・御猫房～紫禁城猫警備室～		阿喃 呆兔 原作企画：快看漫画 エグゼクティブプロデューサー：龚宇 アソシエイトプロデューサー：陈安妮 チーフスーパーバイザー：王晓晖 スーパーバイザー：陈潇 
C_頁なし	2026-FALL	鳴海の平日		松本直也 （集英社ジャンプコミックス刊） ストーリー原案：渡邉築
C_頁なし	2026-WINTER	かぐや様は告らせたい 大人への階段		赤坂アカ （集英社ヤングジャンプコミックス刊）
