slug	title	reason
joy	JOY	著者不一致(上下)
ring-1996	リング	番号 [1] labs=[]
tougenkyou-no-hitobito	桃源郷の人々	番号 [1] labs=['……そんなアホな!!編', 'いよいよ作戦開始や!編']
inugamike-no-ichizoku	犬神家の一族	番号 [1] labs=[]
ikizurai-to-omottara-oyako-de-hattatsu-shougai-deshita	生きづらいと思ったら親子で発達障害でした	番号 [1] labs=['入学準備編']
meitantei-conan-harouin-no-hanayome	名探偵コナンハロウィンの花嫁	drop系
meitantei-conan-hiiro-no-dangan	名探偵コナン緋色の弾丸	drop系
vitamin-z	VitaminZ	番号 [1] labs=['天ノ章', '智ノ章']
puyopuyo	ぷよぷよ　4コマギャグバトル	著者不一致(上下)
doraemon-himitsu-dougu-hyakka	ドラえもんひみつ道具百科.	番号 [] labs=['どこでもドアのまき', 'バイバインのまき']
kasuga-no-tsubone-1988-2	春日局	著者不一致(上下)
