first_date	latest_date	n_vols	slug	title	missing	genres	authors
1993-01-01	1995-12-06	5	nangina-oku-san	なんぎな奥さん	both	comedy,drama	入江紀子
1993-04-22	1995-12-22	5	garakutaya-manta	がらくた屋まん太	both	sports,drama	能田達規
1996-01-15	1996-01-15	5	hunter-cats	ハンター・キャッツ	both	action,sci-fi	あろひろし/スタヂオぱらのい屋
1995-03-23	1996-01-16	5	keibuho-hana-san-no-file	警部補花さんの事件簿	both	mystery,drama	高井研一郎
1992-08-15	1996-02-20	5	akumu-no-shoutai-jou	悪夢の招待状	both	horror,supernatural	大塚あきら
1996-03-10	1996-03-10	5	ghost-hunter-nakano	ゴーストハンター中野	both	supernatural,comedy,school	堀中景子
1994-11-17	1996-03-16	5	daiju-no-mound	大樹のマウンド	both	baseball,sports	朝基まさし
1993-06-18	1996-03-19	5	sometime-lover	サムタイムラバー	both	romance,ecchi,drama	サキヒトミ
1993-08-25	1996-04-01	5	sugiura-shigeru-mangakan	杉浦茂マンガ館	both	comedy	杉浦茂
1995-09-16	1996-04-17	5	shibaitare-taka	シバいたれタカ!	both	sports,action	沢田ひろふみ
1994-09-15	1996-04-25	5	seikon-no-joka	聖痕のジョカ	both	fantasy	相川有
1995-09-21	1996-05-23	5	harumagedon	はるまげどん	both	comedy,drama	守村大
1991-10-28	1996-05-23	5	watashi-ga-mama-yo	わたしがママよ	catch	slice-of-life	森本梢子
1993-03-06	1996-06-06	5	sweet-sangokushi	Sweet三国志	both	historical,comedy	片山まさゆき
1995-02-24	1996-06-25	5	chaos	カオス	both	action	中井真琴
1994-01-29	1996-06-30	5	piasu-club	ピアスクラブ	both	ecchi	しのざき嶺
1995-05-15	1996-08-15	5	zins-fc	Zin'sエフ☆シー	both	sports,school	馬場民雄
1994-12-16	1996-08-24	5	angel-baby-cupid	Angel baby cupid	both	fantasy,comedy	なかはら桃太
1995-03-06	1996-09-06	5	kaisei-koukou-joshi-ouendan-chia	快晴高校女子応援団ちあ!	both	sports,comedy	名峰礼司
1993-10-22	1996-09-22	5	dengeki-dokutaa-moai-kun	電撃ドクターモアイくん	both	comedy,school	岩村俊哉
1985-12-06	1996-09-25	5	aijintachi	愛人たち	both	romance,drama	里中満智子
1996-04-22	1996-10-22	5	kaze-no-kishidan	風の騎士団	both	fantasy,action	増田晴彦
1996-11-05	1996-11-05	5	surfside-high-school	サーフサイドハイスクール	both	comedy,school	澤井健
1994-05-02	1996-11-14	5	crown-goal	クラウン・ゴール	both	fantasy,drama	椎隆子
1995-01-15	1996-11-20	5	kyoufu-jikkenshitsu	恐怖実験室	both	horror,supernatural	御茶漬海苔
1995-08-10	1996-12-12	5	kemono-demo-naku	獣でもなく	both	romance	有栖川るい
1995-07-19	1996-12-12	5	sanbiki-no-binbounin	三匹の貧乏人	both	comedy,drama	二宮亮三
1992-03-30	1996-12-17	5	onnanoko-pokopon	おんなのこポコポン	both	essay,comedy,slice-of-life	松井雪子
1996-09-20	1997-02-21	5	toufuya-okegawa-monogatari	豆腐屋桶川物語	both	drama	城としあき
1997-02-28	1997-02-28	5	studio-jiburi-sakuhin-kanren-shiryoushuu	スタジオジブリ作品関連資料集	both	essay,historical	(unknown)
1995-12-14	1997-03-17	5	inochi-kurenai-no-shugoshin	命～紅の守護神～	both	fantasy,action,supernatural	出口竜正
1995-05-20	1997-03-20	5	epuron-mamako-no-ogenki-recipe	エプロンまま子のお元気レシピ	both	comedy	中森衣都
1997-03-20	1997-03-20	5	shokugyou-eivui-kantoku	職業・AV監督	both		井浦秀夫
1997-03-30	1997-03-30	5	ai-ga-mau-basho	愛が舞う場所	both	romance,drama	キム・ドンファ
1996-09-09	1997-04-09	5	garyuu	画竜	both	historical,drama	やしおじつとむ
1989-02-28	1997-04-19	5	ikenai-boy	イケナイBOY	both	action,school,comedy	須磨ヨシヒロ
1992-07-30	1997-04-28	5	fire-emblem-watanabe-1992	ファイアーエムブレム	catch	comedy,fantasy	佐野真砂輝/わたなべ京
1995-04-06	1997-05-02	5	shippuu-ultra-ninpou-chou	疾風ウルトラ忍法帖	both	comedy,action	御童カズヒコ
1997-05-05	1997-05-05	5	mujina-chuuihou	むじな注意報!	both	comedy,supernatural	小山田いく
1987-01-20	1997-06-15	5	maagaretto-to-goshujin-no-sokonuke-chindouchuu	マーガレットとご主人の底抜け珍道中	both	comedy,adventure	坂田靖子
1992-04-13	1997-06-27	5	yunbo-kun	ゆんぼくん	both	comedy,slice-of-life	西原理恵子
1996-09-10	1997-07-05	5	jounetsu-club	情熱クラブ	both	comedy	川野ゆーへー
1994-10-06	1997-07-06	5	joumae-suit-kiimasutaa	錠前戦士キーマスター	both	action,comedy,sci-fi,supernatural	せたのりやす
1997-02-13	1997-09-12	5	12-no-kekkon-monogatari	12の結婚物語	both	romance	神奈幸子
1993-12-13	1997-10-06	5	seiiki	聖域	both	drama	庄司陽子
1996-08-20	1997-11-26	5	shitsurakuen-1996	失楽園	both	action	ジェームスほたて/もりしたかなめ/TARGO良明/つのだサブロー/清水大武/漣一人/六百年仙人/鱶山僚一/荒木瑛
1997-12-05	1997-12-05	5	shin-houchou-mushuku	新・包丁無宿	both	drama	たがわ靖之
1985-08-03	1997-12-17	5	tokiiro-triangle	朱鷺色三角	catch	mystery,supernatural	樹なつみ
1997-01-14	1998-01-16	5	toushinden	闘神伝	both	action	武林武士
1976-05-15	1998-02-10	5	niji-no-kouro	虹の航路	both	drama,romance	庄司陽子
1996-11-06	1998-03-06	5	super-mario-64	スーパーマリオ64	catch	action	本山一城
1997-06-01	1998-03-20	5	ao-no-6-gou	青の6号	both	sci-fi,action	小沢さとる
1998-03-20	1998-03-20	5	gokujou-tenshi	極上天使	both	fantasy,romance	東山むつき
1998-04-03	1998-04-03	5	shin-rekka-fuumaden	真・烈華封魔伝	both	fantasy,action	葉月しのぶ
1997-09-10	1998-05-10	5	men-to-mukatte	面!と向かって	both	sports	松下ケンイチ
1996-07-10	1998-05-15	5	shin-seikon-no-joka	新・聖痕のジョカ	both	fantasy	相川有
1997-04-22	1998-05-22	5	guardian-eito	護衛神エイト	both	fantasy,comedy	吉崎観音
1996-08-06	1998-05-24	5	idol-sousei-densetsu-princess	美少女創世伝説プリンセス	both	ecchi,romance	克・亜樹
1976-04-20	1998-06-01	5	umagayuku	馬がゆく!	both	sports,drama	石ノ森章太郎
1998-04-01	1998-07-06	5	rasetsu-no-ie	羅刹の家	both	horror,drama	井出智香恵
1997-10-23	1998-07-23	5	sanyuutei-umihiko	山遊亭海彦	both	drama	さだやす圭
1996-12-12	1998-08-19	5	rusalka-wa-kaeranai	ルサルカは還らない	both	action,suspense	御厨さと美
1996-01-23	1998-08-21	5	kame	かめ!	both	comedy,school	ながいさわこ
1975-08-10	1998-09-20	5	hime-2006	姫	both	drama	茶木ひろみ
1996-06-07	1998-10-07	5	vampire-kiss	ヴァンパイア・キス	both	romance,supernatural,school	村上真紀/さいきなおこ
1997-10-27	1998-11-27	5	majokko-sentai-pasuterion	魔女っ子戦隊パステリオン	both	fantasy,action	松沢夏樹
1997-08-06	1998-12-04	5	ultra-ninpouchou-kotobuki	ウルトラ忍法帖寿	both	comedy,action	御童カズヒコ
1997-01-12	1998-12-12	5	zoku-shounen-tantei-kanata-bokura-no-suiri-note	続少年探偵彼方ぼくらの推理ノート	both	mystery,school	祥寺はるか
1998-12-20	1998-12-20	5	sora-mo-tsuki-mo-hana-mo	天も月も花も	both	historical,romance,drama	原ちえこ
1998-12-22	1998-12-22	5	kumo-no-ue-no-kisuke-san	雲の上のキスケさん	catch	romance	鴨居まさね
1995-08-01	1999-01-01	5	asphalt-baby	アスファルト・ベビィ	both	drama	原のり子
1986-08-18	1999-01-12	5	dokutaakumahige	Dr.クマひげ	both	drama	ながやす巧
1997-05-06	1999-01-13	5	shocking-boy	ショッキングBOY	both	sports,school	雨宮淳
1997-11-07	1999-03-09	5	ivu-no-ringo	イヴの林檎	catch	comedy	倉上淳士
1996-02-25	1999-04-25	5	omajinai-neko-chakura-kun	おまじないネコ・チャクラくん	both	fantasy,comedy	じょうさゆり
1997-11-19	1999-05-19	5	odaiba-baabarianzu	お台場バーバリアンズ	both	action,comedy	金井たつお
1997-04-25	1999-05-30	5	seishun-wa-itai-ssu	青春は痛いっス	catch	drama,romance	筒井旭
1997-09-12	1999-06-11	5	kuufuku-no-joou-sama	空腹の王女様	both	romance,fantasy	板本こうこ
1997-05-19	1999-06-18	5	locker-no-hanako-san	ロッカーのハナコさん	catch	comedy,supernatural	石井まゆみ
1989-01-17	1999-06-23	5	samurider	サムライダー	both	action,drama	すぎむらしんいち
1999-06-26	1999-06-26	5	rikon-ukeoinin-saki	離婚請負人沙樹	both	drama,romance	綾部瑞穂
1992-03-23	1999-07-15	5	keisetsu-jidai	螢雪時代	both	drama,slice-of-life	矢口高雄
1977-07-30	1999-08-09	5	tetsu-chan	手っちゃん	both	comedy	古谷三敏
1998-07-15	1999-08-19	5	gakuen-taishou-souruman	学園大将ソウルマン	both	comedy	花岡貴仁
1999-04-13	1999-08-25	5	tokusei-chibimaruko-chan	特製ちびまる子ちゃん	both	comedy,slice-of-life	さくらももこ
1989-07-15	1999-09-03	5	baddodaneyoshiokun	BADだねヨシオくん!	both	action,comedy,romance,sports	浅田弘幸
1997-11-07	1999-09-07	5	pearl-garden	Pearlガーデン	both	romance,school,drama	みなと鈴
1999-01-08	1999-09-17	5	dragon-4-esuto-monsters-terii-no-wonderland-4koma-manga-gekijou	ドラゴンクエストモンスターズ テリーのワンダーランド 4コママンガ劇場	both	fantasy,comedy,4-koma	(unknown)
