slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
hidoku-shinaide	酷くしないで	seed4	1	deluxe	デラックス版	ビーボーイコミックスデラックス	リブレ	10	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 11, 12]	9784799752128	2021-04-09	[0]
hole-in-one	ホールインワン	canon:extra[0]	1	bunkobon	集英社文庫コミック版	集英社文庫コミック版	集英社	3	[1, 2]	[3, 4, 5, 6, 7, 8]	9784086178037	2002-05	[0, 2]
houkago-hokenshitsu	放課後保健室	seed4	1	bunkobon	文庫版	秋田文庫	秋田書店	2	[1]	[2, 3, 4, 5]	9784253180931	2012-01-04	[0]
iga-no-kagemaru	伊賀の影丸	canon:extra[7]	8	shinsoban	サンデーコミックス復刻(2024)	SUNDAY COMICS	秋田書店	4	[1, 2, 3]	[4, 5, 6, 7]	9784253061254	2024-03-06	[0, 1, 2, 3, 4, 5, 6, 7, 9, 10]
isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	canon:extra[0]	1	shinsoban	ヤングジャンプ・コミックス	ヤングジャンプ・コミックス	集英社	8	[1, 2, 3, 4, 5, 6, 7]	[8, 9, 10, 11, 12, 13, 15, 16]	9784088612485	1983-06-25	[0, 2, 4]
isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	canon:extra[2]	3	shinsoban	集英社版	集英社版	集英社	12	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[12, 14, 17]	9784088612522		[0, 1, 2, 4]
kaettekita-kita-dora-neko	帰って来たどらン猫(こ)	canon:extra[1]	2	bunkobon	双葉文庫	双葉文庫	双葉社	2	[1]	[2, 3]	9784575728330	2022-11-10	[0, 1]
kaishain-no-merodii	かいしゃいんのメロディー	seed4	0	standard	通常版	Bamboo comics	竹書房	2	[1]	[2, 3, 4, 5, 6, 7]	9784812451434	1997-09	[1]
katakoi-saburou	片恋さぶろう	canon:volumes	0	standard	通常版	劇画キングシリーズ	小池書院	2	[1]	[2, 3, 4, 5, 6]	9784883151653	1992-07	[1]
kishibe-no-uta	岸辺の唄	seed4	1	bunkobon	文庫版	[ホーム社漫画文庫]	ホーム社	2	[1]	[2, 3]	9784834275087	2013-10-18	[0]
