slug	title	seed_max	page_max	missing	status	title_id	next_cid
fukushuu-ga-tarinai	復讐が足りない	3	4	1	ongoing	2087423	2087423_004
koi-to-potato-to-natsuyasumi	恋とポテトと夏休み	2	3	1	ongoing	2083534	2083534_003
akujo-wa-utsukushiki-kemono-no-ai-ni-saku	悪女は美しき獣の愛に咲く	2	3	1	ongoing	20135381	20135381_003
watashi-no-aisuru-asseisha	私の愛する圧制者	7	8	1	ongoing	20148210	20148210_008
hana-to-kurage-to-refrain	花とくらげとリフレイン	2	3	1	ongoing	1876556	1876556_003
hanako-gari	花子狩り	2	3	1	ongoing	2046819	2046819_003
clamp-premium-collection-angelic-layer	CLAMP　PREMIUM　COLLECTION　ANGELIC　LAYER	4	5	1	ongoing	20180848	20180848_005
prince-of-ghost	PRINCE OF GHOST	1	2	1	ongoing	2259165	2259165_002
scp-tte-nanidesu-ka	SCPって何ですか?	4	5	1	ongoing	20103480	20103480_005
shion-hinasho2026	SHION	2	3	1	completed	20156717	20156717_003
tough-dai-2-shou	TOUGH 第二章	1	2	1	ongoing	20181934	20181934_002
kami-chan-ga-ireba-maru	かみちゃんがいればマル	2	3	1	ongoing	20154113	20154113_003
jukebox	じゅーくぼっくす	2	3	1	ongoing	2120950	2120950_003
soreigai-no-hoshitachi	それ以外の星たち	1	2	1	ongoing	20154315	20154315_002
sonna-14-sai	そんな、14歳。	2	3	1	ongoing	20142453	20142453_003
tonari-no-daidai	となりのダイダイ	1	2	1	ongoing	2159460	2159460_002
doko-yori-mo-tooi-basho-ni-iru-kimi-e	どこよりも遠い場所にいる君へ	1	2	1	ongoing	20168543	20168543_002
rusuban-neko-kinako	るすばん猫きなこ	1	2	1	ongoing	2196096	2196096_002
andaaaidoru	アンダーアイドル	1	2	1	ongoing	20181003	20181003_002
gosurori-yokochou	ゴスロリ横丁	1	2	1	ongoing	2102266	2102266_002
jadou-season	ジャドウ・シーズン	1	2	1	ongoing	2218438	2218438_002
jin-kakutou-haouden	ジン格斗破王伝	2	3	1	ongoing	2148053	2148053_003
snow-dome-town	スノードームタウン	2	3	1	ongoing	2196095	2196095_003
supadari-ouji-sama-no-kuruiai	スパダリ王子様の狂い愛	1	2	1	ongoing	20185060	20185060_002
sekando-half-girls	セカンドハーフガールズ	1	2	1	ongoing	2271175	2271175_002
negaccho	ネガッチョ	2	3	1	ongoing	20148507	20148507_003
hero-hitorijime-shitemoiidesuka	ヒーロー、独り占めしてもいいですか?	1	2	1	ongoing	2219215	2219215_002
break-new-world	ブレイクニューワールド	4	5	1	ongoing	20156723	20156723_005
madame-omoteura-no-renai-salon	マダム表裏の恋愛サロン	1	2	1	ongoing	2185942	2185942_002
meranko-killing	メランコ・キリング	1	2	1	ongoing	20172885	20172885_002
ruru-no-bourei-yashiki	ルルの亡霊屋敷	2	3	1	ongoing	20146956	20146956_003
jinkon-engi	刃魂演義	1	2	1	ongoing	20166636	20166636_002
yuusha-izoku	勇者遺族	2	3	1	ongoing	20186113	20186113_003
kimi-ga-utau-yakurenka	君が唄う薬恋歌	2	3	1	ongoing	20105219	20105219_003
joshi-koukousei-no-nichijou	女子高校生の日常	1	2	1	ongoing	20181005	20181005_002
megami-to-kekkon-shite-i-sekai-shinkon-seikatsu	女神と結婚して異世界新婚生活	1	2	1	ongoing	2197371	2197371_002
konyaku-haki-sareta-akuratsu-omega-wa-gikei-koushaku-ni-shuuchaku-sare	婚約破棄された悪辣オメガは義兄公爵に執着される	1	2	1	ongoing	20164887	20164887_002
yome-ga-kuru	嫁がくる!	1	2	1	ongoing	20159938	20159938_002
koi-to-yobuni-wa-sasayakadesu-ga	恋と呼ぶにはささやかですが	1	2	1	ongoing	20171856	20171856_002
akujo-wa-rakude-saikoudesu-ga	悪女は楽で最高ですが?	1	2	1	ongoing	1799070	1799070_002
horeta-hareta-panda	惚れたはれたパンダ	1	2	1	ongoing	2226107	2226107_002
yuri-kago-kara-maid-made	揺りカゴからメイドまで	1	2	1	ongoing	20161983	20161983_002
bokusatsu-pinku-gaiden-baibai-pinku	撲殺ピンク外伝 バイバイピンク	1	2	1	ongoing	1845925	1845925_002
bungou-sutoreidoggusu-tanteisha-setsuritsu-hiwa	文豪ストレイドッグス 探偵社設立秘話	2	3	1	ongoing	20143857	20143857_003
bakunyuu-bunny-obasan	爆乳バニーおばさん	3	4	1	ongoing	1637568	1637568_004
oukyuu-jijo-anna-no-nichijou	王宮侍女アンナの日常	1	2	1	ongoing	1928454	1928454_002
seikatsu-man	生活マン	1	2	1	ongoing	20175266	20175266_002
douganna-joushi-wa-sukidesu-ka	童顔な上司は好きですか?	1	2	1	ongoing	20126891	20126891_002
kireina-kimi-ni-korosaretai	綺麗な君に殺されたい。	2	3	1	ongoing	20120597	20120597_003
rouren-no-jikuu-kenshi-wakagaeru	老練の時空剣士、若返る	1	2	1	ongoing	2145998	2145998_002
fujimino-phoenix-roujinkai	藤見乃フェニックス老人会	2	3	1	ongoing	2123382	2123382_003
shiitagerareta-shuusai-reijou-to-ringoku-no-haraguro-kenkyuusha-sama	虐げられた秀才令嬢と隣国の腹黒研究者様の甘やかな薬草実験室	1	2	1	ongoing	2147057	2147057_002
janomesan-wa-hohoemitai	蛇目さんはほほえみたい!	1	2	1	ongoing	20176464	20176464_002
jami-jami	邪命邪魅	1	2	1	ongoing	20170356	20170356_002
suzumebachi	雀蜂	1	2	1	ongoing	20172504	20172504_002
kuro-neko-yuuki-tantei	黒猫幽鬼探偵	1	2	1	ongoing	20140195	20140195_002
rasubosu-no-watashi-ga-shujinkou-no-tsuma-ni-narimashita	ラスボスの私が主人公の妻になりました	4	5	1	ongoing	1257022	1257022_005
monster-rendetsu-oreka-battle-2	モンスター烈伝オレカバトル2	2	3	1	ongoing	20174043	20174043_003
9-banme-no-musashi-ghost-and-gray	9番目のムサシ　ゴースト　アンド　グレイ	21	22	1	ongoing	756231	756231_022
bff	BFF	3	4	1	ongoing	20117718	20117718_004
ononoke-kuwaidanbu	おののけ！ くわいだん部	2	3	1	completed	20036488	20036488_003
katsute-no-ansatsusha-wa-raise-de-chigau-ikikata-o-suru	かつての暗殺者は来世で違う生き方をする	1	2	1	ongoing	20151207	20151207_002
tsukikakeshimai	つきかけ姉妹	2	3	1	completed	2237199	2237199_003
futari-basu	ふたりバス	2	3	1	ongoing	20168232	20168232_003
purapurachikketta	ぷらぷらチッケッタ	1	2	1	ongoing	20139073	20139073_002
enigumatika	エニグマティカ	1	2	1	ongoing	20186746	20186746_002
kanpiooni	カンピオーニ	3	4	1	ongoing	2170706	2170706_004
downer-o-neesan-wa-asobitai	ダウナーお姉さんは遊びたい	2	3	1	ongoing	20118709	20118709_003
full-voice	フルボイス！	1	2	1	ongoing	1983595	1983595_002
mobu-ojisan-no-tenseisha-taisho-manual	モブおじさんの転生者対処マニュアル	2	3	1	ongoing	20187966	20187966_003
riakoshou	リア小姓	3	4	1	ongoing	20156722	20156722_004
nobunaga-o-koroshita-otoko-nichirin-no-demarukashion	信長を殺した男　〜日輪のデマルカシオン〜	9	10	1	ongoing	1017823	1017823_010
aniki-meshidesuyo	兄貴！メシですよ	2	3	1	ongoing	2018245	2018245_003
guru-gourmet	共飯グルメ！	2	3	1	ongoing	20117626	20117626_003
ken-to-mahou-to-ntr	剣と魔法とNTR	1	2	1	ongoing	20172883	20172883_002
