slug	title	category	miss_total	cover_rakuten	cover_ndl	author_ng	date_disorder	gaps
matenrou	摩天楼	E_NO_ISBN	1	0	0	0	0	standard:[9]
kuroi-kizuato-no-otoko	黒い傷痕の男	E_NO_ISBN	4	0	0	0	0	standard:[4, 5, 6, 7]
hana-matsumoto-2002	花	E_NO_ISBN	12	0	0	3	0	standard:[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]
show-chan-no-bouken	正チャンの冒険	E_NO_ISBN	3	0	0	0	0	standard:[2, 3, 4]
chousen-shikaku	挑戦資格	E_NO_ISBN	2	0	0	0	0	standard:[4, 5]
hana-2005	花	E_NO_ISBN	12	0	0	3	0	standard:[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]
asatarou-den	朝太郎伝	F_NO_DATA	3	0	0	0	0	wideban:[2, 4, 5]
dr	Dr	F_NO_DATA	4	0	0	0	0	standard:[2, 3, 12, 14]
sakuranbo-monogatari	桜桃物語	F_NO_DATA	1	0	0	0	0	standard:[16]
dotsukiri-angel	どっきり!エンジェル	F_NO_DATA	1	0	0	0	0	standard:[2]
fushigi-tobe-kun	ふしぎトーボくん	F_NO_DATA	1	0	0	0	0	standard:[2]
heart-kiyatsuchi-izumichiyan	ハート❤キャッチいずみちゃん	F_NO_DATA	1	0	0	0	0	standard:[6]
bats-terry	バツ＆テリー	F_NO_DATA	1	0	0	0	0	wideban:[3]
boukenshatachi-no-sekaishi	冒険者たちの世界史	F_NO_DATA	1	0	0	0	0	standard:[17]
shisaku-nansensu-senshuu	思索ナンセンス選集	F_NO_DATA	2	0	0	0	0	standard:[3, 6]
kibaken	牙拳	F_NO_DATA	1	0	0	0	0	standard:[9]
inugamike-no-ichizoku	犬神家の一族	F_NO_DATA	1	0	0	0	0	standard:[2]
kaze-no-wa-toki-no-wa-suna-no-wa	風の輪・時の和・砂の環	F_NO_DATA	4	0	0	0	0	standard:[2, 3, 4, 5]
hotel	ホテル	F_NO_DATA	4	0	0	0	0	standard:[4, 6, 8, 23]
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	F_NO_DATA	1	0	0	0	0	standard:[2]
b-boy	b-Boy	F_NO_DATA	17	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
comic-chuurippu	コミックチューリップ	F_NO_DATA	10	0	0	0	0	standard:[3, 5, 7, 8, 9, 10, 12, 13, 14, 15]
the-combat	ザ・コンバット	F_NO_DATA	1	0	0	0	0	standard:[2]
pumpkin	パンプキン	F_NO_DATA	1	0	0	0	0	standard:[8]
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	F_NO_DATA	3	0	0	0	0	standard:[3, 4, 5]
milky-comic	milky comic	F_NO_DATA	18	0	0	0	0	standard:[9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]
comic-chuurippu-1988	コミックチューリップ	F_NO_DATA	9	0	0	0	0	standard:[3, 5, 7, 8, 9, 10, 12, 13, 15]
comic-tulip	コミックチューリップ	F_NO_DATA	10	0	0	0	0	standard:[3, 5, 7, 8, 9, 10, 12, 13, 14, 15]
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	F_NO_DATA	5	0	0	0	0	standard:[2, 3, 4, 5, 7]
shin-ranchesutaa-senryaku	新ランチェスター戦略	F_NO_DATA	2	0	0	0	0	standard:[4, 5]
crescent	CRESCENT	F_NO_DATA	23	0	0	0	0	standard:[2, 4, 7, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 26, 31, 32, 35, 37, 38, 40, 42]
help	HELP	F_NO_DATA	3	0	0	0	0	standard:[3, 4, 5]
mikio-to-mikio	みきおとミキオ	F_NO_DATA	17	0	0	0	0	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
mikosuri-gekijou	みこすり半劇場	F_NO_DATA	3	0	0	0	0	standard:[15, 16, 17]
out	アウト	F_NO_DATA	16	0	0	0	0	standard:[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28]
doctor-hankotsui	ドクター反骨医	F_NO_DATA	2	0	0	0	0	standard:[11, 19]
manga-ningen-no-jouken	マンガ人間の條件	F_NO_DATA	1	0	0	0	0	standard:[2]
ningen-no-jouken	人間の條件	F_NO_DATA	1	0	0	0	0	standard:[3]
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	F_NO_DATA	11	0	0	0	0	standard:[16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	F_NO_DATA	11	0	0	0	0	standard:[16, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]
nagi	椰	F_NO_DATA	1	0	0	0	0	standard:[3]
wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	F_NO_DATA	1	0	0	0	0	standard:[2]
marubou-kabushikigaisha	〔○暴〕株式会社	F_NO_DATA	1	0	0	0	0	standard:[23]
hardboiled-daddy	ハードボイルド・ダディ	F_NO_DATA	1	0	0	0	0	standard:[2]
lemon-kids	レモンキッズ	F_NO_DATA	5	0	0	0	0	standard:[2, 4, 8, 9, 10]
gekiga-ningen-kakumei	劇画人間革命	F_NO_DATA	1	0	0	0	0	standard:[3]
