slug	isbn	title	rakuten_kana	ndl_kana
rudorufu-to-ippaiattena	9784065442111	ルドルフとイッパイアッテナ	ルドルフトイッパイアッテナ	ルドルフトイッパイアッテナ(001)
utopia-fuuronpia	9784065440711	ユートピア・フーロンピア	ユートピアフーロンピア	ユートピアフーロンピア(001)
kawatare-kata-ware	9784107729651	かわたれ、かたわれ	カワタレカタワレイチ	カワタレカタワレ01
tsurizao-hitotsu-de-i-sekai-hourou	9784107729569	釣り竿ひとつで異世界放浪	ツリザオヒトツデイセカイホウロウイチ	ツリザオヒトツデイセカイホウロウ01
kimyou-tera-yokochou-no-natsu	9784065442050	帰命寺横丁の夏	キミョウジヨコチョウノナツ	キミョウジヨコチョウノナツ(001)
kou-minoruchan-wa-kao-ga-wakaranai	9784065442739	香穂ちゃんは顔がわからない	カホチャンハカオガワカラナイ	カホチャンハカオガワカラナイ(001)
koushiki-furin	9784065435533	公式不倫（上）	コウシキフリンジョウ	コウシキフリン(001)
kaku-riki	9784065443149	カクリキ	カクリキ	カクリキ(001)
academy-saikyou-no-mob-healer	9784065441350	アカデミー最強のモブヒーラー　〜死にゲー世界のモブに転生した俺は、外れジョブ【ヒーラー】と原作知識で無双する〜	アカデミーサイキョウノモブヒーラー シニゲーセカイノモブニテンセイシタオレハ、ハズレジョブヒーラートゲンサクチシキデムソウスル	アカデミーサイキョウノモブヒーラー(001)
katsute-wa-akuyaku-reijoudeshita-ga-ima-de-wa-rippana-ojisandesu	9784065445082	かつては悪役令嬢でしたが今では立派なオジサンです	カツテハアクヤクレイジョウデシタガイマデハリッパナオジサンデス	カツテハアクヤクレイジョウデシタガイマデハリッパナオジサンデス(001)
cinderella-na-gitei-to-nigerarenai-watashi	9784049721416	シンデレラな義弟と逃げられない私	シンデレラナギテイトニゲラレナイワタシ	シンデレラナオトウトトニゲラレナイワタシ　1
