aid	n_pages	kind_hint	slug	title	first_author
146198	2	B?扇形/別題	koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	恋した人は、妹の代わりに死んでくれと言った。-妹と結婚した片思い相手がなぜ今さら私のもとに?と思ったら-@COMIC	家守まき
146313	2	B?扇形/別題	tiger-bunny-2-the-comic	TIGER & BUNNY 2 THE COMIC	桂正和
146313	2	B?扇形/別題	tiger-bunny-2	TIGER & BUNNY 2	桂正和
147553	2	B?扇形/別題	shin-tsuribakatachi	〔○新〕釣りバカたち	矢口高雄
147553	2	B?扇形/別題	tsuri-baka-tachi	釣りバカたち	矢口高雄
149957	2	B?扇形/別題	clannad-2008	CLANNAD	しゃあ
149957	2	B?扇形/別題	clannad	Clannad	みさき樹里
150461	2	B?扇形/別題	yami-ni-hikaru-youjiyo-no-me	闇に光る幼女の目	浜慎二
150461	2	B?扇形/別題	yoru-aruku-shitai	夜歩く死体	浜慎二
151517	2	B?扇形/別題	futagoza-no-onna	STAYリバース 双子座の女	西炯子
151517	2	B?扇形/別題	stay	STAY	西炯子
152138	2	B?扇形/別題	tasogare-no-nikiita-chan	黄昏のニキータちゃん	桜沢エリカ
152138	2	B?扇形/別題	tasogare-no-nikiitachan-2010	黄昏のニキータちゃん2010	桜沢エリカ
152198	2	B?扇形/別題	frankenstein	フランケンシュタイン	伊藤潤二
152198	2	B?扇形/別題	oshikiri-idan-frankenstein	押切異談＆フランケンシュタイン	伊藤潤二
153557	2	B?扇形/別題	yuube-no-natsu-sakurasawa-erika	ユウベノナツ、桜沢エリカ。	桜沢エリカ
153557	2	B?扇形/別題	yuube-no-natsuno	ユウベノナツ	桜沢エリカ
154873	2	B?扇形/別題	kuro-tokage	黒とかげ	高階良子
154873	2	B?扇形/別題	kurotokage-2019	黒トカゲ	森下裕美
159038	2	A?同題ペア	miyazawa-kenji-mangakan-1985	宮沢賢治・漫画館	やまだ紫
159038	2	A?同題ペア	miyazawa-kenji-mangakan	宮沢賢治・漫画館	畑中純
159425	2	B?扇形/別題	ore-to-mou-ichido-first-love	俺ともう一度、初恋(ファーストラブ)。	長谷垣なるみ
159425	2	B?扇形/別題	ore-to-mou-ichido-hatsukoi	俺ともう一度、初恋。	長谷垣なるみ
161159	2	B?扇形/別題	neko-to-nukunuku	猫とぬくぬく	秋本尚美
161159	2	B?扇形/別題	nukunuku	ぬくぬく	秋本尚美
163369	2	B?扇形/別題	kyoufu-gekijou	恐怖劇場	楳図かずお
163369	2	B?扇形/別題	umezu-kazuo-kyoufu-gekijou	楳図かずお恐怖劇場	楳図かずお
164009	2	B?扇形/別題	gekka-no-ichigun-part2	月下の一群part2	吉野朔実
164009	2	B?扇形/別題	getsuka-no-ichigun	月下の一群	吉野朔実
165300	2	B?扇形/別題	famicom-fuuunji	ファミコン風雲児	池原しげと
165300	2	B?扇形/別題	fuamikon-fuuunji-tai-fuami-ken-ryuu	ファミコン風雲児対ファミ拳リュウ	ほしの竜一
165389	2	B?扇形/別題	shogun	SHOGUN	所十三
165389	2	B?扇形/別題	shoogun	ショーグン	所十三
165466	2	B?扇形/別題	aakeedo-gamer-fubuki-original	アーケードゲーマーふぶきORIGINAL	吉崎観音
165466	2	B?扇形/別題	aakeedogeemaafubuki	アーケードゲーマーふぶき	吉崎観音
