消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	kamui	Kamui	standard	通常版	stencil comics	11	GANGAN WING COMICS[スクウェア・エニックス] / stencil comics[エニックス]		
0	kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	standard	通常版	アルファポリスCOMICS	12	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	kaniteki-pervert-romance	簡易的パーバートロマンス	standard	通常版	Bloom	7	Bloom[集英社] / EYES COMICS.Bloom[集英社,集英社 (発売)]		
0	kankanbiyori	艦々日和	standard	通常版		11	None[Gzブレイン,KADOKAWA] / None[Gzブレイン] / None[KADOKAWA,KADOKAWA・DWANGO]		
0	kao-ni-doro-o-nuru	顔に泥を塗る	standard	通常版	タタン	8	ゼノンコミックス[コアミックス] / タタン[竹書房]		
0	kara-no-kyoukai	空の境界	standard	通常版	Dengeki Comics EX	12	星海社COMICS[講談社,講談社 (発売)] / 星海社COMICS[講談社] / 星海社COMICS[講談社] / 星海社COMICS[講談社]		
0	karada-ga-koisuru-keiyaku-kekkon	カラダが恋する契約結婚	standard	通常版	Clair TLcomics	5	Clair TLcomics[星雲社 (発売)] / Clair TLcomics[星雲社]		
0	karei-ni-rien-shitemisemasu-wa	華麗に離縁してみせますわ!	standard	通常版	Regina COMICS	6	Regina COMICS[星雲社 (発売)] / Regina COMICS[星雲社] / Regina COMICS[星雲社]		
0	kareinaru-shishi-no-okinimesu-mama	華麗なる獅子のお気に召すまま	standard	通常版	Missy comics	5	Missy comics[宙出版] / ネクストFコミックス[ジャイブ,ジャイブ (発売)]		
0	karneval	カーニヴァル	standard	通常版	IDコミックス	28	IDコミックス[一迅社,講談社] / Zero-sum comics[一迅社]		
0	katabami-to-ougon	片喰と黄金	standard	通常版	ヤングジャンプコミックス・ウルトラ	10	ヤングジャンプコミックス・ウルトラ[集英社] / ヤンマガKC[講談社]		
0	kawaii-imouto-ga-konyaku-haki-sareta-rashii-node-ima-kara-orei-ni-mairimasu	可愛い義妹が婚約破棄されたらしいので、今から「御礼」に参ります。	standard	通常版	Regina COMICS	5	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	kawaita-watashi-o-sono-ai-de-yurashite	渇いた私をその愛で揺らして	standard	通常版	セ・キララコミックス	8	Se・kirara comics[リブレ] / セ・キララコミックス[ZITTO]		
0	kazenowatokinowasunanowa	風の輪・時の和・砂の環	standard	通常版	Wings comics	2	ASUKA COMICS DX[角川書店] / Wings comics[新書館]		
0	ken-no-joou-to-rakuin-no-ko	剣の女王と烙印の仔	standard	通常版	MFコミックス	4	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[メディアファクトリー]		
0	kichijouji-catwalk	吉祥寺キャットウォーク	standard	通常版	BEAM COMIX	3	BEAM COMIX[角川グループパブリッシング] / ビームコミックス[KADOKAWA,角川グループパブリッシング]		
0	kimino-unaji-ni-kanpai	キミのうなじに乾杯!	standard	通常版	バーズコミックス	2	BIRZ COMICS[幻冬舎] / バーズコミックス[ソニー・マガジンズ]		
0	kinzoo-no-agatte-nanbo	キンゾーの上ってなンボ!!	standard	通常版	Sankei comics	8	劇画キングシリーズ[スタジオ・シップ] / 劇画キングシリーズ[小池書院]		
0	kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	standard	通常版	バーズコミックス	6	スコラSCデラックス[スコラ] / バーズコミックス[幻冬舎]		
