重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP14y+RAKPUB	horobi-no-fue	滅びの笛	standard	秋田コミックスセレクト	秋田書店	3	978-4-253x2	秋田書店	3	9784418985333	978-4-418	世界文化社	1998-12	2巻1984-03→-	177		滅びの笛（下）	Sebunコミックス	世界文化社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP14y	gakuran-hourouki	ガクラン放浪記	standard	文華コミックス	日本文華社	6	978-4-8211x5	ぶんか社	6	9784916085818	978-4-916085	さくら出版	1999-09	5巻1985-01→-	176				
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP14y+RAKPUB	avnai-yatsura	AVない奴ら	standard	ヤングジャンプ・コミックス	集英社	3	978-4-08x2	集英社	3	9784835452135	978-4-8354	復刊ドットコム	2015-07	2巻2001-06→-	169		AVない奴ら（下巻）		復刊ドットコム
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP13y+RAKPUB	ufo-robo-grendizer	UFOロボグレンダイザー	standard	通常版	大都社	3	978-4-88653x1	大都社	3	9784575936421	978-4-575	双葉社	1999-09-28	1巻1986-02→-	163		UFOロボグレンダイザー（3）	アクションコミックス	双葉社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+GAP13y+RAKPUB	kage-kara-mamoru	陰からマモル!	standard	MFコミックス	メディアファクトリー	8	978-4-8401x6	メディアファクトリー	8	9784046811295	978-4-04	KADOKAWA	2022-11-22	6巻2009-11→-	156		陰からマモル！　8	MFコミックス アライブシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP12y+RAKPUB	grey	Grey	standard	少年キャプテンコミックス	徳間書店	3	978-4-19x2	徳間書店	3	9784821184682	978-4-8211	ぶんか社	2007-08	2巻1994-11→-	153		Grey（下）		ぶんか社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP12y+RAKPUB	emerging	エマージング	standard	モーニングKC	講談社	3	978-4-06x2	講談社	3	9784845850099	978-4-8458	リイド社	2017-02	2巻2004-12→-	146		エマージング　最終版　下		リイド社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP11y+RAKPUB	ikkimandara	一輝まんだら	standard	ハード・コミックス	大都社	3	978-4-88653x2	大都社	3	9784048522854	978-4-04	KADOKAWA	1990-12	2巻1979-04→-	140		一輝まんだら（下巻）		角川書店
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON18(13%)+GAP11y+RAKPUB	kurumi-no-naka	胡桃の中	standard	Be-boy comics	リブレ出版	4	978-4-86263x3	リブレ出版	4	9784799756553	978-4-7997	リブレ	2022-03-19	3巻2010-10→-	137		胡桃の中（4）	ゼロコミックス	リブレ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	chou-aniki	超兄貴	standard	SC special	徳間書店	3	978-4-19x2	徳間書店	3	9784757718166	978-4-7577	エンターブレイン	2004-04	2巻1994-10→-	114		超兄貴（下）	Beam　comix	エンターブレイン
