slug	last_pub_year	anilist_status	anilist_end_year
choujinrokku-soodoobunemeshisu	1997	-	
dagekiman	1997	-	
fortune-quest	1997	FINISHED	
gabunomi-araya	1997	-	
gin-no-tsuki-no-monogatari	1997	-	
golf-jinsei	1997	-	
goseidouji-ran	1997	-	
haiena-komachi	1997	-	
happy-ends	1997	FINISHED	
hoshi-no-rekishi	1997	-	
jikan-o-tomete-matteite	1997	FINISHED	1988
kikai-seibutsu-toshi-noorando	1997	-	
kirariteii	1997	FINISHED	1997
kirin-1996	1997	-	
korogari-teiji	1997	-	
kuro-no-monmongumi	1997	FINISHED	1982
mainichi-aitai	1997	-	
make-upper	1997	FINISHED	1991
mama-no-baiorin	1997	-	
midnight-panther	1997	FINISHED	1997
mon-cheri-coco	1997	FINISHED	
mouryou-senki-madara-basara	1997	FINISHED	1992
mugen-patroller-yuzu	1997	FINISHED	1997
mujina	1997	FINISHED	1997
mystic-ark	1997	-	
nakaseyagatte-konoyarou	1997	-	
nandemo-yarimasu	1997	-	
onsenman	1997	-	
ookamiotoko-ni-ki-o-tsukete	1997	-	
outlaw	1997	-	
private-eyes	1997	FINISHED	
pulse	1997	-	
pure	1997	FINISHED	
reppuuden	1997	-	
saibaa-force	1997	-	
sanobabitchi-powerd	1997	-	
shiawase-saita	1997	-	
shin-kaitei-gunkan	1997	-	
shin-mizuiro-jidai	1997	FINISHED	1997
shishi-no-oukoku	1997	FINISHED	1996
shounen-ninja-basara-kun	1997	-	
sister-marine	1997	-	
sora-nioideyo	1997	-	
star-gazer	1997	-	
suka-tan-yarou	1997	-	
sunuupii-no-nonki-ga-ichiban	1997	-	
swan-hakuchou-no-inori	1997	FINISHED	1983
ten-no-terasu	1997	-	
tenshi-no-pheromone	1997	-	
the-spy-s-family	1997	-	
the-wanderer	1997	FINISHED	1997
tondemo-knight	1997	FINISHED	1997
ue-o-muite-arukou-1997	1997	-	
watashi-no-neko-ha-ouji-sama	1997	FINISHED	1996
yomi-no-kawa	1997	-	
