slug	title	canonical	norm_key	巻番号	版
ten	天	同名	有	近代麻雀コミツクス	重複	standard/近代麻雀コミックス/18巻[6, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1, 18] || shinsoban/近代麻雀コミックス/13巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
tensai-bakabon	天才バカボン	同名	有	講談社コミツクス	重複	standard/講談社コミックス/19巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20] || shinsoban/講談社コミックス/5巻[1, 2, 3, 5, 14] || shinsoban/講談社コミックス/15巻[9, 8, 7, 6, 5, 4, 3, 2, 14, 13, 10, 11, 12, 15, 16]
torajima-no-mii-me	トラジマのミーめ	表記ゆれ	有	プリンセスコミツクス	重複	standard/プリンセス・コミックス/1巻[1] || shinsoban/プリンセスコミックス/1巻[1]
toudai-itchokusen	東大一直線	同名	有	ジヤンプコミツクス	重複	standard/ジャンプ・コミックス/12巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13] || shinsoban/ジャンプ・コミックス/7巻[2, 3, 4, 5, 7, 10, 13]
umeboshi-denka	ウメ星デンカ	同名	有	てんとう虫コミツクス	重複	standard/てんとう虫コミックス/3巻[1, 2, 3] || shinsoban/てんとう虫コミックス/3巻[1, 2, 3]
vampire	バンパイヤ	同名	有	サンデーコミツクス	重複	shinsoban/サンデー・コミックス/2巻[1, 3] || shinsoban/サンデー・コミックス/4巻[1, 2, 3, 4]
versailles-no-bara-gaiden	ベルサイユのばら外伝	同名	無	中公文庫コミツク版	重複	bunkobon/中公文庫コミック版/1巻[1] || kanzenban/中公文庫コミック版/2巻[1, 2]
watari	ワタリ	同名	有	小学館文庫	重複	bunkobon/小学館文庫/6巻[2, 3, 4, 5, 6, 7] || bunkobon/小学館文庫/4巻[1, 2, 3, 4]
x-men	X-MEN	同名	有	ShoProBooks	重複	shinsoban/ShoPro Books/2巻[1, 3] || shinsoban/ShoPro Books/3巻[1, 2, 3]
yojigen-sekai	四次元世界	同名	有	小学館文庫	重複	bunkobon/小学館文庫/1巻[1] || bunkobon/小学館文庫/2巻[1, 2]
