isbn	reason	adult	title	base	vol	brand	pub	date
9784815500221	no_creator		年の差×オメガバースBL	年の差×オメガバースBL		Charles Comics	三交社	2018-05
9784813031819	no_creator		CRAFT	CRAFT	vol. 76	H & C comics	大洋図書	2018-05
9784799211380	no_creator	1	敗北乙女エクスタシー	敗北乙女エクスタシー	SP.03	二次元ドリームコミックス	キルタイムコミュニケーション	2018-05
9784087920284	no_creator		君恋	君恋	01	愛蔵版コミックス	集英社	2018-04
9784087920291	no_creator		君恋	君恋	01	愛蔵版コミックス	集英社	2018-04
9784048938419	no_creator		23/7トゥエンティスリーセブン電撃コミックアンソロジー	23/7トゥエンティスリーセブン電撃コミックアンソロジー		電撃コミックスNEXT	KADOKAWA	2018-04
9784821136247	no_creator		ごはん日和	ごはん日和	vol. 10	Bunkasha comics	ぶんか社	2018-04
9784799211397	no_creator	1	よりぬきTSFのFのほん	よりぬきTSFのFのほん		アンリアルコミックス	キルタイムコミュニケーション	2018-05
9784785961992	no_creator		みんなの食卓	みんなの食卓	no. 21	Comic	少年画報社	2018-05
9784801914599	no_creator		劇漫デラックス	劇漫デラックス	vol. 10	バンブームック	竹書房	2018-05
9784758009843	no_creator		アズールレーンコミックアンソロジー	アズールレーンコミックアンソロジー	vol. 2	DNAメディアコミックス	講談社	2018-05
9784396784485	no_creator		on BLUE	on BLUE	vol. 34		祥伝社	2018-05
9784832249417	no_creator		こみっくがーるずアンソロジーコミック	こみっくがーるずアンソロジーコミック	1	Kirara menu	芳文社	2018-05
9784801914582	no_creator		本当にあった愉快な話芸能プレミアム	本当にあった愉快な話芸能プレミアム		バンブームック	竹書房	2018-05
9784758067263	no_creator		褐色少女のエロスを楽しむアンソロジーコミックnew!	褐色少女のエロスを楽しむアンソロジーコミックnew!		IDコミックス	講談社	2018-05
9784758067270	no_creator		たわわなおっぱいは好きですか?巨乳少女アンソロジーコミック	たわわなおっぱいは好きですか?巨乳少女アンソロジーコミック	3	IDコミックス	講談社	2018-05
9784758067287	no_creator		愛しの彼女がNTRされちゃうアンソロジーコミック	愛しの彼女がNTRされちゃうアンソロジーコミック		IDコミックス	講談社	2018-05
9784758067294	no_creator		のじゃロリっ!!	のじゃロリっ!!		IDコミックス	講談社	2018-05
9784047351226	no_creator		艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	20	ファミ通クリアコミックス	KADOKAWA	2018-05
9784796411554	no_creator		GUSH peche	GUSH peche	vol.55	Gush comics	海王社	2018-06
9784845853816	no_creator		読む明治維新150年 : 官軍vs幕軍	読む明治維新150年	志士達の官軍篇	SP comics	リイド社	2018-11
9784575852226	no_creator		刀剣乱舞-ONLINE-アンソロジー～戦場に咲かせる花～	刀剣乱舞-ONLINE-アンソロジー～戦場に咲かせる花～		ACTION COMICS	双葉社	2018-10
9784845853823	no_creator		読む明治維新150年 : 官軍vs幕軍	読む明治維新150年	忠義の幕軍篇	SP comics	リイド社	2018-11
9784344843271	no_creator		たそがれ食堂	たそがれ食堂	vol. 9	バーズコミックスプラス	幻冬舎	2018-10
9784865358261	no_creator		God姉ちゃん神熱ドヤぁSP	God姉ちゃん神熱ドヤぁSP		GW mook	ガイドワークス	2018-11
9784758067683	no_creator		ゴブリンにエロいことされちゃうアンソロジーコミック	ゴブリンにエロいことされちゃうアンソロジーコミック	3	IDコミックス	講談社	2018-11
9784758020145	no_creator		Fate/grand orderコミックアンソロジーthe next	Fate/grand orderコミックアンソロジーthe next	2	DNAメディアコミックス	一迅社	2018-11
