判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	pazudora-z-2014	pazudora-z	4	5	0	パズドラZ	パズドラ	井上桃太/ガンホー・オンライン・エンターテイメント/Kids/Card Battle	井上桃太/ガンホー・オンライン・エンターテイメント/Kids/Card Battle	2014	2018	pazudora-z-2014	pazudora-z
別題ISBN無交差=概ね正当	B_基底頁あり	rinjin-o-maiseyo-2013	rinjin-o-maiseyo	3	5	0	隣人を妹せよ!	隣人を妹 (まい) せよ!	森乃葉りふ	森乃葉りふ	2013	2016	rinjin-o-maiseyo-2013	rinjin-o-maiseyo
別題ISBN無交差=概ね正当	B_基底頁あり	roodosutou-senki-1997	roodosutou-senki	3	6	0	ロードス島戦記-灰色の魔女-	ロードス島戦記-英雄騎士伝-	おちよしひこ/水野良	夏元雅人/水野良/Shounen	1994	1998	roodosutou-senki-ochi-1994	roodosutou-senki
別題ISBN無交差=概ね正当	B_基底頁あり	roodosutou-senki-1998	roodosutou-senki	5	6	0	ロードス島戦記	ロードス島戦記-英雄騎士伝-	よねやませつこ/水野良	夏元雅人/水野良/Shounen	1994	1998	roodosutou-senki-1998	roodosutou-senki
別題ISBN無交差=概ね正当	B_基底頁あり	ryuurouden-yamahara2007	ryuurouden	17	47	0	龍狼伝 中原繚乱編	龍狼伝	山原義人	山原義人	2007	1993	ryuurouden-yamahara2007	ryuurouden
別題ISBN無交差=概ね正当	B_基底頁あり	saijou-no-meii-hashiguchi2011	saijou-no-meii	19	11	0	最上の明医	最上の命医	橋口たかし/入江謙三/安斎秀/徳重甫	橋口たかし/入江謙三/岩中督/許俊鋭/上妻志郎/西村隆/鈴木孝明/Shounen	2010	2008	saijou-no-meii-hashiguchi2011	saijou-no-meii
別題ISBN無交差=概ね正当	B_基底頁あり	saiko-1996	saiko	1	5	0	奇子-AYAKO-	奇子	手塚治虫	手塚治虫	1996	1981	saiko-1996	saiko
別題ISBN無交差=概ね正当	B_基底頁あり	saiko-tezuka2019	saiko	3	5	0	亜夜子	奇子	九部玖凛/手塚治虫/Seinen	手塚治虫	2019	1981	saiko-tezuka2019	saiko
別題ISBN無交差=概ね正当	B_基底頁あり	sakura-no-sono-1994	sakura-no-sono	1	1	0	桜の園	櫻の園	吉田秋生/Shoujo/Coming of Age/Acting	吉田秋生/Shoujo/Coming of Age/Acting	1994	1986	sakura-no-sono-1994	sakura-no-sono
別題ISBN無交差=概ね正当	B_基底頁あり	sakura-no-sono-2014	sakura-no-sono	2	1	0	さくらの園	櫻の園	ふみふみこ/Tragedy/LGBTQ+ Themes/Gender Bending/Seinen/Coming of Age/Surreal Comedy	吉田秋生/Shoujo/Coming of Age/Acting	2014	1986	sakura-no-sono-2014	sakura-no-sono
別題ISBN無交差=概ね正当	B_基底頁あり	satorare-2006	satorare	2	8	0	サトラレneo	サトラレ	佐藤マコト/Seinen	佐藤マコト/Seinen/Heterosexual/Conspiracy	2006	2001	satorare-2006	satorare
別題ISBN無交差=概ね正当	B_基底頁あり	seito-sho-kun-1984	seito-sho-kun	1	36	0	生徒諸君!外伝	生徒諸君!	庄司陽子	庄司陽子	1984	1978	seito-sho-kun-1984	seito-sho-kun
別題ISBN無交差=概ね正当	B_基底頁あり	shinshin-agatte-nanbo-taichi-yo-nakuna-2006	shinshin-agatte-nanbo-taichi-yo-nakuna	1	4	0	新々上がってなンボ!!太一よ泣くな	新々上ってなンボ!!太一よ泣くな	叶精作/小池一夫	叶精作/小池一夫/Seinen	2006	1997	shinshin-agatte-nanbo-taichi-yo-nakuna-2006	shinshin-agatte-nanbo-taichi-yo-nakuna
別題ISBN無交差=概ね正当	B_基底頁あり	shouta-no-sushi-2003	shouta-no-sushi	8	40	0	将太の寿司 全国大会編	将太の寿司	寺沢大介	寺沢大介	2003	1992	shouta-no-sushi-2003	shouta-no-sushi
別題ISBN無交差=概ね正当	B_基底頁あり	sket-dance-2011	sket-dance	1	48	0	SKET DANCE ファースト・ダンス	SKET DANCE	篠原健太/Shounen	篠原健太	2011	2007	sket-dance-2011	sket-dance
別題ISBN無交差=概ね正当	B_基底頁あり	snow-2006	snow	1	2	0	SNOW	スノウ	村上もとか/Seinen	吉田優希/Seinen	2006	2025	snow-2006	snow
別題ISBN無交差=概ね正当	B_基底頁あり	sora-chan-no-koi-2009	sora-chan-no-koi	1	1	0	空ちゃんの恋	お振るいあそばせ!	鈴木有布子	鈴木有布子	2009	2006	sora-chan-no-koi-2009	sora-chan-no-koi
別題ISBN無交差=概ね正当	B_基底頁あり	sotsugyou-m-1998	sotsugyou-m	4	5	0	卒業M+	卒業M	西臣匡子/有栖川ケイ/Shoujo	杉崎ゆきる/有栖川ケイ/Shoujo	1998	1996	sotsugyou-m-1998	sotsugyou-m
別題ISBN無交差=概ね正当	B_基底頁あり	spiral-alive-2008	spiral-alive	1	5	0	SPIRAL ALIVE	スパイラル・アライヴ	水野英多	水野英多/城平京/Shounen	2008	2002	spiral-alive-2008	spiral-alive
別題ISBN無交差=概ね正当	B_基底頁あり	steins-gate-2011	steins-gate	2	4	0	しゅたいんず・げーと!	シュタインズ・ゲート	さらちよみ/5pb.×ニトロプラス/Seinen/Female Harem	さらちよみ/ニトロプラス/5pb./Time Manipulation/Seinen	2011	2010	steins-gate-2011	steins-gate
別題ISBN無交差=概ね正当	B_基底頁あり	steins-gate-2013	steins-gate	4	4	0	Steins;Gate	シュタインズ・ゲート	成家慎一郎/ニトロプラス/5pb.	さらちよみ/ニトロプラス/5pb./Time Manipulation/Seinen	2012	2010	steins-gate-2013	steins-gate
別題ISBN無交差=概ね正当	B_基底頁あり	tales-of-the-abyss-rei2006	tales-of-the-abyss	8	2	0	TALES OF THE ABYSS	テイルズオブジアビス	玲衣/バンダイナムコゲームス/Seinen	狩野アユミ/バンダイナムコゲームス/実弥島巧/Seinen	2006	2009	tales-of-the-abyss-rei2006	tales-of-the-abyss
