page_slug	series_title	n_isbn(未掲載版)	page_vols	imprint	sid
ayashi	妖	2	1	あすかコミックス	96127
ayashi	妖	2	1	マンサンコミックス	96128
konzen-black-keiyaku	婚前ブラック契約	2	2	Bamboo comics	96428
kisetsu-no-kuni-no-kemonotachi	季節の国のけものたち	2	1	Karen comics	96593
housekihime-wa-mitsu-ni-nurete	宝石姫は蜜に濡れて	2	3	Missy comics	96965
nariagari	成りあがり	2	3		102007
atarashii-game-hajimemashita-comic	新しいゲーム始めました。@COMIC	2	3	コロナ・コミックス	102984
hoshi-ni-negai-o-2001	星に願いを	2	1	ヤングジャンプ・コミックスBJ	103648
tougenkyou-no-hitobito	桃源郷の人々	2	2	Goma books	105233
tosei-burai	渡世無頼	2	3	マンサンQコミックス	107518
inugamike-no-ichizoku	犬神家の一族	2	3	Akita top comics wid	108724
koohiiten-tareeran-no-file-kanojo-wa-kafeore-no-yume-o-miru	珈琲店タレーランの事件簿 彼女はカフェオレの夢を見る	2	2	このマンガがすごい!comics	109325
ikizurai-to-omottara-oyako-de-hattatsu-shougai-deshita	生きづらいと思ったら親子で発達障害でした	2	1	メディアファクトリーのコミックエッセイ	109573
urawaza-derakkusu	裏ワザDX	2	1	Knuckles comics	115239
tsuuten-no-kaku	通天の角	2	2	Gコミックス	116746
chrome-no-regios	鋼殻のレギオス	2	3	ASUKA COMICS DX	117520
injuu	陰獣	2	1	SHUNYODO COMICS RAMP	117808
ougon-bat	黄金バット	2	2	COMIC On-DEMANDS	119925
jigoku-shoujo-enma-ai-selection-geki-kowa-story	地獄少女閻魔あいセレクション激こわストーリー	2	1	講談社コミックスなかよし	121288
jigoku-shoujo-enma-ai-selection-geki-kowa-story	地獄少女 閻魔あいセレクション 激こわストーリー	2	1	講談社コミックスなかよし	121733
mobile-suit-gundam-seed-destiny-za-edge-dezaia	機動戦士ガンダムSEED DESTINY THE EDGE De	2	2	角川コミックス・エース	121987
mobile-suit-gundam-gyakushuu-no-char-biyondo-za-time	機動戦士ガンダム逆襲のシャアBEYOND THE TIME	2	2	角川コミックス・エース	121988
sozoro-gennai	そぞろ源内	2	3	SPコミックス. SP pocket w	122325
