key	base	role	new_slug	title	vols	year	surname	sur_src	flag
name:いさかわめぐみ|name:ロミオとジュリエット	romeo-to-juliet	sub	romeo-to-juliet-isakawa-2014	ロミオとジュリエット	2	2014	isakawa	anilist	
qid:Q11444969|name:ロメオとジュリエット	romeo-to-juliet	sub	romeo-to-juliet-1986	ロメオとジュリエット	1	1986		none	
name:Watase|name:Fushigi Yuugi	fushigi-yuugi	drop-foreign		Fushigi Yuugi	23		watase	anilist	FOREIGN_DROP
qid:Q234417|name:ふしぎ遊戯	fushigi-yuugi	main	fushigi-yuugi	ふしぎ遊戯	37	1992	watase	anilist	RESOLVED_BY_FOREIGN_DROP
name:XEBEC|name:蒼穹のファフナー	soukyuu-no-fafunaa	main	soukyuu-no-fafunaa	蒼穹のファフナー	9	2015		pykakasi	
qid:Q11573470|name:蒼穹のファフナー	soukyuu-no-fafunaa	sub	soukyuu-no-fafunaa-2005	蒼穹のファフナー	2	2005		pykakasi	
qid:Q22127785|name:「もっと、生きたい…」	motto-ikitai	main	motto-ikitai	「もっと、生きたい…」	2	2006	yoshi	anilist	
name:Yoshi|name:もっと、生きたい…	motto-ikitai	sub	motto-ikitai-2	もっと、生きたい…	2			pykakasi	DEFER_YEAR_MISSING
qid:Q7850395|name:ねこたん。	neko-tan	main	neko-tan	ねこたん。	3	2015		none	
name:ZENZO|name:ネコたん!	neko-tan	sub	neko-tan-2025	ネコたん!	2	2025		pykakasi	
name:アイザック・アシモフ|name:銀河帝国興亡史	ginga-teikoku-kouboushi	main	ginga-teikoku-kouboushi	銀河帝国興亡史	2	2013	uzuki	anilist	
name:久間月慧太郎|name:銀河帝国興亡史	ginga-teikoku-kouboushi	sub	ginga-teikoku-kouboushi-2016	銀河帝国興亡史	2	2016		pykakasi	
name:小井土繁と学習まんが集団まんが|name:少年少女人物日本の歴史	shounen-shoujo-jinbutsu-nippon-no-rekishi	main	shounen-shoujo-jinbutsu-nippon-no-rekishi	少年少女人物日本の歴史	4			pykakasi	
name:あおむら純まんが|name:少年少女人物日本の歴史	shounen-shoujo-jinbutsu-nippon-no-rekishi	sub	shounen-shoujo-jinbutsu-nippon-no-rekishi-2	少年少女人物日本の歴史	3			pykakasi	DEFER_YEAR_MISSING
name:児玉幸多|name:少年少女日本の歴史	shounen-shoujo-nippon-no-rekishi	main	shounen-shoujo-nippon-no-rekishi	少年少女日本の歴史	7	1982		pykakasi	
name:あおむら純まんが|name:少年少女日本の歴史	shounen-shoujo-nippon-no-rekishi	sub	shounen-shoujo-nippon-no-rekishi-2	少年少女日本の歴史	4			pykakasi	DEFER_YEAR_MISSING
name:山岡荘八|name:織田信長	oda-nobunaga	main	oda-nobunaga	織田信長	13	1985	yamaoka	anilist	
name:あきづき笙|name:織田信長	oda-nobunaga	sub	oda-nobunaga-akizuki-1991	織田信長	4	1991	akizuki	anilist	
qid:Q11301333|name:織田信長	oda-nobunaga	sub	oda-nobunaga-2016	織田信長	4	2016		none	
qid:Q11540302|name:織田信長	oda-nobunaga	sub	oda-nobunaga-1987	織田信長	1	1987		none	
qid:Q6383702|name:織田信長	oda-nobunaga	sub	oda-nobunaga-2014	織田信長	1	2014		none	
qid:Q11505152|name:あひるの空	ahiru-no-sora	main	ahiru-no-sora	あひるの空	50	2001	nomura	anilist	
name:あきやま耕輝|name:アヒルの空	ahiru-no-sora	sub	ahiru-no-sora-akiyama-1987	アヒルの空	5	1987	akiyama	anilist	
qid:Q22129976|name:源義経	minamoto-no-yoshitsune	main	minamoto-no-yoshitsune	源義経	3	1990	horie	anilist	
name:あきやま耕輝|name:源義経	minamoto-no-yoshitsune	sub	minamoto-no-yoshitsune-akiyama-2005	源義経	2	2005	akiyama	anilist	
name:アキヤマ香|name:僕のおとうさん	boku-no-otou-san	main	boku-no-otou-san	僕のおとうさん	3	2012	akiyama	anilist	
qid:Q11584284|name:ぼくのお父さん	boku-no-otou-san	sub	boku-no-otou-san-2021	ぼくのお父さん	1	2021		none	
name:あさみさとる|name:コミック浅見光彦本格旅情ミステリー	comic-asami-mitsuhiko-honkaku-ryojou-mystery	main	comic-asami-mitsuhiko-honkaku-ryojou-mystery	コミック浅見光彦本格旅情ミステリー	14	2019	asami	anilist	
qid:Q56349534|name:コミック浅見光彦本格旅情ミステリー	comic-asami-mitsuhiko-honkaku-ryojou-mystery	sub	comic-asami-mitsuhiko-honkaku-ryojou-mystery-2024	コミック浅見光彦本格旅情ミステリー	1	2024		none	
name:あだちとか|name:アライブ	alive	main	alive	アライブ	28	2003	adachitoka	anilist	
name:高橋ツトム|name:ALIVE	alive	sub	alive-takahashi-1999	ALIVE	2	1999	takahashi	anilist	
name:シソ|name:地味な剣聖はそれでも最強です	jimi-na-kensei-wa-soredemo-saikyou-desu	main	jimi-na-kensei-wa-soredemo-saikyou-desu	地味な剣聖はそれでも最強です	8	2019	appe	anilist	
name:あっぺ|name:地味な剣聖はそれでも最強です	jimi-na-kensei-wa-soredemo-saikyou-desu	sub	jimi-na-kensei-wa-soredemo-saikyou-desu-appe-2025	地味な剣聖はそれでも最強です	3	2025	appe	anilist	
name:あづま笙子|name:かてきょん	katekyon	main	katekyon	かてきょん	3	2012	shoko	anilist	
qid:Q11384930|name:かてきょん!	katekyon	sub	katekyon-2010	かてきょん!	1	2010		none	
name:アニメージュ編集部|name:風立ちぬ	kaze-tachinu	main	kaze-tachinu	風立ちぬ	2	2013		none	
qid:Q55400|name:風立ちぬ	kaze-tachinu	sub	kaze-tachinu-hori-2015	風立ちぬ	2	2015	hori	anilist	
qid:Q608806|name:KNOCK!	knock	main	knock	KNOCK!	4	1981		none	
name:あまねかずみ|name:Knock!	knock	sub	knock-1997	Knock!	2	1997		pykakasi	
name:平川雄一|name:クソガキ	kusogaki	main	kusogaki	クソガキ	5	2002		pykakasi	
name:いたば吉広|name:くそガキ!	kusogaki	sub	kusogaki-1996	くそガキ!	2	1996		pykakasi	
name:根建飛鳥|name:REBOOT	reboot	main	reboot	REBOOT	6	2013		pykakasi	
name:いちかわ壱|name:リブート	reboot	sub	reboot-ichikawa-2023	リブート	2	2023	ichikawa	anilist	
qid:Q3980316|name:REBOOT	reboot	sub	reboot-2010	REBOOT	1	2010		none	
name:のちた紳|name:村人転生	murabito-tensei	main	murabito-tensei	村人転生	14	2018	takahashi	anilist	
name:イチソウヨウ|name:村人転生	murabito-tensei	sub	murabito-tensei-ichisoyo-2024	村人転生	2	2024	ichisoyo	anilist	
name:いでまゆみ|name:エンジェル・アイズ	angel-eyes	main	angel-eyes	エンジェル・アイズ	2	1989	ide	anilist	
qid:Q418449|name:Angel eyes	angel-eyes	sub	angel-eyes-1994	Angel eyes	1	1994		none	
