isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784049161311	2024.11	KADOKAWA	電撃コミックスNEXT ; N621-01	1	おいのち頂戴! = Give me your life! 1	オイノチチョウダイ	神地, あたる	神地あたる:著
9784041153598	2024.11	KADOKAWA	角川コミックス・エース	2	老いぼれ勇者の異世介護. 2	オイボレユウシャノイセカイゴ	森田, 和彦	森田和彦:著
9784758086066	2024.11	一迅社	IDコミックス. Zero-sum comics	Vol. 6	王子様に溺愛されて困ってます : 転生ヒロイン、乙女ゲーム奮闘記. Vol. 6	オウジサマニデキアイサレテコマッテマス:テンセイヒロイン、オトメゲームフントウキ	三浦, ひらく/月神, サキ	三浦ひらく コミック:/月神サキ:原作
9784048996471	2024.11	ブシロードワークス	ブシロードコミックス	1	王子の取巻きAは悪役令嬢の味方です = The prince&#39;s entourage A is on the side of the villainous daughter. 1	オウジノトリマキエーワアクヤクレイジョウノミカタデス	岸本, さとる/佐崎, 一路	岸本さとる:漫画/佐崎一路:原作/吉田依世:キャラクター原案
9784772812023	2024.11	ゴルフダイジェスト社		53	オーイ!とんぼ. 53	オーイトンボ	かわさき, 健/古沢, 優, 1960-	かわさき健:作/古沢優:画
9784592225072	2024.11	白泉社	花とゆめCOMICS	1	狼皇子と嘘つきな結婚. 1	オオカミオウジトウソツキナケッコン	音, 久無	音久無:著
9784344855120	2024.11	幻冬舎コミックス	Birz comics = バーズコミックス. 	2	狼王弟と白のお嫁さん. 2	オオカミオウテイトシロノオヨメサン	金田, 正太郎	金田正太郎:
9784049157291	2024.11	KADOKAWA		8	狼と香辛料. 8	オオカミトコウシンリョウ	小梅, けいと/支倉, 凍砂	小梅けいと:作画/支倉凍砂:原作/文倉十:キャラクターデザイン
9784821159055	2024.11	ぶんか社	BK COMICS f	1	オオカミ陛下の躾け方 : 悪役令嬢は破滅フラグと一夜を共にしてしまったけど、溺愛させます! 1	オオカミヘイカノシツケカタ:アクヤクレイジョウワハメツフラグトイチヤオトモニシテ	みずき, 春/枢, 呂紅	みずき春:漫画/枢呂紅:原作
9784065325520	2024.11	講談社	KCDX		おおきく振りかぶって公式選手名鑑 : 連載20周年記念	オオキクフリカブッテコウシキセンシュメイカン:レンサイニジッシュウネンキネン	ひぐち, アサ	ひぐちアサ:原作/講談社:編
