slug	title	edition	numbers
miyazawa-kenji-mangakan-1996	宮澤賢治・漫画館	通常版	4,5
monkey-peak-the-rock	Monkey peak the rock	通常版	4,5,6,7,8,9
onetsu-wa-nando	お熱は何度?	通常版	4,5
pittosporum	ピットスポルム	通常版	4,5
pokettomonsutaa-diamond-pearl-ohanashi-series	ポケットモンスターダイヤモンド・パール　おはなしシリーズ	通常版	4,5
rakushou-hyper-doll-1996	楽勝!ハイパー★ドール	通常版	4,5
school-zone-2021	School zone	通常版	4,5
seijo-ni-uso-wa-tsuujinai	聖女に嘘は通じない	デラックス版	4,5
seiryuu	青龍	通常版	4,5,6,7,8,9,10,11,12,13,14,15,16,17
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	通常版	4,5,6,7,8,9,10
suikoden-2000	水滸伝	通常版	4,5
tokumoriueda-masashi	特盛!植田まさし	通常版	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
yuusha-sama-wa-houshuu-ni-hitozuma-o-go-kibou-desu	勇者さまは報酬に人妻をご希望です	通常版	4,5,6,7,8,9
3-bunnoichi-sanbunnoichi	1/3さんぶんのいち	通常版	3,4,5,6,7,8
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	通常版	3,4,5
ai-ga-omoi-kishi-koushaku-wa-tsuihousareta-reijou-no-subete-o-ubaitsukushitai	愛が重い騎士公爵は、追放令嬢のすべてを奪い尽くしたい。	通常版	3,4
ai-toka-ii-kara-dakishimete	愛とかいいから抱きしめて	通常版	3,4,5,6
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	通常版	3,4,5,6,7
akuyaku-reijou-jikkai-shindara-nanka-kowareta	悪役令嬢、十回死んだらなんか壊れた。	通常版	3,4
amayakana-hana-no-ketsuzoku	甘やかな花の血族	通常版	3,4
answer	アンサー	通常版	3,4,5,6,7,8,9,10,11
asami-mitsuhiko-mystery-and-ryojou-suspense	浅見光彦ミステリー＆旅情サスペンス	通常版	3,4,5,6,7,8,9,10,11,12,13,14,15
ashita-e-hashire	明日へ奔れ	通常版	3,4
ato-happy-mania	後ハッピーマニア	通常版	3,4,5,6
bird-black-maaketto	バード	通常版	3,4,5,6,7,8,9
buya-jitsuroku-andou-gumi	ブヤ 実録・安藤組	通常版	3,4,5,6,7,8
cardfight-vanguard-skyride	カードファイト!!ヴァンガードスカイライド	通常版	3,4,5
chihiro-kun-wa-atashi-holic	千紘くんは、あたし中毒(ホリック)。	デラックス版	3,4,5,6,7,8,9,10,11,12
chotto-morimashita	ちょっと盛りました。	通常版	3,4
clover-1997	Clover	Amie KC（1998–1999）	3,4
ennead	Ennead	デラックス版	3,4,5,6
foot-gear	Foot gear	通常版	3,4,5,6
gakuen-sousei-nekoten	学園創世猫天!	通常版	3,4,5
