shared_isbn	rk_title	ndl_title	ndl_author	owner_slug	owner_author	wrong_slug	wrong_author	wrong_vol	proposed_isbn	confidence
9784592890775	OZ（第3巻）	OZ. 第3巻	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	3		CONFLICT
9784592890782	OZ（第4巻）	OZ. 第4巻	樹なつみ	oz-itsuki-2004	樹なつみ	oz-manual	樹なつみ	4		CONFLICT
9784593897025	中沢啓治平和マンガ作品集（第2巻）改訂版	中沢啓治平和マンガ作品集. 第2巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	2		CONFLICT
9784593897049	中沢啓治平和マンガ作品集（第4巻）改訂版	中沢啓治平和マンガ作品集. 第4巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	4		CONFLICT
9784593897056	中沢啓治平和マンガ作品集（第5巻）改訂版	中沢啓治平和マンガ作品集. 第5巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	5		CONFLICT
9784593897063	中沢啓治平和マンガ作品集（第6巻）改訂版	中沢啓治平和マンガ作品集. 第6巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	6		CONFLICT
9784593897070	中沢啓治平和マンガ作品集（第7巻）改訂版	中沢啓治平和マンガ作品集. 第7巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	7		CONFLICT
9784593897087	中沢啓治平和マンガ作品集（第8巻）改訂版	中沢啓治平和マンガ作品集. 第8巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	8		CONFLICT
9784593897094	中沢啓治平和マンガ作品集（第9巻）改訂版	中沢啓治平和マンガ作品集. 第9巻 (はだしのゲ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	9		CONFLICT
9784593897100	中沢啓治平和マンガ作品集（第10巻）改訂版	中沢啓治平和マンガ作品集. 第10巻 (はだしの	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	10		CONFLICT
9784593897117	中沢啓治平和マンガ作品集（第11巻）改訂版	中沢啓治平和マンガ作品集. 第11巻 (ユーカリ	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	11		CONFLICT
9784593897124	中沢啓治平和マンガ作品集（第12巻）改訂版	いつか見た青い空 上		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	12		LOW
9784593897131	中沢啓治平和マンガ作品集（第13巻）改訂版	いつか見た青い空 上		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	13		LOW
9784593897148	中沢啓治平和マンガ作品集（第14巻）改訂版	黒い雨にうたれて		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	14		LOW
9784593897155	中沢啓治平和マンガ作品集（第15巻）改訂版	ゲキの河 上		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	15		LOW
9784593897162	中沢啓治平和マンガ作品集（第16巻）改訂版	ゲキの河 上		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	16		LOW
9784593897179	中沢啓治平和マンガ作品集（第17巻）改訂版	チンチン電車の詩		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	17		LOW
9784593897186	中沢啓治平和マンガ作品集（第18巻）改訂版	あの街この街		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	18		LOW
9784593897193	中沢啓治平和マンガ作品集（第19巻）改訂版	オキナワ		nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	19		LOW
9784593897209	中沢啓治平和マンガ作品集（第20巻）改訂版	中沢啓治平和マンガ作品集. 第20巻 (平和の鐘	中沢啓治	nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治	heiwa-no-kane-series	中沢啓治	20		CONFLICT
9784594023966	マジンサーガ（05（火星風雲編（後）））	マジンサーガ. 05(火星風雲編(後))	永井豪&ダイナミックプロ	mazin-saga	ダイナミックプロダクション;永井豪	mazin-saga-nagai	永井豪	5		LOW
9784594025731	マジンサーガ（06（火星戦乱編））	マジンサーガ. 06(火星戦乱編)	永井豪&ダイナミックプロ	mazin-saga	ダイナミックプロダクション;永井豪	mazin-saga-nagai	永井豪	6		LOW
9784756714862	Desire（2）	Desire 2	金沢有倖	desire		desire-1989	森園みるく	2		LOW
9784757205192		テイルズオブデスティニー 3	啄木鳥しんき	(所有者不明)		tales-of-destiny	啄木鳥しんき	3		CONFLICT
9784757207462		テイルズオブデスティニー 4	啄木鳥しんき	(所有者不明)		tales-of-destiny	啄木鳥しんき	4		CONFLICT
9784757502109	おひさま笑顔	おひさま笑顔	天野こずえ	ohi-sama-egao	天野こずえ	himawari-2011	天野こずえ	1		CONFLICT
9784757502338	ファイアーエムブレムトラキア776（第1集）	ファイアーエムブレムトラキア776. 第1集		fire-emblem-thracia-776-2000	日野慎之助	fire-emblem-thracia-776	たかなぎ優名	1		LOW
9784757502895	ヴァルキリープロファイル（第4集）	ヴァルキリープロファイル. 第4集		(所有者不明)		valkyrie-profile-2000	魔神ぐり子	4		LOW
9784757502895	ヴァルキリープロファイル（第4集）	ヴァルキリープロファイル. 第4集		(所有者不明)		valkyrie-profile-2001-2	金田一蓮十郎	4		LOW
9784757502895	ヴァルキリープロファイル（第4集）	ヴァルキリープロファイル. 第4集		(所有者不明)		valkyrie-profile-2001	祥寺はるか	4		LOW
9784757502895	ヴァルキリープロファイル（第4集）	ヴァルキリープロファイル. 第4集		(所有者不明)		valkyrie-profile	藍山恵	4		LOW
9784757504448	ファイアーエムブレムトラキア776（2）	ファイアーエムブレムトラキア776. 2	たかなぎ優名	fire-emblem-thracia-776-2000	日野慎之助	fire-emblem-thracia-776	たかなぎ優名	2		CONFLICT
9784757505728	ファイアーエムブレムトラキア776（3）	ファイアーエムブレムトラキア776. 3	たかなぎ優名	fire-emblem-thracia-776-2000	日野慎之助	fire-emblem-thracia-776	たかなぎ優名	3		CONFLICT
