class	n_pages	canonical	pages	authors	vol_overlap
誤接続/別題	2	kyuupii-agatsuma-ryou-desperado	kyuupii-agatsuma-ryou-desperado|kyuupii-azuma-ryou	今村KSK|花林ソラ	0.33
誤接続/別題	2	lesson-2000	lesson|lesson-2000	高橋由佳利	1.0
誤接続/別題	2	log-horizon	log-horizon|log-horizon-nishikaze-no-ryodan	こゆき	0.73
誤接続/別題	2	macross-7-trash-2009	macross-7-trash|macross-7-trash-2009	美樹本晴彦	0.5
誤接続/別題	2	magia-record-2025	magia-record-2025|magia-record-mahou-shoujo-madoka-magica-gaiden	Magica Quartet|富士フジノ	0.67
誤接続/別題	2	magic-knight-rayearth	clamp-premium-collection-magic-knight-rayearth|magic-knight-rayearth	CLAMP	1.0
誤接続/別題	2	magic-naito-rayearth-2	clamp-premium-collection-magic-knight-rayearth-2|magic-naito-rayearth-2	CLAMP	1.0
誤接続/別題	2	magical-girl-lyrical-nanoha-movie-1st-the-comics	magical-girl-llyrical-nanoha|magical-girl-lyrical-nanoha-movie-1st-the-comics	長谷川光司	0.5
誤接続/別題	2	mahou-senki-lyrical-nanoha-force-touruu-karaado	mahou-senki-lyrical-nanoha-force|mahou-senki-lyrical-nanoha-force-touruu-karaado	緋賀ゆかり	1.0
誤接続/別題	2	majindensetsu	god-mazinger|majindensetsu	ダイナミックプロダクション|永井豪	1.0
誤接続/別題	2	maya-2004	maya|maya-2004	本島幸久|須藤真澄	1.0
誤接続/別題	2	mazin-saga	mazin-saga|mazin-saga-nagai	ダイナミックプロダクション|永井豪	0.67
誤接続/別題	2	mazinger-z	mazinger|mazinger-z	ダイナミックプロダクション|ダイナミック・プロ|桜多吾作	0.17
誤接続/別題	2	meioukeikakuzeoraimaa	meioukeikakuzeoraimaa|project-zeoraimaa-omega	ワタリユウ|高屋良樹	1.0
誤接続/別題	2	minamo-no-sato-minasoko-no-mori	minamo-no-sato-minasoko-no-mori|tatara-no-tsuji-ni	ささやななえこ	1.0
誤接続/別題	2	mint	mint|mint-1997	池谷理香子|浅田弘幸	1.0
誤接続/別題	2	miyazawa-kenji-mangakan-1996	miyazawa-kenji-mangakan|miyazawa-kenji-mangakan-1996	あすなひろし|たむらしげる|スズキコージ	0.2
誤接続/別題	2	mobile-suit-gundam-emuesuvui-aaru	mobile-suit-gundam-emuesuvui-aaru|mobile-suit-gundam-emuesuvui-aaru-uchuu-seiki-eiyuu-densetsu	虎哉孝征	0.05
誤接続/別題	2	moon-trick-2018	moon-trick|moon-trick-2018	森本秀	0.67
誤接続/別題	2	mother	mother|step-mother	秋原龍彦|萩森千聖	1.0
