slug	title	detail
tezuka-osamu-tanpenshuu	手塚治虫短編集	
tokyo-love-collection	Tokyo恋愛コレクション	
tokyo-mazin-gakuen-kenpuuchou-tanpenshuu	東京魔人学園剣風帖短編集	
tokyo-revengers-full-color-tanpenshuu	東京卍リベンジャーズフルカラー短編集	
tonari-no-yamada-kun-zenshuu	となりの山田くん 全集	
trouble-collection	トラブル・コレクション	
tsubikky-collection	ツビッキーコレクション	
tsuge-yoshiharu-sakuhinshuu	つげ義春作品集	
tsuge-yoshiharu-senshuu	つげ義春選集	
tsuge-yoshiharu-shoki-kessaku-tanpenshuu	つげ義春初期傑作短編集	
tsuge-yoshiharu-zenshuu	つげ義春全集	
tsumugi-taku-senshuu	紡木たく選集	
tsumugi-taku-the-best-yomikiri-sakuhinshuu	紡木たくthe best 読みきり作品集	
tsurugi-yasuyuki-irasuto-sakuhinshuu	剣康之イラスト作品集	
twinkle-collection	てぃんくる☆コレクション	
uaruna-collection	ヴァルナ・コレクション	
ultra-collection-bokkusu-za-uchiyama-mamoru	ウルトラコレクションボックスザ・内山まもる	
urusei-yatsura-reiwaban-rabu-selection	うる星やつら令和版ラブセレクション	
wada-shinji-all-collection	和田慎二全コレクション	
watanabe-masako-meisaku-selection	わたなべまさこ名作セレクション	
yamada-kintetsu-tanpenshuu-zengun-funtou	山田金鉄短編集全軍奮闘!	
yamaguchi-takayuki-shoki-sakuhinshuu	山口貴由初期作品集	
yamamoto-sumika-sakuhinshuu	山本鈴美香作品集	
yamamura-misa-mystery-comic-selection	山村美紗ミステリーコミックセレクション	
yamamura-misa-ryojou-sasupensu-comic-selection	山村美紗旅情サスペンスコミックセレクション	
yamashita-kazumi-tanpenshuu	山下和美【短編集】	
yokohama-shinsen-monogatari-best-collection	横浜神仙物語ベストコレクション	
yokoyama-mitsuteru-chouzetsu-rea-collection	横山光輝超絶レアコレクション	
yokoyama-mitsuteru-rea-collection	横山光輝レア・コレクション	
yokoyama-mitsuteru-selection	横山光輝セレクション	
yume-collection	夢コレクション	
zoruge-daizenshuu	ゾルゲ大全集	
