shared_isbn	rakuten_title	n_owners	owner_slug	wrong_slug	wrong_vol	proposed_isbn	how
9784086180757	DRAGON QUEST-ダイの大冒険ー 13	1	dragon-quest-dai-no-daibouken	dragon-quest	13	9784088711836	seed
9784086180764	DRAGON　QUEST-ダイの大冒険ー（14（試練の章　1	1	dragon-quest-dai-no-daibouken	dragon-quest	14	9784088711843	seed
9784086180771	DRAGON QUEST-ダイの大冒険ー 15	1	dragon-quest-dai-no-daibouken	dragon-quest	15	9784088711850	seed
9784086188388	KISSXXXX（1）	1	kissxxxx	kiss-2014	1	9784592886556	seed
9784086188395	KISSXXXX（2）	1	kissxxxx	kiss-2014	2	9784592886563	seed
9784086188401	KISSXXXX（3）	1	kissxxxx	kiss-2014	3	9784592886570	seed
9784088460888	ファイブ（5）	1	five	5-2000	5	9784088920566	seed
9784088492940	ダブルス	1	doubles-1987	doubles-1992	1	9784901638180	seed
9784088518213		0	(所有者不明)	bakudan-1985	1	9784088582412	seed
9784088518220		0	(所有者不明)	bakudan-1985	2	9784088582429	seed
9784088537429	星の瞳のシルエット番外編（ENGAGE）（1）	0	(所有者不明)	engage-watanabe-2009	1	9784403668258	seed
9784088560397	Engage（2）	1	engage-1994	engage-watanabe-2009	2	9784403668661	seed
9784088622392	純愛（ピュア）	1	pure-1993	pure	1	9784088755014	seed
9784088744407	忍空零	1	ninkuu-zero	ninku-kazu-2006	1	9784088711065	seed
9784088755861	Pure（3）	1	pure	pure-1993	3	9784575334142	seed
9784091326737	エンジェル（3）	1	angel-1987	angel	3	9784883324071	seed
9784091326744	エンジェル（4）	1	angel-1987	angel	4	9784883324118	seed
9784091326751	エンジェル（5）	1	angel-1987	angel	5	9784883324132	seed
9784091326768	エンジェル（6）	1	angel-1987	angel	6	9784883324156	seed
9784091358721	レッド（2）	1	red-1999	red	2	9784592888895	seed
9784091388827	ゴールド（2）	1	gold	gold-1997	2	9784785921101	seed
9784091388827	ゴールド（2）	1	gold	gold-2004	2	9784785921101	seed
9784091846419	Rising　sun（1）	1	rising-sun-1998	rising-sun	1	9784091262813	seed
9784091846426	Rising　sun（2）	1	rising-sun-1998	rising-sun	2	9784091262820	seed
9784122028661	栄光のナポレオン（1）	1	eikou-no-naporeon	eroika	1	9784124103328	seed
9784122028678	栄光のナポレオン（2）	1	eikou-no-naporeon	eroika	2	9784124103335	seed
9784122028876	栄光のナポレオン（3）	1	eikou-no-naporeon	eroika	3	9784124103359	seed
9784122028883	栄光のナポレオン（4）	1	eikou-no-naporeon	eroika	4	9784124103373	seed
9784122029057	栄光のナポレオン（5）	1	eikou-no-naporeon	eroika	5	9784124103380	seed
9784122029064	栄光のナポレオン（6）	1	eikou-no-naporeon	eroika	6	9784124103397	seed
9784122029279	栄光のナポレオン（7）	1	eikou-no-naporeon	eroika	7	9784124103533	seed
9784122029286	栄光のナポレオン（8）	1	eikou-no-naporeon	eroika	8	9784124103571	seed
9784122029552	栄光のナポレオン（9）	1	eikou-no-naporeon	eroika	9	9784124103786	seed
9784122029569	栄光のナポレオン（10）	1	eikou-no-naporeon	eroika	10	9784124103861	seed
9784122029774	栄光のナポレオン（11）	1	eikou-no-naporeon	eroika	11	9784124104226	seed
9784122029781	栄光のナポレオン（12）	1	eikou-no-naporeon	eroika	12	9784124104370	seed
9784124103328	エロイカ（第1巻）	1	eroika	eikou-no-naporeon	1	9784122028661	seed
9784124103335	エロイカ（第2巻）	1	eroika	eikou-no-naporeon	2	9784122028678	seed
9784124103359	エロイカ（第3巻）	1	eroika	eikou-no-naporeon	3	9784122028876	seed
9784124103373	エロイカ（第4巻）	1	eroika	eikou-no-naporeon	4	9784122028883	seed
9784124103380	エロイカ（第5巻）	1	eroika	eikou-no-naporeon	5	9784122029057	seed
9784124103397	エロイカ（第6巻）	1	eroika	eikou-no-naporeon	6	9784122029064	seed
9784124103533	エロイカ（第7巻）	1	eroika	eikou-no-naporeon	7	9784122029279	seed
9784124103571	エロイカ（第8巻）	1	eroika	eikou-no-naporeon	8	9784122029286	seed
9784124103786	エロイカ（第9巻）	1	eroika	eikou-no-naporeon	9	9784122029552	seed
9784124103861	エロイカ（第10巻）	1	eroika	eikou-no-naporeon	10	9784122029569	seed
9784124104226	エロイカ（第11巻）	1	eroika	eikou-no-naporeon	11	9784122029774	seed
9784124104370	エロイカ（第12巻）	1	eroika	eikou-no-naporeon	12	9784122029781	seed
9784537097290	レディーQ（1）	1	lady-q	tensai-choukoushi-houjou-mika	1	9784575723199	seed
9784575723199	天才調香師宝条ミカ（1）	1	tensai-choukoushi-houjou-mika	lady-q	1	9784537097290	seed
9784575817027	Sigh	0	(所有者不明)	17sai	1	9784575830392	seed
9784592122357	赤い羊の刻印　2	1	akai-hitsuji-no-kokuin	hakushaku-cain	2	9784592888260	seed
9784592125976	忘れられたジュリエット	1	wasure-rareta-juliet	hakushaku-cain	1	9784592888253	seed
9784758034715		0	(所有者不明)	hypnosis-mic-before-the-battle-the-dirty-dawg	2	9784065176269	seed
9784758073073		0	(所有者不明)	hitorijime-my-hero	3	9784758073080	seed
9784758074087		0	(所有者不明)	hitorijime-my-hero	4	9784758074094	seed
9784758075244		0	(所有者不明)	hitorijime-my-hero	5	9784758075251	seed
9784758076999		0	(所有者不明)	hitorijime-my-hero	6	9784758077002	seed
9784780801668	ジュン（2）アパッチ版	1	jun-ishinomori-2003	jun-2012	2	9784063281590	seed
9784872787634	SLEEPING　BEAUTY（1）	1	sleeping-beauty	sleeping-beauty-yoshikawa-2003	1	9784063806533	seed
9784882717249	Face（2）	2	face-1992	face-2019	2	9784091393920	seed
9784882717249	Face（2）	2	face-1992	face	2	9784091393920	seed
9784882719120	Face（1）	1	face-osaka-1998	face-2019	1	9784091393913	seed
9784882719120	Face（1）	1	face-osaka-1998	face	1	9784091393913	seed
9784883321827	Change！（1）	1	change-hashiba-2000	change-kitamura-2005	1	9784864682268	seed
9784883322084	Change！（2）	1	change-hashiba-2000	change-kitamura-2005	2	9784840110792	seed
9784893671332	S	2	es	s-1999	1	9784086186339	seed
9783770471621		0	(所有者不明)	xxxholic	14		NDL要(meta)
9783770471621		0	(所有者不明)	xxxholic	14		NDL要(meta)
9784041089927	こわい本3 狂乱	1	kowai-hon	umezu-kazuo-kowai-hon	3		NDL要(meta)
9784041089927	こわい本3 狂乱	1	kowai-hon	zoku-kowai-hon	3		NDL要(meta)
9784041089934	こわい本4 呪縛	1	kowai-hon	umezu-kazuo-kowai-hon	4		NDL要(meta)
9784041089934	こわい本4 呪縛	1	kowai-hon	zoku-kowai-hon	4		NDL要(meta)
9784041089941	こわい本5 執念	1	kowai-hon	umezu-kazuo-kowai-hon	5		NDL要(meta)
9784041089941	こわい本5 執念	1	kowai-hon	zoku-kowai-hon	5		NDL要(meta)
9784041089958	こわい本6 怪物	1	kowai-hon	umezu-kazuo-kowai-hon	6		NDL要(meta)
9784041089958	こわい本6 怪物	1	kowai-hon	zoku-kowai-hon	6		NDL要(meta)
9784041089965	こわい本7 闇	2	kowai-hon	umezu-kazuo-kowai-hon	7		NDL要(meta)
9784041089972	こわい本8 異形2	1	kowai-hon	umezu-kazuo-kowai-hon	8		NDL要(meta)
9784041089972	こわい本8 異形2	1	kowai-hon	zoku-kowai-hon	8		NDL要(meta)
9784041089989	こわい本9 影	2	kowai-hon	umezu-kazuo-kowai-hon	9		NDL要(meta)
9784041089996	こわい本10 顔	1	kowai-hon	umezu-kazuo-kowai-hon	10		NDL要(meta)
9784041089996	こわい本10 顔	1	kowai-hon	zoku-kowai-hon	10		NDL要(meta)
9784041090893	ぐだぐだエース（2）	1	gudaguda-ace	koha-ace-collection	2		NDL要(meta)
9784041090893	ぐだぐだエース（2）	1	gudaguda-ace	koha-ace-ekkusupii	2		NDL要(meta)
9784041090893	ぐだぐだエース（2）	1	gudaguda-ace	koha-ace-iiekkusu	2		NDL要(meta)
9784041090893	ぐだぐだエース（2）	1	gudaguda-ace	koha-ace	2		NDL要(meta)
9784041111956	ぐだぐだエース（3）	1	gudaguda-ace	koha-ace-collection	3		NDL要(meta)
9784041111956	ぐだぐだエース（3）	1	gudaguda-ace	koha-ace-ekkusupii	3		NDL要(meta)
9784041111956	ぐだぐだエース（3）	1	gudaguda-ace	koha-ace-iiekkusu	3		NDL要(meta)
9784041111956	ぐだぐだエース（3）	1	gudaguda-ace	koha-ace	3		NDL要(meta)
9784041123485	こわい本11 猫	1	kowai-hon	umezu-kazuo-kowai-hon	11		NDL要(meta)
9784041123485	こわい本11 猫	1	kowai-hon	zoku-kowai-hon	11		NDL要(meta)
9784041202838	コハエース	4	koha-ace-collection	gudaguda-ace	1		NDL要(meta)
