slug	title	std_vols	publishers	majority	minority_detail	minority_vols
yasei-no-rasubosu-ga-arawareta	野生のラスボスが現れた!	11	アース・スターエンターテイメント:9 | 泰文堂:2	アース・スターエンターテイメント	泰文堂=[1, 2]	[1, 2]
yomawari-neko	夜廻り猫	11	講談社:9 | KADOKAWA:1	講談社	KADOKAWA=[1]	[1]
amai-choubatsu	甘い懲罰	10	星雲社:8 | 星雲社(発売):2	星雲社	星雲社(発売)=[9, 10]	[9, 10]
blood-alone	BLOOD ALONE	10	講談社:7 | KADOKAWA:3	講談社	KADOKAWA=[1, 2, 3]	[1, 2, 3]
citrus	Citrus +	10	一迅社:5 | 講談社:3	一迅社	講談社=[6, 9, 10]	[6, 9, 10]
hebigami-sama-to-nie-no-hanahime	蛇神さまと贄の花姫	10	ジャイブ(発売):6 | ジャイブ:4	ジャイブ(発売)	ジャイブ=[1, 2, 3, 4]	[1, 2, 3, 4]
izakaya-bottakuri	居酒屋ぼったくり	10	星雲社:7 | 星雲社(発売):3	星雲社	星雲社(発売)=[6, 7, 8]	[6, 7, 8]
jinrou-e-no-tensei-maou-no-fukukan	人狼への転生、魔王の副官	10	アース・スターエンターテイメント:9 | 泰文堂:1	アース・スターエンターテイメント	泰文堂=[1]	[1]
juui-san-no-oshigoto-in-isekai	獣医さんのお仕事in異世界	10	星雲社:7 | 星雲社(発売):3	星雲社	星雲社(発売)=[6, 7, 8]	[6, 7, 8]
katabami-to-ougon	片喰と黄金	10	集英社:6 | 講談社:4	集英社	講談社=[7, 8, 9, 10]	[7, 8, 9, 10]
kyojinzoku-no-hanayome	巨人族の花嫁	10	星雲社:7 | 星雲社(発売):2	星雲社	星雲社(発売)=[4, 5]	[4, 5]
long-riders	ろんぐらいだぁす!	10	KADOKAWA:6 | 一迅社:3	KADOKAWA	一迅社=[1, 2, 6]	[1, 2, 6]
niito-chan-to-onii-chan	新戸ちゃんとお兄ちゃん	10	ほるぷ出版:5 | フレックスコミックス:5	ほるぷ出版	フレックスコミックス=[6, 7, 8, 9, 10]	[6, 7, 8, 9, 10]
oda-cinnamon-nobunaga	織田シナモン信長	10	徳間:8 | コアミックス:2	徳間	コアミックス=[9, 10]	[9, 10]
omaera-zenin-mendokusai	お前ら全員めんどくさい!	10	ほるぷ出版:7 | フレックスコミックス:3	ほるぷ出版	フレックスコミックス=[8, 9, 10]	[8, 9, 10]
rozen-maiden	Rozen Maiden	10	集英社:2 | 幻冬舎コミックス:1	集英社	幻冬舎コミックス=[8]	[8]
saikyou-mahoushi-no-inton-keikaku	最強魔法師の隠遁計画	10	スクウェア・エニックス:8 | ホビージャパン:2	スクウェア・エニックス	ホビージャパン=[1, 2]	[1, 2]
saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo	最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?	10	星雲社:6 | 星雲社(発売):4	星雲社	星雲社(発売)=[5, 6, 7, 8]	[5, 6, 7, 8]
sankakumado-no-sotogawa-wa-yoru	さんかく窓の外側は夜	10	リブレ:7 | リブレ出版:3	リブレ	リブレ出版=[1, 2, 3]	[1, 2, 3]
seinaru-hanayome-no-hanran	聖なる花嫁の反乱	10	講談社:5 | ほるぷ出版:3 | ソフトバンククリエイティブ:2	講談社	ソフトバンククリエイティブ=[6, 7];ほるぷ出版=[8, 9, 10]	[6, 7, 8, 9, 10]
sono-keisatsukan-tokidoki-yajuu	その警察官、ときどき野獣!	10	講談社:8 | オークラ出版:1	講談社	オークラ出版=[2]	[2]
souryo-to-majiwaru-shikiyoku-no-yoru-ni	僧侶と交わる色欲の夜に…	10	星雲社:8 | 星雲社(発売):2	星雲社	星雲社(発売)=[8, 9]	[8, 9]
ssb	SSB	10	ほるぷ出版:9 | フレックスコミックス:1	ほるぷ出版	フレックスコミックス=[10]	[10]
starmine	スターマイン	10	一迅社:6 | 講談社:3	一迅社	講談社=[8, 9, 10]	[8, 9, 10]
tensei-shichatta-yo-iya-gomen	転生しちゃったよ〈いや、ごめん〉	10	星雲社:7 | 星雲社(発売):3	星雲社	星雲社(発売)=[7, 8, 9]	[7, 8, 9]
the-walking-dead	ウォーキング・デッド	10	飛鳥新社:7 | ヴィレッジブックス:3	飛鳥新社	ヴィレッジブックス=[8, 9, 10]	[8, 9, 10]
touhou-ibara-kasen	東方茨歌仙	10	一迅社:6 | 講談社:4	一迅社	講談社=[6, 8, 9, 10]	[6, 8, 9, 10]
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	9	秋水社(発行元):6 | 青泉社:3	秋水社(発行元)	青泉社=[1, 4, 5]	[1, 4, 5]
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみた。	9	講談社:4 | 一迅社:2	講談社	一迅社=[1, 2]	[1, 2]
hardboiled-enji-cosmo-kun	ハードボイルド園児宇宙くん	9	LINE:7 | LINEDigitalFrontier:2	LINE	LINEDigitalFrontier=[8, 9]	[8, 9]
hidoku-shinaide	酷くしないで	9	リブレ出版:5 | リブレ:4	リブレ出版	リブレ=[6, 7, 8, 9]	[6, 7, 8, 9]
imaizuminchi-wa-douyara-gal-no-tamariba-ni-natteru-rashii	今泉ん家はどうやらギャルの溜まり場になってるらしい	9	竹書房:8 | ジーオーティー:1	竹書房	ジーオーティー=[1]	[1]
kamiari	かみあり	9	一迅社:7 | 講談社:2	一迅社	講談社=[8, 9]	[8, 9]
kimi-ni-aisarete-itakatta	君に愛されて痛かった	9	新潮社:5 | 秋田書店:4	新潮社	秋田書店=[6, 7, 8, 9]	[6, 7, 8, 9]
liar	liar	9	双葉社:8 | 集英社:1	双葉社	集英社=[1]	[1]
love-control	恋愛操作	9	リブレ:5 | リブレ出版:3	リブレ	リブレ出版=[2, 3, 4]	[2, 3, 4]
