slug	title	detail
sayonara-nante-ienai	さよならなんていえない	花とゆめコミックス編集部
seishun-no-shokutaku	セイシュンの食卓	フロム・エー編集部
sena-sena	せな・せな	「せな・せな」製作委員会
shihainin-dan-kouichi	支配人段功一	ヒロカネプロダクション
shikaku	刺客	さいとうプロダクション
shin-en-resist-cure	シンエンレジストCURE	集英社
shin-kureyon-shin-chan	新クレヨンしんちゃん	UYスタジオ
shin-mazinger-shougeki-etchihen	真マジンガー衝撃!H編	ダイナミックプロダクション
shin-naniwa-kinyuudou-aaru	新ナニワ金融道R	青木雄二プロダクション
shin-naniwa-kinyuudou-aoki-yuuji-monogatari	新ナニワ金融道青木雄二物語	青木雄二プロダクション
shin-naniwa-kinyuudou-gaiden	新ナニワ金融道外伝	青木雄二プロダクション
shin-naniwa-kinyuudou-shouwa-zenidou-risshiden	新ナニワ金融道 昭和銭道立志伝	青木雄二プロダクション
shin-naniwa-kinyuudou	新ナニワ金融道	青木雄二プロダクション
shin-yokohama-de-aimashou	新横浜で会いましょう	秋田書店
shingetsu-tan-tsukihime	真月譚月姫	「真月譚月姫」製作委員会
shinnichi-gakuen-naitou-tetsuya-monogatari	新日学園内藤哲也物語	新日本プロレスリング株式会社
shinsetsu-majuu-sensen	真説魔獣戦線	ダイナミックプロダクション
shinshuu-kouketsujou	神州纐纈城	ダイナミックプロダクション
shuffle-comic-a-la-carte	SHUFFLE!コミックアラカルト	コンプティーク編集部
spectreman-heroes	スペクトルマンヒーローズ	ピープロダクション
spirit-jump	スピリット・ジャンプ	オウム出版広報編集部
stratos-4	ストラスト・フォー	スタジオ・ファンタジア
studio-himitsu-kichi-gekijou	スタジオ秘密基地劇場	長谷川裕一＆スタジオ秘密基地
super-robot-comic-getter-robo-hen	スーパーロボットコミック ゲッターロボ編	ダイナミックプロダクション
super-robot-rendetsu	スーパーロボット烈伝	ダイナミックプロダクション
suppin-spirit	すっぴん・スピリット	青二プロダクション
supuun-oba-san	スプーンおばさん	スタジオぴえろ
suteishi-no-tetsu-torimono-hikae	すて石の鉄捕物控	さいとうプロダクション
suupaaman-buiesu-meshi	SUPERMAN VS飯	DCコミックス
taiga	大牙	ダイナミックプロダクション
tales-of-the-abyss-4-koma-kings	テイルズオブジアビス 4コマkings	ナムコ・テイルズスタジオ
tanpopoen-kara	たんぽぽ苑から	花とゆめコミックス編集部
terebi-anime-sekai-meisaku-gekijou	テレビアニメ世界名作劇場	日本アニメーション株式会社
tezuka-osamu-monogatari	手塚治虫物語	手塚プロダクション
the-bird	ザ・バード	ダイナミックプロダクション
the-debut	ザ★デビュー	ホーム社
time-surippaa-tamahime	タイム・スリッパー珠姫	ダイナミックプロダクション
tobe-isami-dash	飛べ!イサミダッシュ	NHKエンタープライズ21
tokugawa-ieyasu-2012	徳川家康	スタジオ・シップ
tokumu-kikoutai-kutikula	特務機甲隊クチクラ	プロダクションI. G
tora-no-kiba	虎の牙	安田達矢ダイナミック・プロダクション
toriyama-akira-marusaku-gekijou	鳥山明○作劇場	花とゆめコミックス編集部
toshi-densetsu-kaitai-center-parallel-file	都市伝説解体センターParallel File	墓場文庫
toubousha	逃亡者	ダイナミックプロダクション
ufo-robo-grendizer-1975-77	UFOロボグレンダイザー1975-77	ダイナミックプロダクション
ufo-robo-grendizer	UFOロボグレンダイザー	ダイナミックプロダクション
unico	ユニコ	手塚プロダクション
unperfect-teacher	アンパーフェクト・ティーチャー	喧噪社
uta-no-prince-samatsu-debut	うたの☆プリンスさまっ♪Debut	ブロッコリー・神あそ製作委員会
uta-no-princesama-maji-love2000	うたの☆プリンスさまっ♪ マジLOVE2000％	ブロッコリー・神あそ製作委員会
uta-no-princesamatsu	うたの☆プリンスさまっ♪	ブロッコリー・神あそ製作委員会
violence-jack	バイオレンス・ジャック	ダイナミックプロダクション
waiting-bell	ウエイティング・ベル	花とゆめコミックス編集部
yaban-no-propose	野蛮のプロポーズ	エンドルフィン株式会社
yagyuu-rashinken	柳生裸真剣	ダイナミックプロダクション
yaiba-2013	刃	さいとうプロダクション
yamato-shinsou-kaii-tan	ヤマト神想怪異譚	カバー株式会社
yami-to-shoukinkubi	闇と賞金首	さいとうプロダクション
yaritai-houdai-fujiemon	やりたいほうだいフジえもん	スタジオ寿
yatsura-no-senjou	奴らの戦場	さいとうプロダクション
yawara	YAWARA!	スタジオ・ナッツ
yuuki-yattaroo-jan	勇気やったろーじゃん!	花とゆめコミックス編集部
za-naniwa-kinyuudou	ザ・ナニワ金融道	青木雄二プロダクション
zuba-ban	ズバ蛮	ダイナミックプロダクション
