slug	title	our_author	src_author(種1/楽天)	誤ISBN数
oshite-dame-nara-oshite-miro	押して駄目なら押してみろ!	高妍	廣瀬アユム	8
seiryuu	青龍	木内一雅	八坂考訓	8
sekai-wa-owattemo-ikiru-tte-tanoshii	世界は終わっても生きるって楽しい	植草美幸	鳥取砂丘	8
shinratsu-naru-gourmet	辛辣なるグルメ	g3井田;鷹巣ヒロキ	若狭星;香川マサヒト	8
studio-cabana	スタジオカバナ	藤田阿登	馬アグリ	8
takane-no-hana-nara-ochitekoi	高嶺の花なら落ちてこい!!	日向キョウ	夏目アヤノ	8
tejina-senpai	手品先輩	ササノユユスケ	アズ	8
tensei-shita-akuyaku-reijou-wa-fukushuu-o-nozomanai-the-comic	転生した悪役令嬢は復讐を望まないthe 	和式トイレット;鶏尾	アカコ;磐秋ハル	8
tondemo-skill-de-isekai-hourou-meshi-sui-no-daibouken	とんでもスキルで異世界放浪メシ スイの大	ネコメヒコ;綿桐サヤ	双葉モモ;江口連	8
toorigakari-ni-wan-point-adobaisu-shiteiku-type-no-yankee	通りがかりにワンポイントアドバイスしてい	中村朝	オツジ	8
tsurenai-kanojo-no-hitorijime	つれない彼女のひとりじめ	四宮和	甘里シュガー	8
unmei-no-aite-wa-joushi-datta	運命の相手は上司だった	(unknown)	mugen;mugenfactory	8
wotaku-mo-koisuru-nikushoku-shinshi	オタクも恋する肉食紳士	冬坂コロモ	柚樹チヒロ	8
yume-de-aetara-2000	夢で逢えたら	山花典之	hanako	8
zeitaku-zanmai-shitai-no-desu	贅沢三昧したいのです!	五月雨キョウスケ	ミワカズ;木虎コン;沖史慈宴	8
zessei-no-akujo-wa-ma-ouji-sama-ni-chouai-dekiaisareru	絶世の悪女は魔王子さまに寵愛される	卓美涼	*アイラ*;朝香ノリコ	8
akuyaku-reijou-desu-kouryaku-taishou-no-yousu-ga-ijou-sugiru-attomaaku-comic	悪役令嬢ですが攻略対象の様子が異常すぎる	フカ田サメタロウ	八美☆ワン;稲井田ソウ	7
anan-3-wa-deatte-sanbyou-de-gattai-shitai	阿南さんは出会って3秒で合体したい!	okamura	松林佑	7
aobara-antique-no-shoukoujo	青薔薇アンティークの小公女	コン炉	コリス;沙月;道草家守	7
boku-no-heya-ga-dungeon-no-kyuukeijo-ni-natte-shimatta-ken	僕の部屋がダンジョンの休憩所になってしま	今井雅巳	juna;タコヤキヨシ;東国不動	7
bokura-wa-koi-ga-heta-sugiru	僕らは恋がヘタすぎる	夢野カツキ	橘エイコ	7
bougyoryoku-zero-no-yome	防御力ゼロの嫁	沢田竜治	]矢野トシノリ;矢野トシノリ	7
captain-haarokku-jigen-koukai	キャプテンハーロック 次元航海	文彦	嶋星光壱;松本零士	7
cinderella-no-ane-desu-fuhoni-nagara-ouji-to-kekkon-suru-koto-ni-narimashita	シンデレラの姉ですが、不本意ながら王子と	支倉文度	チドリアシ;柚子レモン;茲助	7
comic-sengoku-musou-samurai-wars	コミック戦国無双 サムライウォーズ	(unknown)	光栄	7
daikaijuu-gamera	大怪獣ガメラ	ドロンパ;高橋二三	タダシ;ハマダヨシミ;小山田ツトム;槇村タダシ	7
darashinai-desu-hotta-sensei	だらしないです堀田先生!	アオイクジラ	ナカダマオ	7
dekoboko-majo-no-oyako-jijou	でこぼこ魔女の親子事情	culbardian	ピロヤ	7
dolls-furontorain-doll-no-uta	ドールズフロントライン人形之歌	三上敬	ling;上海散爆網絡技有限公司;上海散爆網絡科	7
fudanshi-kazoku	腐男子家族	kera	スズリ街	7
gamer-ga-youkai-taiji-yattemita	ゲーマーが妖怪退治やってみた!	苗原一	小松清太郎	7
gamers	ゲーマーズ!	斉田エジワ	仙人掌;葵セキナ;高橋ツバサ;髙橋ツ	7
gensou-gourmet	幻想グルメ	中村朝	オツジ;天那光汰	7
goumon-baito-kun-no-nichijou	拷問バイトくんの日常	小手万里	次見ヤヲラ	7
hasegawa-kunnoga-ookiku-te-iri-masen	長谷川くんのが大きくて入りません!?	花岡美莉	サンカク	7
heisei-haizanhei-sumire-chan	平成敗残兵すみれちゃん	野田大輔	里見u	7
hirasaka-hinako-ga-ero-kawaii-koto-o-ore-dake-ga-shitte-iru	比羅坂日菜子がエロかわいいことを俺だけが	白松	紺矢ユキオ	7
hitotsubana	ひとつばな	井上知之	ミナミ	7
hogosha-shikkaku	保護者失格。	モタ	ツキノオマメ	7
houshin-kenbunroku	封神見聞録	高橋果甫	アンソロジー	7
ichizu-bitch-chan	一途ビッチちゃん	斎創	色ノン	7
itai-onee-san-wa-suki-desuka	いたいお姉さんは好きですか?	高橋アサミ	若菜	7
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	(unknown);角川ゲームス	[開発;dmmcom;「艦コレ」運営	7
karin-no-mound	花鈴のマウンド	角谷建耀知;赤瀬由里子	[制;キミドリ;星桜高校漫画研究;星桜高校漫画研	7
