我々slug	我々title	誤ISBN数	取り違え相手(楽天題)	相手の我々slug候補	相互swap
tales-of-destiny-inomata-2000	Tales of Destiny	1	テイルズオブデスティニー（2）改訂版		
tales-of-destiny-inomata-2000	Tales of Destiny	1	アストロノミコン（1（アマゾンレッド））		
tales-of-destiny2	Tales of Destiny2	1	テイルズオブデスティニー（2）改訂版		
tales-of-destiny2	Tales of Destiny2	1	アストロノミコン（1（アマゾンレッド））		
tange-sazen	丹下左膳	1	手塚治虫漫画全集（258）		
tanpenshuu	短編集	1	モウちゃんは強かった！		
tanpenshuu	短編集	1	磯ガラス		
taro-jiro-wa-ikite-ita	タロ・ジロは生きていた	1	少女まんが家入門		
taruna	タルナ	1	TARLNA（タルナ）		
tasogare-wa-ouma-no-jikan	たそがれは逢魔の時間	1	大島弓子短編集（2）		
tate-yoko-naname-prism-80	たて・よこ・ななめプリズム'80	1	マルコのプリズムシリーズ（たてよこなな…）（1）		
teens-shiyouka	Teensしようか!	1	ティーンズしようか		
tenchi-kyuusei-shinwa-girl	天地救世♥神話ガール	1	天地救世♡神話ガール〜姫ちゃんとスサノオ〜　（1）		
tenma-no-sora	天馬の空	1	鬼が疾る		
tenshi-no-kikan	天使の帰還	1	池田さとみミステリ-・ワ-ルド（4）		
terebi-kun	テレビくん	1	水木しげる妖怪傑作選（1）		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	友情	yuujou	
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	ロボットと暮らす世界		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	平和への祈り		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	命	inochi-1979|inochi-2002	
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	人間の未来		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	戦争というもの		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	人間というもの		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	愛とは何か？		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	ホラー		
tezuka-osamu-kara-no-message	手塚治虫からの伝言(メッセージ)	1	SFショートショート		
tezuka-osamu-meisakushuu	緑の猫	1	手塚治虫名作集（19）		
the-kureetaa	ザ・クレーター	1	手塚治虫漫画全集（258）		
the-man-of-tango-the-final	The Man of TANGO the final	1	タンゴの男ザ・ファイナル		
the-mobile-police-patlabor-pulsation	The mobile police Patlabor pulsation	1	画集　機動警察パトレイバー		
the-mobile-police-patlabor	The mobile police Patlabor	1	パトレイバー画集2［Air］		
the-next-generation	The NEXT GENERATION	1	ザ　ネクストジェネレーション		
the-salesman-returns	The Salesman Returns	1	帰ッテキタせぇるすまん	kaettekita-salesman	
third-street	サードストリート	1	3rd-street（1）		
togi-hime-zoushi-no-ni-kobyoubu	伽姫草子之弐小屏風	1	卓上戯画集伽姫草子（之弐）		
toki-ni-ha-sentimental	ときにはセンチメンタル	1	島津郷子自選集（4）		
tokiwasou-seishun-monogatari	トキワ荘青春物語	1	アイヌ語イラスト辞典		
tokyo-tower-koibito-tachi-no-tatakai	東京タワー恋人たちの戦い	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
tokyo-toyboxes	Tokyo toyboxes	1	東京トイボクシーズ 1		
tokyo-toyboxes	Tokyo toyboxes	1	東京トイボクシーズ 2		
tokyo-toyboxes	Tokyo toyboxes	1	東京トイボクシーズ 3		
tokyo-toyboxes	Tokyo toyboxes	1	東京トイボクシーズ 4		
tokyo-toyboxes	Tokyo toyboxes	1	東京トイボクシーズ 5		
tomerareta-tokei	止められた時計	1	魔百合の恐怖報告（8）新版		
tomo-no-shi-o-koete	友の死を越えて	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
tomodachi-puzzle	ともだちパズル	1	おーなり由子作品集（2）		
tonkaradani-monogatari	とんから谷物語	1	手塚治虫漫画全集（258）		
tooi-hoshi-o-kazoete	遠い星をかぞえて	1	岩館真理子自選集（1）		
torufan-no-nishi	トルファンの西	1	黒い瞳		
tottemo-shiawase-moto-chan	とってもしあわせモトちゃん	1	萩尾望都作品集（〔第2期〕　6）		
toushin-toshi-3	闘神都市 Ⅲ	1	闘神都市3 4		
towazugatari-1995	とはずがたり	1	マンガ日本の古典（30）		
tr-a-nger	ÉTR〔A〕NGER	1	ETRANGER〜エトランゼ　SHADOW　MAN編		
trap	Trap	1	夫婦探偵奮戦記（10）	yami-no-ekusasaizu	
tsubaki-sange	椿散華	1	津雲むつみ傑作選（2）		
tsubaki	ツバキ	1	椿鬼（1）		
tsubasa-wa-yomigaetta	翼はよみがえった	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
tsugaru-kaikyou-fuyugeshiki	津軽海峡冬景色	1	黒いチューリップ（1）		
tsuki-no-sabaku-o	月の砂漠を	1	月のさばくを		
tsumi-to-batsu	罪と罰	1	マンガ世界の文学（7）		
tsumugi-taku-senshuu	紡木たく選集	1	ホットロード（1）	hot-road	
tsupera-parapara	ツペラパラパラ	1	うーん、うん		
tsupera-parapara	ツペラパラパラ	1	こーい、こい		
tsuppari-seito-to-nakimushi-sensei	ツッパリ生徒と泣き虫先生	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
tsutsumi-chuunagon-monogatari	堤中納言物語	1	マンガ日本の古典（30）		
twelve-crisis	トゥエルヴクライシス	1	12C-Twelve　Crysis-（1）		
two-on-the-road	Two on the road	1	いつもふたりで		
u15-s	U15's	1	アンダーフィフティーンズ		
uchuusen-seizouhou	宇宙船製造法	1	藤子・F・不二雄SF短編コンプリート・ワークス（5）	fujiko-efu-fujio-esuefu-tanpen-konpuriit	
ude-to-dokyou-no-torakkubin	腕と度胸のトラック便	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
uesugi-kenshin	上杉謙信	1	ゴルゴ13（volume　42）	golgo-13	
uewoshitahenojiretta	上を下へのジレッタ	1	手塚治虫漫画全集（258）		
uhauchuusennou	ウは宇宙船のウ	1	萩尾望都作品集（〔第2期〕　6）		
ukiyodoko	浮世床	1	マンガ日本の古典（30）		
ultima	ウルティマ	1	クエスト・オプ・アバタール		
umai-hodo-otenki	うまいほどお天気	1	石塚夢見傑作集（4）		
umeku-haisuikan	うめく排水管	1	伊藤潤二恐怖博物館（3）		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	怨念		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本3 狂乱		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本4 呪縛		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本5 執念		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本6 怪物		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本7 闇		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本8 異形2		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本9 影		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本10 顔		
umezu-kazuo-kowai-hon	楳図かずおこわい本	1	こわい本11 猫		
umi-no-kirakira	うみのきらきら	1	海的煌煌		
umi-no-ouji-sama	海の王子さま	1	名香智子選集（2-2）		
unchiku-manga	蘊蓄漫画	1	減点パパ	genten-papa	★相互
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 1		
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 2		
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 3		
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 4		
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 5		
unnamed-memory	アンネームドメモリー	1	Unnamed Memory 6		
vampire-ruru	Vampire Ruru	1	ヴァンパイアるる		
vangaea	Vangaea	1	ヴァンガイア		
visual-prison-comics	ヴィジュアルプリズンcomics	1	VISUAL PRISON comics1		
visual-prison-comics	ヴィジュアルプリズンcomics	1	VISUAL PRISON comics2		
visual-prison-comics	ヴィジュアルプリズンcomics	1	VISUAL PRISON comics3		
waga-seishun-ni-kui-nashi	わが青春に悔いなし?	1	もりたじゅん自選集（4）		
wangan-midnight-c1-runner	湾岸ミッドナイトC1ランナー	1	湾岸MIDNIGHT C1ランナー 7		
warning-1991	Warning	1	夫婦探偵奮戦記（10）	yami-no-ekusasaizu	
wasure-rareta-juliet	忘れられたジュリエット	1	赤い羊の刻印　2		
watashi-ha-gegege	私はゲゲゲ	1	神秘家水木しげる伝	shinpika-mizuki-shigeru-den	
watashi-no-heya-he-youkoso	私の部屋へようこそ	1	島津郷子自選集（4）		
watashino-ijiwaru-nago-shujin-sama	わたしの意地悪なご主人さま	1	禁断領域		
watch-dogs-tokyo	ウォッチドッグストーキョー	1	Watch Dogs Tokyo 1		
watch-dogs-tokyo	ウォッチドッグストーキョー	1	Watch Dogs Tokyo 2		
watch-dogs-tokyo	ウォッチドッグストーキョー	1	Watch Dogs Tokyo 3		
wedding-eve	Wedding eve	1	ウエディング・イブ		
wild-life	WILD LIFE	1	ワイルドライフ 27		
with-2000	ウィズ	1	With（ウィズ）-きみといっしょにー		
x-kai	X-kai	1	Χ（kai）（1）		
xanadu	XANADU	1	ザナドゥ1		
y-the-last-man	Y:ザラストマン	1	Y:THE LAST MAN 1		
y-the-last-man	Y:ザラストマン	1	Y:THE LAST MAN 2		
y-the-last-man	Y:ザラストマン	1	Y:THE LAST MAN 3		
y-the-last-man	Y:ザラストマン	1	Y:THE LAST MAN 4		
y-the-last-man	Y:ザラストマン	1	Y:THE LAST MAN 5		
yagen-no-ogin-niku-shioki	薬研のお銀肉仕置き	1	ケン月影官能		
yakouhai	夜光杯	1	華夜叉（巻之十二）	hana-yasha	
yamamura-misa-mystery	山村美紗ミステリー	1	京都殺人慕情		
yamato-no-shishi-fuuun-daigishi-gouwan-hisho	大和の獅士 風雲代議士剛腕秘書	1	大和の獅子 1巻		
yami-ni-kageboushi	闇に影ぼうし	1	闇に影法師		
yami-no-ekusasaizu-1991	闇のエクササイズ	1	夫婦探偵奮戦記（10）	yami-no-ekusasaizu	
yami-no-ouji-no-monogatari	闇の王子の物語	1	悪魔のウェディング		
yami-to-shoukinkubi	闇と賞金首	1	影狩り×無用		
yane-no-nagai-kami	屋根裏の長い髪	1	伊藤潤二恐怖博物館（3）		
yatsuhakamura-2017	八つ墓村	1	横溝正史ミステリー	yokomizo-seishi-mystery	
yokubou-no-meikyuu	欲望の迷宮	1	残酷の眠るグリム童話（1）		
yoru-ni-ugomeku	夜に蠢く	1	春に蠢く　勝ち組誕生編		
yoru-no-sutairisuto	夜のスタイリスト	1	高口里純自選名作集（1）		
yoru-yo-sayonara	夜よさよなら	1	手塚治虫短編集（1）	tezuka-osamu-tanpenshuu	
yorunokusabueaobanofue	夜の草笛/青葉の笛	1	水木しげる貸本漫画傑作選（20）		
yoshirin-tsujiseppou	よしりん辻説法	1	十二人の語るべき人類		
yottsu-no-shomei	四つの署名	1	まんがシャーロック・ホームズ全集（第4巻）		
youen-onna-hichou	妖艶おんな秘帖	1	ケン月影特選集　SP		
youkai-nagaya	妖怪長屋	1	水木しげるの不思議な世界（2）		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 1		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 2		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 3		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 4		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 5		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 6		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 7		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 8		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 9		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 10		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 11		
yu-yu-hakusho	幽☆遊☆白書	1	幽★遊★白書 12		
yufurate-no-ki	ユフラテの樹	1	手塚治虫漫画全集（258）		
yukawa-hideki-tomonaga-shinichirou-tonegawa-susumu	湯川秀樹・朝永振一郎・利根川進	1	漫画人物科学の歴史（日本編　［5］）		
yume-camera	夢カメラ	1	藤子・F・不二雄SF短編コンプリート・ワークス（5）	fujiko-efu-fujio-esuefu-tanpen-konpuriit	
yume-no-hitotachi	夢の人たち	1	小椋冬美ヤングユー名作集（3）		
yume-no-rootarii-engine-tanjou	夢のロータリーエンジン誕生	1	プロジェクトX挑戦者たち（〔6〕）	project-ekkusu-chousensha-tachi|project-	
yume-no-sousou	夢の葬送	1	呪いのシリ-ズ（3）		
yuugiou-aaku-faibu	遊☆戯☆王アーク・ファイブ	1	遊・戯・王ARC-V 1		
yuugiou-aaku-faibu	遊☆戯☆王アーク・ファイブ	1	遊・戯・王ARC-V 2		
yuugiou-aaku-faibu	遊☆戯☆王アーク・ファイブ	1	遊・戯・王ARC-V 3		
yuugiou-aaku-faibu	遊☆戯☆王アーク・ファイブ	1	遊・戯・王ARC-V 4		
yuugiou-aaku-faibu	遊☆戯☆王アーク・ファイブ	1	遊・戯・王ARC-V 5		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊・戯・王5D's 3		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊戯王5D’s（4）		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊・戯・王5D's 5		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊・戯・王5D's 6		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊・戯・王5D's 7		
yuugiou-faibudiizu	遊☆戯☆王ファイブディーズ	1	遊・戯・王5D's 8		
yuugiou-rush-duel-erupii	遊☆戯☆王RUSH DUEL LP	1	遊☆戯☆王ラッシュデュエルLP 1		
yuugiou-rush-duel-erupii	遊☆戯☆王RUSH DUEL LP	1	遊☆戯☆王ラッシュデュエルLP 2		
yuujou-densetsu-za-doraemons	友情伝説THE DORAEMONS	1	友情伝説ザ・ドラえもんズ		
yuurei-hiyori	ゆうれい日和	1	吾妻ひでおベストワークス（2）		
yuushi-dandan	勇士ダンダン	1	Z／ETA　FINAL　STAGE		
za-shimamoto	ザ・島本	1	The・島本		
zebra	ゼブラ	1	女仕置人Zebra（7）		
zenetsuio-no-niwa	ゼネツィオの庭	1	森脇真末味傑作集（3）		
zettai-maou	絶対・魔王	1	絶対★魔王〜ボクの胸キュン学園サーガ〜　1		
zettai-maou	絶対・魔王	1	絶対★魔王〜ボクの胸キュン学園サーガ〜　2		
zile	ザイル	1	岳人列伝（2）	kuraimaa-rendetsu	
zoku-kowai-hon	ゾクこわい本	1	怨念		
zoku-kowai-hon	ゾクこわい本	1	こわい本3 狂乱		
zoku-kowai-hon	ゾクこわい本	1	こわい本4 呪縛		
zoku-kowai-hon	ゾクこわい本	1	こわい本5 執念		
zoku-kowai-hon	ゾクこわい本	1	こわい本6 怪物		
zoku-kowai-hon	ゾクこわい本	1	こわい本8 異形2		
zoku-kowai-hon	ゾクこわい本	1	こわい本10 顔		
zoku-kowai-hon	ゾクこわい本	1	こわい本11 猫		
zouka-no-kareru-toki	造花の枯れる時	1	女たちの詩SERIES（3）		
zoukintohouseki	雑巾と宝石	1	手塚治虫漫画全集（258）		
