slug	title	authors	matched_title_core(著者の作品)	orig_status
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい	蔦千鳥;雨傘ヒョウゴ	暁ノ魔女レイシハ自由ニ生キタイ3魔王討伐ヲ終エタノデ、ノンビリオ店ヲ開キマス	NOT_FOUND
akatsuki-ronbun	アカツキ論文	樹生ナト	アカツキ論文暁影文ノ民俗学ミステリ考察	NOT_FOUND
ake-no-joi-to-yoi-no-majo	明けの女医と宵の魔女	樋野友行	明ケノ女医ト宵ノ魔女僕ト彼女ノミダラナカルテ	NOT_FOUND
akebonobashi-sansaro-hakuhou-kissashitsu-nite	曙橋三叉路白鳳喫茶室にて	高尾滋	曙橋三叉路白鳳喫茶室ニテ4	NOT_FOUND
akechi-kogorou-kaikodan	明智小五郎回顧談	今野直樹;平山雄一	明智小五郎回顧談上	NOT_FOUND
akekure-no-ren	あけくれのれん	タダリエコ	アケクレノレン今日モ誰カノタメノ食堂物語3	NOT_FOUND
akenagi-no-meeteru	明け凪のメーテル	カタケイ;須田良規	明ケ凪ノメテル瑞原明奈物語	NOT_FOUND
akiko-no-calendar-16-sai	亜紀子のカレンダー 16歳	酒井美羽	亜紀子ノカレンダ18歳通リ過ギタ季節3	NOT_FOUND
akiko-no-calendar-17-sai	亜紀子のカレンダー17歳	酒井美羽	亜紀子ノカレンダ18歳通リ過ギタ季節3	NOT_FOUND
akimoto-osamu-no-naisu-na-choice-kochikame-50-shuunen	秋本治のナイス!なチョイスこち亀50周年!!	秋本治	秋本治ノナイスナチョイスコチ亀live12	NOT_FOUND
akiraka-ni-nenrei-o-sashou-shite-iru-joshi-joshikousei-vtuber	あきらかに年齢を詐称している女子高生VTuber	ナマズ	アキラカニ年齢ヲ詐称シテイル女子高生vtuber3	NOT_FOUND
akito-wa-card-o-hiku-you-desu	アキトはカードを引くようです	アキノミドリ;川田両悟	アキトハカドヲ引クヨウデス2	NOT_FOUND
ako-to-bambi	あことバンビ	hero	アコトバンビ4	NOT_FOUND
aku-no-hanamichi-o-ikimashou	悪の華道を行きましょう	ヤマシロ梅太;真冬日	悪ノ華道ヲ行キマショウ1巻	NOT_FOUND
aku-no-soshiki-no-kyuujin-koukoku	悪の組織の求人広告	喜友名トト;春日晃	悪ノ組織ノ求人広告2	NOT_FOUND
akujiki-reijou-to-kyouketsu-koushaku	悪食令嬢と狂血公爵	テンテンドンドン;水辺チカ	悪食令嬢ト狂血公爵ソノ魔物、私ガ美味シクイタダキマス	NOT_FOUND
akujo-kougou-no-senzoku-jijo	悪女皇后の専属侍女	antstudio;haeyeon	悪女皇后ノ専属侍女1	NOT_FOUND
akujo-no-retteru-o-harareta-tsuihousareta-reijou-desu-saikyou-heika-no-dekiai-ni-tsukamarimashita	悪女のレッテルを貼られた追放令嬢ですが、最恐陛下の溺愛に捕まりました	ゴゴチャン;篠宮渚	悪女ノレッテルヲ貼ラレタ追放令嬢デスガ、最恐陛下ノ溺愛ニ捕マリマシタ3	NOT_FOUND
akujo-o-koroshite	悪女を殺して	yourapril	悪女ヲ殺シテ2	NOT_FOUND
akujo-to-uwasa-dekiaisareru-koushaku-reijou-nanode-3-nengo-ni-rien-shimasu	悪女と噂される公爵令嬢なので、3年後に離縁しますっ!	スズネ凜;淡井クウ	悪女ト噂サレル公爵令嬢ナノデ、3年後ニ離縁シマスッ2冷酷王ハ花嫁ヲ逃ガサナイ	NOT_FOUND
akujo-to-yobareta-watashi-tenseisaki-demo-akuyaku-desu	悪女と呼ばれた私、転生先でも悪役です	アシカウミ;小乃マル	悪女ト呼バレタ私、転生先デモ悪役デス2	NOT_FOUND
akujo-wa-sunadokei-o-hikkuri-kaesu	悪女は砂時計をひっくり返す	antstudio;sansobee	悪女ハ砂時計ヲヒックリ返ス3	NOT_FOUND
akuma-datta-kimitachi-e	悪魔だった君たちへ	古場ミスミ	悪魔ダッタ君タチヘ1	NOT_FOUND
akuma-ha-rosario-ni-kiss-o-suru	悪魔はロザリオにキスをする	二月公;田中守pub2021;菅原健二	悪魔ハロザリオニキスヲスル1	NOT_FOUND
akuma-kamoshirenai	悪魔かもしれない	松本ユウカ	悪魔カモシレナイ3	NOT_FOUND
akuma-mo-ochiru-akuma-meshi	悪魔も堕ちる悪魔飯	小麦a;音速ヘドバン首モゲ太	悪魔モ堕チル悪魔飯2秒デイチコロギャルノ即堕チハイカロリゴハン	NOT_FOUND
akuma-nisei	悪魔二世	志波由紀	悪魔二世1	NOT_FOUND
akuma-no-ronpa	悪魔の論破	洋介犬	悪魔ノ論破信ジテハイケナイアノ娘ノタメニ	NOT_FOUND
akuma-no-susume	アクマノススメ	甘酒縞	アクマノススメ2	NOT_FOUND
akuma-wa-yurikago-o-utau	悪魔はゆりかごを唄う	ウメーチ	悪魔ハユリカゴヲ唄ウ1	NOT_FOUND
akuninzura-shita-biikyuu-boukensha	悪人面したB級冒険者	エンジ;コゲメ	悪人面シタb級冒険者主人公トソノ幼馴染タチノパパニナル2	NOT_FOUND
akuryou-iwa-kidan	悪霊岩奇談	和田慎二;細雪純	kiyosirou伝奇ファイル1悪霊岩奇談	NOT_FOUND
akuta-to-nazuna	アクタとなずな	フクシマ正保	アクタトナズナ3	NOT_FOUND
akutoku-reijou-ni-tensei-shita-noni-masaka-no-kyuukon	悪徳令嬢に転生したのに、まさかの求婚!?	狭山ヒビキ	悪徳令嬢ニ転生シタノニ、マサカノ求婚手ノヒラ返シノ求婚ハオ断リシマス3	NOT_FOUND
akutoku-ryoushu-no-musuko-ni-tensei	悪徳領主の息子に転生!?	シメサバ;米津	悪徳領主ノ息子ニ転生楽シク魔法ヲ学ンデイタラ、汚名ヲ返上シテマシタ	NOT_FOUND
