slug	title	authors
majo-o-mamoru	魔女をまもる。	槙エビシ
mako-to-tsutomu-no-shinmitsu-shisuu	マコとツトムの親密指数	里中満智子
manga-heiki-saibaa-comics	漫画兵器サイバーコミックス	安永航一郎
maokin	まおきん	村正ミカド;東毅
maou-dou	魔王道	キナツk;凩ハトバ
maoujou-no-ryouriban	魔王城の料理番	西岡サチ
match-mondo	マッチモンド	大山満千
mate-ga-dekinai-hinata-kun	待てができない日向くん	ウジイ
matte-suki	まって、好き。	冬村蜜柑
megurumeku-kisetsu-no-naka-de	めぐるめく季節の中で	ryopub2020
meikon	冥婚	サトウpub2025
merry-uitchiizu-life	メリー・ウィッチーズ・ライフ	楢島サチ
mibu-no-tsugai	壬生の番い	ヒルナマ
migawari-akuyaku-reijou-tenseisaki-de-yami-no-maou-ni-hoshigararete-imasu	身代わり悪役令嬢、転生先で闇の魔王に欲しがられています	ヨコイエミ
