key	base	verdict	role	new_slug	title	surname	flag
qid:Q11542017|name:てっぺん!	teppen	different_works	sub	teppen-tsukimiya-2008	てっぺん!	tsukimiya	
name:日下直子|name:てっぺん	teppen	different_works	sub	teppen-kusaka-2017	てっぺん	kusaka	
qid:Q6410148|name:青き炎	aoki-honoo	different_works	main	aoki-honoo	青き炎	yanagisawa	
name:ホーム社|name:蒼き炎	aoki-honoo	different_works	sub	aoki-honoo-1991	蒼き炎		YEAR_ONLY
name:ホーム社|name:夢で逢えたら	yume-de-aetara	different_works	main	yume-de-aetara	夢で逢えたら	yamahana	
qid:Q9050641|name:夢で逢えたら	yume-de-aetara	different_works	sub	yume-de-aetara-2000	夢で逢えたら		YEAR_ONLY
qid:Q1096358|name:夢であえたら	yume-de-aetara	different_works	sub	yume-de-aetara-1995	夢であえたら		YEAR_ONLY
qid:Q11462110|name:夢で逢えたら	yume-de-aetara	different_works	sub	yume-de-aetara-1985	夢で逢えたら		YEAR_ONLY
qid:Q24896917|name:薔薇とオオカミ	bara-to-ookami	different_works	main	bara-to-ookami	薔薇とオオカミ	yuzuki	
name:マーゴ・マグワイア|name:薔薇と狼	bara-to-ookami	different_works	sub	bara-to-ookami-2011	薔薇と狼		YEAR_ONLY
name:みきもと凛|name:近キョリ恋愛	kinkyori-love	different_works	main	kinkyori-love	近キョリ恋愛	mikimoto	
qid:Q11552274|name:近距離恋愛	kinkyori-love	different_works	sub	kinkyori-love-2000	近距離恋愛		YEAR_ONLY
qid:Q3274618|name:近距離恋愛	kinkyori-love	different_works	sub	kinkyori-love-2001	近距離恋愛		YEAR_ONLY
name:ミヒャエル・クンツェ|name:エリザベート	elisabeth	different_works	main	elisabeth	エリザベート	koike	
name:塚本哲也|name:エリザベート	elisabeth	different_works	sub	elisabeth-mizuno-1996	エリザベート	mizuno	
name:ミユキルリア|name:劣等眼の転生魔術師	rettougan-no-tensei-majutsushi	no_merge	main	rettougan-no-tensei-majutsushi	劣等眼の転生魔術師	miyuki	
name:ミユキルリア|name:劣等眼の転生魔術師|sub:虐げられた最強の孤児が異世界で無双する	rettougan-no-tensei-majutsushi	no_merge	sub	rettougan-no-tensei-majutsushi-miyuki-2020	劣等眼の転生魔術師	miyuki	
name:めぐみ京香|name:ヒミツの花園	himitsu-no-hanazono	different_works	main	himitsu-no-hanazono	ヒミツの花園	rei	
qid:Q11500003|name:ひみつの花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-1984	ひみつの花園		YEAR_ONLY
qid:Q45819818|name:ひみつの花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-1990	ひみつの花園		YEAR_ONLY
qid:Q6139039|name:秘密の花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-1998	秘密の花園		YEAR_ONLY
qid:Q1324685|name:秘密の花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-fujii-1999	秘密の花園	fujii	
qid:Q11278399|name:秘密の花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-kotono-1999	秘密の花園	kotono	
qid:Q11657721|name:秘密のは・な・ぞ・の	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-1999	秘密のは・な・ぞ・の		YEAR_ONLY
qid:Q11659711|name:秘密の花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-2002	秘密の花園		YEAR_ONLY
qid:Q11523608|name:ひみつの花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-2003	ひみつの花園		YEAR_ONLY
qid:Q20040452|name:秘密の花園	himitsu-no-hanazono	different_works	sub	himitsu-no-hanazono-2017	秘密の花園		YEAR_ONLY
name:ゆきもりりょう|name:フェイス	face	different_works	main	face	フェイス		
name:伊藤悶|name:フェイス	face	different_works	sub	face-ito-1993	フェイス	ito	
name:逢坂みや|name:Face	face	different_works	sub	face-osaka-1998	Face	osaka	
qid:Q108109398|name:フェイス|sub:背徳の囁き	face	different_works	sub	face-2019	フェイス		YEAR_ONLY
qid:Q11392400|name:Face	face	different_works	sub	face-1992	Face		YEAR_ONLY
name:ゆでたまご|name:ライオンハート	lion-heart	different_works	main	lion-heart	ライオンハート	yudetamago	
qid:Q11394193|name:ライオン・ハート	lion-heart	different_works	sub	lion-heart-1993	ライオン・ハート		YEAR_ONLY
qid:Q3514157|name:ライオン・ハート|sub:優しい牙に恋して	lion-heart	different_works	sub	lion-heart-2	ライオン・ハート		NEED_TIEBREAK
name:リビオ・ラモンデッリ|name:トランスフォーマー:ロボッツ・イン・ディスガイズ	mazinger-z-tai-transformer	different_works	main	mazinger-z-tai-transformer	トランスフォーマー:ロボッツ・イン・ディスガイズ		
qid:Q11626418|name:マジンガーZ対トランスフォーマー	mazinger-z-tai-transformer	different_works	sub	mazinger-z-tai-transformer-yoshioka-2019	マジンガーZ対トランスフォーマー	yoshioka	
name:わたなべえみ|name:パズル	puzzle	different_works	main	puzzle	パズル		
qid:Q11619414|name:Puzzle+	puzzle	different_works	sub	puzzle-sugano-2006	Puzzle+	sugano	
name:山田悠介|name:パズル	puzzle	different_works	sub	puzzle-sanbe-2007	パズル	sanbe	
qid:Q11603403|name:ファイアーエムブレム	fire-emblem	different_works	main	fire-emblem	ファイアーエムブレム		
name:任天堂|name:ファイアーエムブレム|sub:聖戦の系譜	fire-emblem	different_works	sub	fire-emblem-nintendo-1996	ファイアーエムブレム	nintendo	
qid:Q11260369|name:ファイアーエムブレム 聖戦の系譜	fire-emblem	different_works	sub	fire-emblem-usamiya-1999	ファイアーエムブレム 聖戦の系譜	usamiya	
name:わたなべ京|name:ファイアーエムブレム	fire-emblem	different_works	sub	fire-emblem-watanabe-1992	ファイアーエムブレム	watanabe	
qid:Q22128420|name:ファイアーエムブレム	fire-emblem	different_works	sub	fire-emblem-fuyuki-1999	ファイアーエムブレム	fuyuki	
qid:Q11260369|name:ファイアーエムブレム|sub:聖戦の系譜	fire-emblem	different_works	sub	fire-emblem-1997	ファイアーエムブレム		YEAR_ONLY
