slug	title	title_romaji	a_romaji
engine-room	エンジンルーム	enjin rumu	Engine Room: Ketsureishiki Nainen Kikanshitsu
enjiniiru	エンジニール	enjiniru	Engineer: Tetsudou ni Idonda Otokotachi
enren-kon	艶恋婚	tsuyakoikon	Enren Kon: Onzoushi to Seiryaku Kekkon Itashim
erenoa-joou-wa-jiyuu-na-seishun-o-okuritai	エレノア王女は自由な青春を送りたい	erenoa oujo wa jiyuu na seishun o okuritai	Eleanor Oujo wa Jiyuuna Seishun wo Okuritai: I
ergo-proxy	Ergo Proxy	sande komikkusu	Ergo Proxy: Centzon Hitchers & Undertaker
eroika	エロイカ	eroika	Eikou no Napoleon: Eroica
erudiasu-road	エルディアス・ロード	erudeiasu rodo	Eldias Road: Megami ni Moratta Zettai Shinanai
erukuesuto	えるくえすと!	eru kuesuto	Elle's Quest! Yuusha Elvira wa Genjitsu Sekai 
es	ES	esu	ES: Eternal Sabbath
esc-ape	ESC.ape	esukepu	Tokubetsu na Mainichi
esuesuesu-rank-dungeon-de-knife-ippon-tewatasare-tsuihousareta-sareta-shiro-madoushi	SSSランクダンジョンでナイフ一本手渡され追放された白魔導師	toripuruesuranku danjon de naifu ippon tewatasare tsuihou sareta shiromadoushi	SSS-Rank Dungeon de Knife Ippon Tewatasare Tsu
esuteru	エステル	esuteru	Esther: Afurete Kuneru Mono
etoile	ETOILE	etowaru	Etoile: Sanjuushi Seira
eyes-on-you	アイズ・オン・ユー	aizu on yu	Eyes on You: Hitomi no Naka de Kagayaite
fai-brain	ファイ・ブレイン 最期のパズル	fai burein	Phi Brain: Saigo no Puzzle
faindaa	ファインダー	fainda	Finder: Kyoto Jogakuin Monogatari
fairy-cube	妖精標本	feari kyubu	Yousei Hyouhon: Fairy Cube
fairy-tail-gaiden	FAIRY TAIL外伝	feari teiru gaiden	FAIRY TAIL Gaiden: Raigo Issen
famu-fataru	ファムファタル	famufataru	Femme Fatale: Unmei no Onna
fate-grand-order-fujimaru-ritsuka-wa-wakaranai	Fate/Grand Order藤丸立香はわからない	feito gurando oda fujimaru ritsuka wa wakaranai	Fate/Grand Order: Fujimaru Ritsuka wa Wakarana
feromomania-syndrome	女子妄想症候群	feromomania shindoromu	Joshi Mousou Shoukougun - Pheromomania Syndrom
final-tensei	ファイナル転生	fainaru tensei	Final Tensei: Hazure Skill wo Hikitsuzukeru Or
finrandia	フィンランディア	finrandeia	Finlandia: Santa Yousei Gakkou
fire-emblem-fuyuki-1999	ファイアーエムブレム	faia emuburemu	Fire Emblem: Hikari wo Tsugumono
fire-emblem-seisen-no-keifu-fujimori-1997	ファイアーエムブレム 聖戦の系譜	faia emuburemu seisen no keifu	Fire Emblem: Seisen no Keifu
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	faia emuburemu seisen no keifu	Fire Emblem: Seisen no Keifu
fire-fire-fire-black-sword	FIRE FIRE FIRE BLACK SWORD	toripuru faiya burakku sodo	FIRE FIRE FIRE: BLACK SWORD
fire-fire-fire	Fire fire fire	toripurufaiya	FIRE FIRE FIRE: BLACK SWORD
first-call	ファーストコール	fasuto koru	First Call: Doutei Gekai, Toshishita Yazuka no
fotokano	フォトカノ	fotokano	Photokano: Love Album
free-life	フリーライフ	furi raifu	Free Life: Isekai Nandemoya Funtouki
fujikyuu	フジキュー!!!	fujikyu	Fujicue!!! Fuji Cue's Music
fullmetal-alchemist	Fullmetal alchemist	arakawa hiromu	Hagane no Renkinjutsushi 11.5: Tabidachi no Ma
fun-fun-faamashiii	ファンファン・ファーマシィー	fan fan famashii	Fushigi Mahou Fun Fun Pharmacy
furajairu	フラジャイル	furajairu	Fragile: Byourii Kishi Keiichirou no Shoken
furonteia-diary	フロンティアダイアリー	furonteia daiari	Frontier Diary: Motokizoku no Isekai Henkyo Se
future-is-wild	フューチャー・イズ・ワイルド	fuyucha izu wairudo	Future Is Wild Comic Version: Kyoi no Shinka o
g	G	ji	Gokudo Girl
gaisuto-rebunanto	ガイスト×レブナント	gaisuto rebunanto	Geist x Revenant: Kusozako Mob na Ore wa, Aibo
gal-ben	ギャル弁	gyaruben	Gal Ben: Kabukicho no Yuurei
gal-maid-to-akuyaku-reijou	ギャルメイドと悪役令嬢	gyarumeido to akuyaku reijou	Gal Maid to Akuyaku Reijou: Ojoo-sama no Happy
game-of-familia	ゲームオブファミリア	gemu obu famiria	Game of Familia: Family Senki
game-sekai-tensei-dankatsu	ゲーム世界転生〈ダン活〉～ゲーマーは〈ダンジョン就活のススメ〉を〈はじめから〉プレイする～@COMIC	gemu sekai tensei dankatsu gema wa danjon shuukatsu no susume o hajime kara purei suru attomaku komikku	Game Sekai Tensei <Dankatsu>: Gamer wa [Dungeo
gansuringaa-sutoratosu	ガンスリンガーストラトス	gansuringa sutoratosu	Gunslinger Stratos: Gigantomakhia
gareki-no-ou	ガレキの王	gareki no ou	The King of Debris
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	gaten nouka to asa made zetsurin ecchi	Shojo ga Yakuza ni Choukyou saretemasu!: Zetsu
gene-metarika	ジーンメタリカ	jin metarika	Gene Metallica - Kikou Shoujo wa Kizutsukanai 
gente	Gente	jiente	Gente: Ristorante no Hitobito
get-love	GET LOVE!!	getto rabu	GET LOVE!!: Field no Ouji-sama
getter-robo-g	ゲッターロボG	gettarobo ji	Getter Robo G
getter-robo-hien	ゲッターロボ飛焔	getta robo hien	Getter Robo Hien: THE EARTH SUICIDE
ghost-only	GHOST ONLY	gosuto onri	GHOST ONLY: Yuurei Senyou Restaurant
gift-2009	ぎふと	gifuto	Tadaima Full-House♥
gift-hirose-2003	Gift	gift	Tadaima Full-House♥
girls-cuvie-2003	Girls	girls	Juicy (Genteiban)
girls-mode	GIRLS MODE	garuzumodo	Wagamama Fashion Girls Mode: Mirano Style
goblin-slayer-day-in-the-life	ゴブリンスレイヤー: デイ・イン・ザ・ライフ	goburin sureiya	Goblin Slayer: Day in the Life
gokusaishiki-tokyo-revengers	極彩色東京卍リベンジャーズ	gokusaishiki toukyou ribenjazu	Tokyo卍Revengers: Baji Keisuke Kara no Tegami 
golden-boy-1993	Golden boy	goruden boi	Golden Boy: Sasurai no Obenkyou Yarou
golden-boy-2	GOLDEN BOY 2	gorudenboi	Golden Boy II: Sasurai no Obenkyou Yarou Geino
gorgeous-karatto	ゴージャス・カラット	gojasu karatto	Gorgeous Carat: Kurayami no Bitoku
gorudoo	ゴルドオ	gorudoo	Goldo: Gokudo Golfer
gr-giant-robo	GRジャイアントロボ	jaianto robo	Giant Robo: Chikyuu no Moetsukiru Hi
grand-waafu	グランドワーフ	gurandowafu	Grand Dwarf: Machi Kou Shokunin, Takumi no Waz
great-old	GREAT OLD	gureto orudo	Great Old: Dragon no Tsukurikata
green	GREEN	gurin	Green: Nouka no Yome ni Naritai
grimm-tsuya-douwa	グリム艶童話	gurimu tsuya douwa	Grimm Tsuya Douwa: Koi wo Hoshigaru Ohimesama-
gsmikami	GS美神	gosuto suipa mikami	Ghost Sweeper Mikami
gundam-tanpenshuu	ガンダム短編集	gandamu tanpenshuu	Shin MS Senki Kidou Senshi Gundam Tanpenshuu
gurimowaaru-ribaasu	グリモワール×リバース	gurimowaru ribasu	Grimoire x Reverse: Tensei Kijin Romantan
