slug	title	our_authors	source_authors(同題)	status
2001-plus-5	2001+5	星野之宣		NOT_FOUND
200m-saki-no-netsu	200m先の熱	桃森ミヨシ		NOT_FOUND
201-goushitsu-no-otonari-san	201号室のおとなりさん	日向キョウ		NOT_FOUND
20xx-nen-level-up-saigai	20XX年レベルアップ災害	内田拓也		NOT_FOUND
21seiki-no-ookami	21世紀の狼	池沢早人師	池沢サトシ	AUTHOR_MISMATCH
21xx-nen-konden-einen-shizaihou	21XX年墾田永年私財法	日高十三男	十三男;日高	AUTHOR_MISMATCH
22-26	22-26	藤本タツキ		NOT_FOUND
2200nen-neko-no-2200	2200年ねこの国ニッポン	白縫餡	猫葉リテ	AUTHOR_MISMATCH
25-ji-no-cinderella	25時のシンデレラ	川原由美子		NOT_FOUND
25-jigen-no-dice	25次元のダイス	hal	ハル	AUTHOR_MISMATCH
27-sai-no-nyuugan-diary	27歳のニューガン・ダイアリー	冬川智子		NOT_FOUND
2821-kokakoora	2821コカコーラ	獸木野生	伸タマキ	AUTHOR_MISMATCH
28sai-hatsutaiken	28歳、初体験。	夏葉ヤシ;山本美希;芳村カナミ;西園寺ミチル		NOT_FOUND
29-ji-no-asagohan	29時の朝ごはん	佐倉イサミ		NOT_FOUND
29-sai-no-limit	29歳のリミット	水名瀬雅良	水名瀬;雅良	AUTHOR_MISMATCH
29-to-jk	29とJK	ヨパン男爵	加藤カキト;渡辺樹;裕時悠示	AUTHOR_MISMATCH
29sai-jimitsubone-no-totsuzenna-moteki	29歳・地味局の突然なモテ期	高山ネム子		NOT_FOUND
2dk-g-pen-aftertime	2DK、Gペン、アフタータイム。	大沢ヤヨイ		NOT_FOUND
2nd-virgin-no-jouzu-na-sutekata	2ndバージンのじょうずな捨て方	ズンダ餅粉		NOT_FOUND
3-3ji-amemiya-kyouju-no-ocha-no-jikan	午後3時雨宮教授のお茶の時間	海月レオナ	鷹野久	AUTHOR_MISMATCH
3-byougo-yajuu	3秒後、野獣。	百瀬コア		NOT_FOUND
3-daa-surii	サンダー3	池田祐輝	池田;祐輝	AUTHOR_MISMATCH
3-gatsu-no-hekireki	3月の霹靂	池ジュン子		NOT_FOUND
3-inchi	3インチ	季生ミナト	ハジメ;多口;多口ハジメ	AUTHOR_MISMATCH
3-kumi-no-osananajimi	3組の幼なじみ	イトノコ		NOT_FOUND
3-nen-sangumi-tanaka-tarou	3年3組田中太郎	ナガトシヤスナリ	ナガトシ;ヤスナリ	AUTHOR_MISMATCH
3-pun-matte-mugi-senpai	3分待ってむぎ先輩	七路ユウキ	ユウキ;七路	AUTHOR_MISMATCH
3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ		NOT_FOUND
3-pungo-ni-marumaru-suru-hanashi	3分後に○○する話	武内コズエ		NOT_FOUND
3	3	井上紀良;小池一夫	アカ;イクエミ綾;メンゴ;上村一夫;山上タツヒコ;惣領冬実;	AUTHOR_MISMATCH
30-sai-mojo-heisei-gal-ni-naru	30歳喪女、平成ギャルになる。	山口シズカ		NOT_FOUND
300-nen-go-ni-fukkatsu-shita-dai-mahoutsukai	300年後に復活した大魔法使い	エンドルフィン株式会社;ポテトルス;鄭薫		NOT_FOUND
31-sai-jimi-megane-ol-san	31歳地味眼鏡OLさん	新居サトシ		NOT_FOUND
32-sai-kojirase-moteki	32歳、こじらせ→モテ期!?	出樹		NOT_FOUND
33-sai-kiyoraka-fujoshi-ga-toshishita-otoko-to-asagaeri	33歳清らか腐女子が年下男子と朝帰り!?	大嶋マナブ	蜂谷ナナオ	AUTHOR_MISMATCH
33-sai-to-iu-hibi	33歳という日々	鈴木ミロ		NOT_FOUND
341-sentoudan	341戦闘団	広江礼威	広江;礼威	AUTHOR_MISMATCH
35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ		NOT_FOUND
35sai-no-fu-junai	35歳の不・純愛	小嶋スミレ		NOT_FOUND
36-tengodoshii-no-ivu	36.5℃の天使	ケンタロウ漫画家	ケンタロウ	AUTHOR_MISMATCH
36	36-サンジュウロク-	西馬宗志	宗志;西馬	AUTHOR_MISMATCH
37-c	37°C	岡野史佳	天沼俊	AUTHOR_MISMATCH
37-sekanzu	37セカンズ	2022;hikaripub		NOT_FOUND
38-sai-batsuichi-dokushin-onna-ga-matchingu-app-o-yattemita-yabai-kekka-nikki	38歳バツイチ独身女がマッチングアプリをやってみたヤバい結果日記	松本千秋	千秋;松本	AUTHOR_MISMATCH
3b-no-koibito	3Bの恋人	朝日放送株式会社;横山モヨ		NOT_FOUND
3itches-san-majo	3itches三魔女	永吉美幸		NOT_FOUND
4-gun-kun-kari	4軍くん〈仮〉	コージィ城倉;末広光		NOT_FOUND
4-kaku-manga-gekijou-mainkurafuto-anahori-seikatsu	4カクマンガ劇場マインクラフト穴ほり生活	川尻コダマ	コダマ;川尻	AUTHOR_MISMATCH
4-koma-youkai-watch-geragera-manga-gekijou	4コマ妖怪ウォッチゲラゲラマンガ劇場	ココナスルンバ;レベルファイブ	ココナス☆ルンバ;監修]レベルファイブ	AUTHOR_MISMATCH
4-n-samurai-spirits-koma-ketteiban	真サムライスピリッツ 4コマ決定版	(unknown)	コミックゲーメスト編集部	AUTHOR_MISMATCH
40-dai-ga-konnani-shindoinante-kiitenakatta	40代が、こんなにしんどいなんて聞いてなかった	フカザワナオコ	ナオコ;フカザワ	AUTHOR_MISMATCH
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	la軍		NOT_FOUND
40-sai-kara-rajikon-dekiru-kana-type-s	40歳からラジコンできるかな?TYPE-S	阿部秀司		NOT_FOUND
